ปี,รายการ,อำเภอ,ตำบล,ค่าข้อมูล,หน่วย,ที่มา
2564,เกษตรกรที่ขึ้นทะเบียนเป็นผู้ปลูกปาล์มน้ำมัน,เมืองกระบี่,ปากน้ำ,5,คน,สำนักงานเกษตรจังหวัดกระบี่
2564,เกษตรกรที่ขึ้นทะเบียนเป็นผู้ปลูกปาล์มน้ำมัน,เมืองกระบี่,กระบี่ใหญ่,15,คน,สำนักงานเกษตรจังหวัดกระบี่
2564,เกษตรกรที่ขึ้นทะเบียนเป็นผู้ปลูกปาล์มน้ำมัน,เมืองกระบี่,กระบี่น้อย,754,คน,สำนักงานเกษตรจังหวัดกระบี่
2564,เกษตรกรที่ขึ้นทะเบียนเป็นผู้ปลูกปาล์มน้ำมัน,เมืองกระบี่,เขาคราม,426,คน,สำนักงานเกษตรจังหวัดกระบี่
2564,เกษตรกรที่ขึ้นทะเบียนเป็นผู้ปลูกปาล์มน้ำมัน,เมืองกระบี่,เขาทอง,180,คน,สำนักงานเกษตรจังหวัดกระบี่
2564,เกษตรกรที่ขึ้นทะเบียนเป็นผู้ปลูกปาล์มน้ำมัน,เมืองกระบี่,ทับปริก,593,คน,สำนักงานเกษตรจังหวัดกระบี่
2564,เกษตรกรที่ขึ้นทะเบียนเป็นผู้ปลูกปาล์มน้ำมัน,เมืองกระบี่,ไสไทย,110,คน,สำนักงานเกษตรจังหวัดกระบี่
2564,เกษตรกรที่ขึ้นทะเบียนเป็นผู้ปลูกปาล์มน้ำมัน,เมืองกระบี่,อ่าวนาง,37,คน,สำนักงานเกษตรจังหวัดกระบี่
2564,เกษตรกรที่ขึ้นทะเบียนเป็นผู้ปลูกปาล์มน้ำมัน,เมืองกระบี่,หนองทะเล,109,คน,สำนักงานเกษตรจังหวัดกระบี่
2564,เกษตรกรที่ขึ้นทะเบียนเป็นผู้ปลูกปาล์มน้ำมัน,เมืองกระบี่,คลองประสงค์,6,คน,สำนักงานเกษตรจังหวัดกระบี่
2564,เกษตรกรที่ขึ้นทะเบียนเป็นผู้ปลูกปาล์มน้ำมัน,เขาพนม,เขาพนม,1035,คน,สำนักงานเกษตรจังหวัดกระบี่
2564,เกษตรกรที่ขึ้นทะเบียนเป็นผู้ปลูกปาล์มน้ำมัน,เขาพนม,เขาดิน,1078,คน,สำนักงานเกษตรจังหวัดกระบี่
2564,เกษตรกรที่ขึ้นทะเบียนเป็นผู้ปลูกปาล์มน้ำมัน,เขาพนม,สินปุน,899,คน,สำนักงานเกษตรจังหวัดกระบี่
2564,เกษตรกรที่ขึ้นทะเบียนเป็นผู้ปลูกปาล์มน้ำมัน,เขาพนม,พรุเตียว,1106,คน,สำนักงานเกษตรจังหวัดกระบี่
2564,เกษตรกรที่ขึ้นทะเบียนเป็นผู้ปลูกปาล์มน้ำมัน,เขาพนม,หน้าเขา,1018,คน,สำนักงานเกษตรจังหวัดกระบี่
2564,เกษตรกรที่ขึ้นทะเบียนเป็นผู้ปลูกปาล์มน้ำมัน,เขาพนม,โคกหาร,874,คน,สำนักงานเกษตรจังหวัดกระบี่
2564,เกษตรกรที่ขึ้นทะเบียนเป็นผู้ปลูกปาล์มน้ำมัน,เกาะลันตา,เกาะลันตาใหญ่,43,คน,สำนักงานเกษตรจังหวัดกระบี่
2564,เกษตรกรที่ขึ้นทะเบียนเป็นผู้ปลูกปาล์มน้ำมัน,เกาะลันตา,เกาะลันตาน้อย,30,คน,สำนักงานเกษตรจังหวัดกระบี่
2564,เกษตรกรที่ขึ้นทะเบียนเป็นผู้ปลูกปาล์มน้ำมัน,เกาะลันตา,เกาะกลาง,514,คน,สำนักงานเกษตรจังหวัดกระบี่
2564,เกษตรกรที่ขึ้นทะเบียนเป็นผู้ปลูกปาล์มน้ำมัน,เกาะลันตา,คลองยาง,389,คน,สำนักงานเกษตรจังหวัดกระบี่
2564,เกษตรกรที่ขึ้นทะเบียนเป็นผู้ปลูกปาล์มน้ำมัน,เกาะลันตา,ศาลาด่าน,61,คน,สำนักงานเกษตรจังหวัดกระบี่
2564,เกษตรกรที่ขึ้นทะเบียนเป็นผู้ปลูกปาล์มน้ำมัน,คลองท่อม,คลองท่อมใต้,506,คน,สำนักงานเกษตรจังหวัดกระบี่
2564,เกษตรกรที่ขึ้นทะเบียนเป็นผู้ปลูกปาล์มน้ำมัน,คลองท่อม,คลองท่อมเหนือ,1088,คน,สำนักงานเกษตรจังหวัดกระบี่
2564,เกษตรกรที่ขึ้นทะเบียนเป็นผู้ปลูกปาล์มน้ำมัน,คลองท่อม,คลองพน,477,คน,สำนักงานเกษตรจังหวัดกระบี่
2564,เกษตรกรที่ขึ้นทะเบียนเป็นผู้ปลูกปาล์มน้ำมัน,คลองท่อม,ทรายขาว,737,คน,สำนักงานเกษตรจังหวัดกระบี่
2564,เกษตรกรที่ขึ้นทะเบียนเป็นผู้ปลูกปาล์มน้ำมัน,คลองท่อม,ห้วยน้ำขาว,158,คน,สำนักงานเกษตรจังหวัดกระบี่
2564,เกษตรกรที่ขึ้นทะเบียนเป็นผู้ปลูกปาล์มน้ำมัน,คลองท่อม,พรุดินนา,1716,คน,สำนักงานเกษตรจังหวัดกระบี่
2564,เกษตรกรที่ขึ้นทะเบียนเป็นผู้ปลูกปาล์มน้ำมัน,คลองท่อม,เพหลา,912,คน,สำนักงานเกษตรจังหวัดกระบี่
2564,เกษตรกรที่ขึ้นทะเบียนเป็นผู้ปลูกปาล์มน้ำมัน,อ่าวลึก,อ่าวลึกใต้,616,คน,สำนักงานเกษตรจังหวัดกระบี่
2564,เกษตรกรที่ขึ้นทะเบียนเป็นผู้ปลูกปาล์มน้ำมัน,อ่าวลึก,แหลมสัก,510,คน,สำนักงานเกษตรจังหวัดกระบี่
2564,เกษตรกรที่ขึ้นทะเบียนเป็นผู้ปลูกปาล์มน้ำมัน,อ่าวลึก,นาเหนือ,813,คน,สำนักงานเกษตรจังหวัดกระบี่
2564,เกษตรกรที่ขึ้นทะเบียนเป็นผู้ปลูกปาล์มน้ำมัน,อ่าวลึก,คลองหิน,611,คน,สำนักงานเกษตรจังหวัดกระบี่
2564,เกษตรกรที่ขึ้นทะเบียนเป็นผู้ปลูกปาล์มน้ำมัน,อ่าวลึก,อ่าวลึกน้อย,438,คน,สำนักงานเกษตรจังหวัดกระบี่
2564,เกษตรกรที่ขึ้นทะเบียนเป็นผู้ปลูกปาล์มน้ำมัน,อ่าวลึก,อ่าวลึกเหนือ,697,คน,สำนักงานเกษตรจังหวัดกระบี่
2564,เกษตรกรที่ขึ้นทะเบียนเป็นผู้ปลูกปาล์มน้ำมัน,อ่าวลึก,เขาใหญ่,707,คน,สำนักงานเกษตรจังหวัดกระบี่
2564,เกษตรกรที่ขึ้นทะเบียนเป็นผู้ปลูกปาล์มน้ำมัน,อ่าวลึก,คลองยา,824,คน,สำนักงานเกษตรจังหวัดกระบี่
2564,เกษตรกรที่ขึ้นทะเบียนเป็นผู้ปลูกปาล์มน้ำมัน,อ่าวลึก,บ้านกลาง,426,คน,สำนักงานเกษตรจังหวัดกระบี่
2564,เกษตรกรที่ขึ้นทะเบียนเป็นผู้ปลูกปาล์มน้ำมัน,ปลายพระยา,ปลายพระยา,1963,คน,สำนักงานเกษตรจังหวัดกระบี่
2564,เกษตรกรที่ขึ้นทะเบียนเป็นผู้ปลูกปาล์มน้ำมัน,ปลายพระยา,เขาเขน,1277,คน,สำนักงานเกษตรจังหวัดกระบี่
2564,เกษตรกรที่ขึ้นทะเบียนเป็นผู้ปลูกปาล์มน้ำมัน,ปลายพระยา,เขาต่อ,1165,คน,สำนักงานเกษตรจังหวัดกระบี่
2564,เกษตรกรที่ขึ้นทะเบียนเป็นผู้ปลูกปาล์มน้ำมัน,ปลายพระยา,คีรีวง,1106,คน,สำนักงานเกษตรจังหวัดกระบี่
2564,เกษตรกรที่ขึ้นทะเบียนเป็นผู้ปลูกปาล์มน้ำมัน,ลำทับ,ลำทับ,779,คน,สำนักงานเกษตรจังหวัดกระบี่
2564,เกษตรกรที่ขึ้นทะเบียนเป็นผู้ปลูกปาล์มน้ำมัน,ลำทับ,ดินอุดม,626,คน,สำนักงานเกษตรจังหวัดกระบี่
