ชื่อข้อมูล,ปี,จังหวัด/อำเภอ, ครัวเรือนเกษตรกร ,หน่วย,เจ้าของข้อมูล
จำนวนเกษตรกรที่ปลูกข้าวนาปรัง,2560,จังหวัดสุพรรณบุรี," 40,860 ",ครัวเรือน,สำนักงานเกษตรจังหวัดสุพรรณบุรี
จำนวนเกษตรกรที่ปลูกข้าวนาปรัง,2560,เมืองสุพรรณบุรี," 6,676 ",ครัวเรือน,สำนักงานเกษตรจังหวัดสุพรรณบุรี
จำนวนเกษตรกรที่ปลูกข้าวนาปรัง,2560,เดิมบางนางบวช," 6,058 ",ครัวเรือน,สำนักงานเกษตรจังหวัดสุพรรณบุรี
จำนวนเกษตรกรที่ปลูกข้าวนาปรัง,2560,ด่านช้าง, 2 ,ครัวเรือน,สำนักงานเกษตรจังหวัดสุพรรณบุรี
จำนวนเกษตรกรที่ปลูกข้าวนาปรัง,2560,บางปลาม้า," 6,909 ",ครัวเรือน,สำนักงานเกษตรจังหวัดสุพรรณบุรี
จำนวนเกษตรกรที่ปลูกข้าวนาปรัง,2560,ศรีประจันต์," 3,440 ",ครัวเรือน,สำนักงานเกษตรจังหวัดสุพรรณบุรี
จำนวนเกษตรกรที่ปลูกข้าวนาปรัง,2560,ดอนเจดีย์, 940 ,ครัวเรือน,สำนักงานเกษตรจังหวัดสุพรรณบุรี
จำนวนเกษตรกรที่ปลูกข้าวนาปรัง,2560,สองพี่น้อง," 6,242 ",ครัวเรือน,สำนักงานเกษตรจังหวัดสุพรรณบุรี
จำนวนเกษตรกรที่ปลูกข้าวนาปรัง,2560,สามชุก," 3,187 ",ครัวเรือน,สำนักงานเกษตรจังหวัดสุพรรณบุรี
จำนวนเกษตรกรที่ปลูกข้าวนาปรัง,2560,อู่ทอง," 5,735 ",ครัวเรือน,สำนักงานเกษตรจังหวัดสุพรรณบุรี
จำนวนเกษตรกรที่ปลูกข้าวนาปรัง,2560,หนองหญ้าไซ," 2,564 ",ครัวเรือน,สำนักงานเกษตรจังหวัดสุพรรณบุรี
จำนวนเกษตรกรที่ปลูกข้าวนาปรัง,2561,จังหวัดสุพรรณบุรี," 42,089 ",ครัวเรือน,สำนักงานเกษตรจังหวัดสุพรรณบุรี
จำนวนเกษตรกรที่ปลูกข้าวนาปรัง,2561,เมืองสุพรรณบุรี," 7,721 ",ครัวเรือน,สำนักงานเกษตรจังหวัดสุพรรณบุรี
จำนวนเกษตรกรที่ปลูกข้าวนาปรัง,2561,เดิมบางนางบวช," 5,367 ",ครัวเรือน,สำนักงานเกษตรจังหวัดสุพรรณบุรี
จำนวนเกษตรกรที่ปลูกข้าวนาปรัง,2561,ด่านช้าง, -   ,ครัวเรือน,สำนักงานเกษตรจังหวัดสุพรรณบุรี
จำนวนเกษตรกรที่ปลูกข้าวนาปรัง,2561,บางปลาม้า," 7,451 ",ครัวเรือน,สำนักงานเกษตรจังหวัดสุพรรณบุรี
จำนวนเกษตรกรที่ปลูกข้าวนาปรัง,2561,ศรีประจันต์," 3,819 ",ครัวเรือน,สำนักงานเกษตรจังหวัดสุพรรณบุรี
จำนวนเกษตรกรที่ปลูกข้าวนาปรัง,2561,ดอนเจดีย์," 1,347 ",ครัวเรือน,สำนักงานเกษตรจังหวัดสุพรรณบุรี
จำนวนเกษตรกรที่ปลูกข้าวนาปรัง,2561,สองพี่น้อง," 6,809 ",ครัวเรือน,สำนักงานเกษตรจังหวัดสุพรรณบุรี
จำนวนเกษตรกรที่ปลูกข้าวนาปรัง,2561,สามชุก," 3,629 ",ครัวเรือน,สำนักงานเกษตรจังหวัดสุพรรณบุรี
จำนวนเกษตรกรที่ปลูกข้าวนาปรัง,2561,อู่ทอง," 6,479 ",ครัวเรือน,สำนักงานเกษตรจังหวัดสุพรรณบุรี
จำนวนเกษตรกรที่ปลูกข้าวนาปรัง,2561,หนองหญ้าไซ, 302 ,ครัวเรือน,สำนักงานเกษตรจังหวัดสุพรรณบุรี
จำนวนเกษตรกรที่ปลูกข้าวนาปรัง,2562,จังหวัดสุพรรณบุรี," 28,619 ",ครัวเรือน,สำนักงานเกษตรจังหวัดสุพรรณบุรี
จำนวนเกษตรกรที่ปลูกข้าวนาปรัง,2562,เมืองสุพรรณบุรี," 4,365 ",ครัวเรือน,สำนักงานเกษตรจังหวัดสุพรรณบุรี
จำนวนเกษตรกรที่ปลูกข้าวนาปรัง,2562,เดิมบางนางบวช," 2,702 ",ครัวเรือน,สำนักงานเกษตรจังหวัดสุพรรณบุรี
