ชื่อข้อมูล,ปี,จังหวัด/อำเภอ,ครัวเรือนเกษตรกร,หน่วย,เจ้าของข้อมูล
จำนวนเกษตรกรที่ปลูกข้าวนาปี,2560,จังหวัดสุพรรณบุรี," 52,707 ",ครัวเรือน,สำนักงานเกษตรจังหวัดสุพรรณบุรี
จำนวนเกษตรกรที่ปลูกข้าวนาปี,2560,เมืองสุพรรณบุรี," 7,948 ",ครัวเรือน,สำนักงานเกษตรจังหวัดสุพรรณบุรี
จำนวนเกษตรกรที่ปลูกข้าวนาปี,2560,เดิมบางนางบวช," 6,992 ",ครัวเรือน,สำนักงานเกษตรจังหวัดสุพรรณบุรี
จำนวนเกษตรกรที่ปลูกข้าวนาปี,2560,ด่านช้าง, 331 ,ครัวเรือน,สำนักงานเกษตรจังหวัดสุพรรณบุรี
จำนวนเกษตรกรที่ปลูกข้าวนาปี,2560,บางปลาม้า," 6,681 ",ครัวเรือน,สำนักงานเกษตรจังหวัดสุพรรณบุรี
จำนวนเกษตรกรที่ปลูกข้าวนาปี,2560,ศรีประจันต์," 4,541 ",ครัวเรือน,สำนักงานเกษตรจังหวัดสุพรรณบุรี
จำนวนเกษตรกรที่ปลูกข้าวนาปี,2560,ดอนเจดีย์," 4,493 ",ครัวเรือน,สำนักงานเกษตรจังหวัดสุพรรณบุรี
จำนวนเกษตรกรที่ปลูกข้าวนาปี,2560,สองพี่น้อง," 6,241 ",ครัวเรือน,สำนักงานเกษตรจังหวัดสุพรรณบุรี
จำนวนเกษตรกรที่ปลูกข้าวนาปี,2560,สามชุก," 5,005 ",ครัวเรือน,สำนักงานเกษตรจังหวัดสุพรรณบุรี
จำนวนเกษตรกรที่ปลูกข้าวนาปี,2560,อู่ทอง," 6,784 ",ครัวเรือน,สำนักงานเกษตรจังหวัดสุพรรณบุรี
จำนวนเกษตรกรที่ปลูกข้าวนาปี,2560,หนองหญ้าไซ," 5,146 ",ครัวเรือน,สำนักงานเกษตรจังหวัดสุพรรณบุรี
จำนวนเกษตรกรที่ปลูกข้าวนาปี,2561,จังหวัดสุพรรณบุรี," 56,870 ",ครัวเรือน,สำนักงานเกษตรจังหวัดสุพรรณบุรี
จำนวนเกษตรกรที่ปลูกข้าวนาปี,2561,เมืองสุพรรณบุรี," 8,427 ",ครัวเรือน,สำนักงานเกษตรจังหวัดสุพรรณบุรี
จำนวนเกษตรกรที่ปลูกข้าวนาปี,2561,เดิมบางนางบวช," 7,497 ",ครัวเรือน,สำนักงานเกษตรจังหวัดสุพรรณบุรี
จำนวนเกษตรกรที่ปลูกข้าวนาปี,2561,ด่านช้าง, 497 ,ครัวเรือน,สำนักงานเกษตรจังหวัดสุพรรณบุรี
จำนวนเกษตรกรที่ปลูกข้าวนาปี,2561,บางปลาม้า," 7,057 ",ครัวเรือน,สำนักงานเกษตรจังหวัดสุพรรณบุรี
จำนวนเกษตรกรที่ปลูกข้าวนาปี,2561,ศรีประจันต์," 4,918 ",ครัวเรือน,สำนักงานเกษตรจังหวัดสุพรรณบุรี
จำนวนเกษตรกรที่ปลูกข้าวนาปี,2561,ดอนเจดีย์," 4,691 ",ครัวเรือน,สำนักงานเกษตรจังหวัดสุพรรณบุรี
จำนวนเกษตรกรที่ปลูกข้าวนาปี,2561,สองพี่น้อง," 6,552 ",ครัวเรือน,สำนักงานเกษตรจังหวัดสุพรรณบุรี
จำนวนเกษตรกรที่ปลูกข้าวนาปี,2561,สามชุก," 5,450 ",ครัวเรือน,สำนักงานเกษตรจังหวัดสุพรรณบุรี
จำนวนเกษตรกรที่ปลูกข้าวนาปี,2561,อู่ทอง," 7,583 ",ครัวเรือน,สำนักงานเกษตรจังหวัดสุพรรณบุรี
จำนวนเกษตรกรที่ปลูกข้าวนาปี,2561,หนองหญ้าไซ," 5,597 ",ครัวเรือน,สำนักงานเกษตรจังหวัดสุพรรณบุรี
จำนวนเกษตรกรที่ปลูกข้าวนาปี,2562,จังหวัดสุพรรณบุรี," 59,488 ",ครัวเรือน,สำนักงานเกษตรจังหวัดสุพรรณบุรี
จำนวนเกษตรกรที่ปลูกข้าวนาปี,2562,เมืองสุพรรณบุรี," 8,949 ",ครัวเรือน,สำนักงานเกษตรจังหวัดสุพรรณบุรี
จำนวนเกษตรกรที่ปลูกข้าวนาปี,2562,เดิมบางนางบวช," 7,835 ",ครัวเรือน,สำนักงานเกษตรจังหวัดสุพรรณบุรี
จำนวนเกษตรกรที่ปลูกข้าวนาปี,2562,ด่านช้าง, 533 ,ครัวเรือน,สำนักงานเกษตรจังหวัดสุพรรณบุรี
จำนวนเกษตรกรที่ปลูกข้าวนาปี,2562,บางปลาม้า," 7,644 ",ครัวเรือน,สำนักงานเกษตรจังหวัดสุพรรณบุรี
จำนวนเกษตรกรที่ปลูกข้าวนาปี,2562,ศรีประจันต์," 5,261 ",ครัวเรือน,สำนักงานเกษตรจังหวัดสุพรรณบุรี
