ปี, ชื่อกลุ่มพืช ,จำนวน,หน่วย
2566, ลำไย ,87, ราย 
2566, ทุเรียน ,247, ราย 
2566, มังคุด ,, ราย 
2566, หน่อไม้ฝรั่ง ,2, ราย 
2566, กระเจี๊ยบเขียว ,, ราย 
2566, ข้าวโพดฝักอ่อน ,, ราย 
2566, ส้มโอ ,39, ราย 
2566, ลิ้นจี่ ,, ราย 
2566, มะขาม ,, ราย 
2566, มะม่วง ,21, ราย 
2566, ขิง ,, ราย 
2566, พริก ,81, ราย 
2566, มะพร้าวอ่อน ,, ราย 
2566, ลองกอง ,4, ราย 
2566, สับปะรด ,1, ราย 
2566, เงาะ ,, ราย 
2566, กาแฟ ,3, ราย 
2566, ถั่วลิสง ,63, ราย 
2566, ถั่วเหลืองฝักสด ,, ราย 
2566, ส้มเปลือกล่อน ,126, ราย 
2566, กลุ่มพืชตระกูลกะหล่ำ ,22, ราย 
2566, กลุ่มพืชตระกูลถั่ว ,14, ราย 
2566, กลุ่มพืชผักตระกูลมะเขือ ,5, ราย 
2566, กลุ่มพืชตระกูลแตง ,56, ราย 
2566, กลุ่มพืชสุมนไพร ,4, ราย 
2566, ข้าวโพดหวาน ,2, ราย 
2566, กล้วย ,3, ราย 
2566, อื่นๆ ,385, ราย 
2565, ลำไย ,80, ราย 
2565, ทุเรียน ,241, ราย 
2565, มังคุด ,, ราย 
2565, หน่อไม้ฝรั่ง ,2, ราย 
2565, กระเจี๊ยบเขียว ,, ราย 
2565, ข้าวโพดฝักอ่อน ,, ราย 
2565, ส้มโอ ,236, ราย 
2565, ลิ้นจี่ ,, ราย 
2565, มะขาม ,, ราย 
2565, มะม่วง ,21, ราย 
2565, ขิง ,, ราย 
2565, พริก ,78, ราย 
2565, มะพร้าวอ่อน ,, ราย 
2565, ลองกอง ,4, ราย 
2565, สับปะรด ,1, ราย 
2565, เงาะ ,, ราย 
2565, กาแฟ ,3, ราย 
2565, ถั่วลิสง ,63, ราย 
2565, ถั่วเหลืองฝักสด ,, ราย 
2565, ส้มเปลือกล่อน ,701, ราย 
2565, กลุ่มพืชตระกูลกะหล่ำ ,22, ราย 
2565, กลุ่มพืชตระกูลถั่ว ,14, ราย 
2565, กลุ่มพืชผักตระกูลมะเขือ ,5, ราย 
2565, กลุ่มพืชตระกูลแตง ,46, ราย 
2565, กลุ่มพืชสุมนไพร ,4, ราย 
2565, ข้าวโพดหวาน ,2, ราย 
2565, กล้วย ,3, ราย 
2565, อื่นๆ ,370, ราย 
2564, ลำไย ,78, ราย 
2564, ทุเรียน ,239, ราย 
2564, มังคุด ,, ราย 
2564, หน่อไม้ฝรั่ง ,3, ราย 
2564, กระเจี๊ยบเขียว ,, ราย 
2564, ข้าวโพดฝักอ่อน ,, ราย 
2564, ส้มโอ ,38, ราย 
2564, ลิ้นจี่ ,, ราย 
2564, มะขาม ,, ราย 
2564, มะม่วง ,20, ราย 
2564, ขิง ,, ราย 
2564, พริก ,79, ราย 
2564, มะพร้าวอ่อน ,, ราย 
2564, ลองกอง ,4, ราย 
2564, สับปะรด ,1, ราย 
2564, เงาะ ,, ราย 
2564, กาแฟ ,3, ราย 
2564, ถั่วลิสง ,63, ราย 
2564, ถั่วเหลืองฝักสด ,, ราย 
2564, ส้มเปลือกล่อน ,126, ราย 
2564, กลุ่มพืชตระกูลกะหล่ำ ,22, ราย 
2564, กลุ่มพืชตระกูลถั่ว ,14, ราย 
2564, กลุ่มพืชผักตระกูลมะเขือ ,5, ราย 
2564, กลุ่มพืชตระกูลแตง ,56, ราย 
2564, กลุ่มพืชสุมนไพร ,4, ราย 
2564, ข้าวโพดหวาน ,2, ราย 
2564, กล้วย ,3, ราย 
2564, อื่นๆ ,379, ราย 
