ปี,อำเภอ,จำนวน,หน่วย
2566,ชานุมาน,7717,ครัวเรือน
2566,ปทุมราชวงศา,9992,ครัวเรือน
2566,พนา,7380,ครัวเรือน
2566,เมืองอำนาจเจริญ,"25,487",ครัวเรือน
2566,ลืออำนาจ,"8,506",ครัวเรือน
2566,เสนางคนิคม,"9,344",ครัวเรือน
2566,หัวตะพาน,"10,821",ครัวเรือน
2567,ชานุมาน,"7,418",ครัวเรือน
2567,ปทุมราชวงศา,"10,020",ครัวเรือน
2567,พนา,"13,208",ครัวเรือน
2567,เมืองอำนาจเจริญ,"25,141",ครัวเรือน
2567,ลืออำนาจ,"8,460",ครัวเรือน
2567,เสนางคนิคม,"9,275",ครัวเรือน
2567,หัวตะพาน,"10,560",ครัวเรือน
2568,ชานุมาน,"6,954",ครัวเรือน
2568,ปทุมราชวงศา,"9,956",ครัวเรือน
2568,พนา,"7,189",ครัวเรือน
2568,เมืองอำนาจเจริญ,"23,907",ครัวเรือน
2568,ลืออำนาจ,"8,225",ครัวเรือน
2568,เสนางคนิคม,"8,458",ครัวเรือน
2568,หัวตะพาน,"10,647",ครัวเรือน
