_id,Year,Amp,farmer
1,2561,เมือง,0
2,2561,ท่าบ่อ,4
3,2561,โพนพิสัย,0
4,2561,ศรีเชียงใหม่,336
5,2561,สังคม,136
6,2561,สระใคร,0
7,2561,เฝ้าไร่,0
8,2561,รัตนวาปี,273
9,2561,โพธิ์ตาก,90
10,2562,เมือง,0
11,2562,ท่าบ่อ,3
12,2562,โพนพิสัย,0
13,2562,ศรีเชียงใหม่,336
14,2562,สังคม,159
15,2562,สระใคร,0
16,2562,เฝ้าไร่,0
17,2562,รัตนวาปี,228
18,2562,โพธิ์ตาก,160
19,2563,เมือง,0
20,2563,ท่าบ่อ,3
21,2563,โพนพิสัย,0
22,2563,ศรีเชียงใหม่,336
23,2563,สังคม,161
24,2563,สระใคร,0
25,2563,เฝ้าไร่,0
26,2563,รัตนวาปี,228
27,2563,โพธิ์ตาก,142
