ปี, ชื่อกลุ่มพืช ,จำนวน,หน่วย
2566, ลำไย ,97, แปลง 
2566, ทุเรียน ,253, แปลง 
2566, มังคุด ,1, แปลง 
2566, หน่อไม้ฝรั่ง ,2, แปลง 
2566, กระเจี๊ยบเขียว ,2, แปลง 
2566, ข้าวโพดฝักอ่อน ,, แปลง 
2566, ส้มโอ ,43, แปลง 
2566, ลิ้นจี่ ,1, แปลง 
2566, มะขาม ,1, แปลง 
2566, มะม่วง ,32, แปลง 
2566, ขิง ,, แปลง 
2566, พริก ,99, แปลง 
2566, มะพร้าวอ่อน ,2, แปลง 
2566, ลองกอง ,5, แปลง 
2566, สับปะรด ,2, แปลง 
2566, เงาะ ,1, แปลง 
2566, กาแฟ ,4, แปลง 
2566, ถั่วลิสง ,67, แปลง 
2566, ถั่วเหลืองฝักสด ,, แปลง 
2566, ส้มเปลือกล่อน ,139, แปลง 
2566, กลุ่มพืชตระกูลกะหล่ำ ,68, แปลง 
2566, กลุ่มพืชตระกูลถั่ว ,25, แปลง 
2566, กลุ่มพืชผักตระกูลมะเขือ ,16, แปลง 
2566, กลุ่มพืชตระกูลแตง ,78, แปลง 
2566, กลุ่มพืชสุมนไพร ,30, แปลง 
2566, ข้าวโพดหวาน ,3, แปลง 
2566, กล้วย ,8, แปลง 
2566, อื่นๆ ,554, แปลง 
2565, ลำไย ,80, แปลง 
2565, ทุเรียน ,240, แปลง 
2565, มังคุด ,2, แปลง 
2565, หน่อไม้ฝรั่ง ,1, แปลง 
2565, กระเจี๊ยบเขียว ,1, แปลง 
2565, ข้าวโพดฝักอ่อน ,, แปลง 
2565, ส้มโอ ,43, แปลง 
2565, ลิ้นจี่ ,1, แปลง 
2565, มะขาม ,1, แปลง 
2565, มะม่วง ,25, แปลง 
2565, ขิง ,, แปลง 
2565, พริก ,89, แปลง 
2565, มะพร้าวอ่อน ,1, แปลง 
2565, ลองกอง ,6, แปลง 
2565, สับปะรด ,1, แปลง 
2565, เงาะ ,1, แปลง 
2565, กาแฟ ,2, แปลง 
2565, ถั่วลิสง ,70, แปลง 
2565, ถั่วเหลืองฝักสด ,, แปลง 
2565, ส้มเปลือกล่อน ,140, แปลง 
2565, กลุ่มพืชตระกูลกะหล่ำ ,68, แปลง 
2565, กลุ่มพืชตระกูลถั่ว ,25, แปลง 
2565, กลุ่มพืชผักตระกูลมะเขือ ,15, แปลง 
2565, กลุ่มพืชตระกูลแตง ,14, แปลง 
2565, กลุ่มพืชสุมนไพร ,20, แปลง 
2565, ข้าวโพดหวาน ,1, แปลง 
2565, กล้วย ,2, แปลง 
2565, อื่นๆ ,498, แปลง 
2564, ลำไย ,90, แปลง 
2564, ทุเรียน ,242, แปลง 
2564, มังคุด ,2, แปลง 
2564, หน่อไม้ฝรั่ง ,2, แปลง 
2564, กระเจี๊ยบเขียว ,2, แปลง 
2564, ข้าวโพดฝักอ่อน ,, แปลง 
2564, ส้มโอ ,50, แปลง 
2564, ลิ้นจี่ ,1, แปลง 
2564, มะขาม ,1, แปลง 
2564, มะม่วง ,25, แปลง 
2564, ขิง ,, แปลง 
2564, พริก ,70, แปลง 
2564, มะพร้าวอ่อน ,2, แปลง 
2564, ลองกอง ,5, แปลง 
2564, สับปะรด ,2, แปลง 
2564, เงาะ ,1, แปลง 
2564, กาแฟ ,4, แปลง 
2564, ถั่วลิสง ,60, แปลง 
2564, ถั่วเหลืองฝักสด ,, แปลง 
2564, ส้มเปลือกล่อน ,120, แปลง 
2564, กลุ่มพืชตระกูลกะหล่ำ ,68, แปลง 
2564, กลุ่มพืชตระกูลถั่ว ,25, แปลง 
2564, กลุ่มพืชผักตระกูลมะเขือ ,16, แปลง 
2564, กลุ่มพืชตระกูลแตง ,78, แปลง 
2564, กลุ่มพืชสุมนไพร ,30, แปลง 
2564, ข้าวโพดหวาน ,3, แปลง 
2564, กล้วย ,8, แปลง 
2564, อื่นๆ ,480, แปลง 
