ปี,รายการ,อำเภอ,จำนวน,หน่วยนับ
2565,เนื้อที่ปลูกมันสำปะหลัง,เมือง,"15,663",ไร่
2565,เนื้อที่ปลูกมันสำปะหลัง,ชานุมาน,"94,473",ไร่
2565,เนื้อที่ปลูกมันสำปะหลัง,ปทุมราชวงศา,"28,792",ไร่
2565,เนื้อที่ปลูกมันสำปะหลัง,พนา,490,ไร่
2565,เนื้อที่ปลูกมันสำปะหลัง,เสนางคนิคม,"13,235",ไร่
2565,เนื้อที่ปลูกมันสำปะหลัง,หัวตะพาน,842,ไร่
2565,เนื้อที่ปลูกมันสำปะหลัง,ลืออำนาจ,883,ไร่
2566,เนื้อที่ปลูกมันสำปะหลัง,เมือง,"16,398",ไร่
2566,เนื้อที่ปลูกมันสำปะหลัง,ชานุมาน,"94,079",ไร่
2566,เนื้อที่ปลูกมันสำปะหลัง,ปทุมราชวงศา,"29,825",ไร่
2566,เนื้อที่ปลูกมันสำปะหลัง,พนา,414,ไร่
2566,เนื้อที่ปลูกมันสำปะหลัง,เสนางคนิคม,"14,638",ไร่
2566,เนื้อที่ปลูกมันสำปะหลัง,หัวตะพาน,863,ไร่
2566,เนื้อที่ปลูกมันสำปะหลัง,ลืออำนาจ,"1,173",ไร่
2567,เนื้อที่ปลูกมันสำปะหลัง,เมือง,"1,173",ไร่
2567,เนื้อที่ปลูกมันสำปะหลัง,ชานุมาน,"89,624",ไร่
2567,เนื้อที่ปลูกมันสำปะหลัง,ปทุมราชวงศา,"27,954",ไร่
2567,เนื้อที่ปลูกมันสำปะหลัง,พนา,461,ไร่
2567,เนื้อที่ปลูกมันสำปะหลัง,เสนางคนิคม,"10,247",ไร่
2567,เนื้อที่ปลูกมันสำปะหลัง,หัวตะพาน,760,ไร่
2567,เนื้อที่ปลูกมันสำปะหลัง,ลืออำนาจ,"1,259",ไร่
2568,เนื้อที่ปลูกมันสำปะหลัง,เมือง,"12,074",ไร่
2568,เนื้อที่ปลูกมันสำปะหลัง,ชานุมาน,"90,102",ไร่
2568,เนื้อที่ปลูกมันสำปะหลัง,ปทุมราชวงศา,"26,628",ไร่
2568,เนื้อที่ปลูกมันสำปะหลัง,พนา,227,ไร่
2568,เนื้อที่ปลูกมันสำปะหลัง,เสนางคนิคม,"12,171",ไร่
2568,เนื้อที่ปลูกมันสำปะหลัง,หัวตะพาน,216,ไร่
2568,เนื้อที่ปลูกมันสำปะหลัง,ลืออำนาจ,"1,151",ไร่
