ปี,ฤดูกาล,อำเภอ,ประเภทข้าว,จำนวน,หน่วย
2568,ข้าวนาปรัง,อำเภอเมืองฉะเชิงเทรา,ข้าวเจ้า,"30,418",ตัน
2568,ข้าวนาปรัง,อำเภอบางคล้า,ข้าวเจ้า,"10,015",ตัน
2568,ข้าวนาปรัง,อำเภอบางน้ำเปรี้ยว,ข้าวเจ้า,"66,962",ตัน
2568,ข้าวนาปรัง,อำเภอบางปะกง,ข้าวเจ้า,"6,152",ตัน
2568,ข้าวนาปรัง,อำเภอบ้านโพธิ์,ข้าวเจ้า,"6,538",ตัน
2568,ข้าวนาปรัง,อำเภอพนมสารคาม,ข้าวเจ้า,"18,060",ตัน
2568,ข้าวนาปรัง,อำเภอราชสาส์น,ข้าวเจ้า,"21,112",ตัน
2568,ข้าวนาปรัง,อำเภอสนามชัยเขต,ข้าวเจ้า,"5,655",ตัน
2568,ข้าวนาปรัง,อำเภอแปลงยาว,ข้าวเจ้า,"2,238",ตัน
2568,ข้าวนาปรัง,อำเภอท่าตะเกียบ,ข้าวเจ้า,686,ตัน
2568,ข้าวนาปรัง,อำเภอคลองเขื่อน,ข้าวเจ้า,"7,728",ตัน
2568,ข้าวนาปรัง,อำเภอเมืองฉะเชิงเทรา,ข้าวเหนียว,0,ตัน
2568,ข้าวนาปรัง,อำเภอบางคล้า,ข้าวเหนียว,0,ตัน
2568,ข้าวนาปรัง,อำเภอบางน้ำเปรี้ยว,ข้าวเหนียว,0,ตัน
2568,ข้าวนาปรัง,อำเภอบางปะกง,ข้าวเหนียว,0,ตัน
2568,ข้าวนาปรัง,อำเภอบ้านโพธิ์,ข้าวเหนียว,0,ตัน
2568,ข้าวนาปรัง,อำเภอพนมสารคาม,ข้าวเหนียว,0,ตัน
2568,ข้าวนาปรัง,อำเภอราชสาส์น,ข้าวเหนียว,0,ตัน
2568,ข้าวนาปรัง,อำเภอสนามชัยเขต,ข้าวเหนียว,0,ตัน
2568,ข้าวนาปรัง,อำเภอแปลงยาว,ข้าวเหนียว,0,ตัน
2568,ข้าวนาปรัง,อำเภอท่าตะเกียบ,ข้าวเหนียว,0,ตัน
2568,ข้าวนาปรัง,อำเภอคลองเขื่อน,ข้าวเหนียว,0,ตัน
2568,ข้าวนาปี,อำเภอเมืองฉะเชิงเทรา,ข้าวเจ้า,"93,834.00",ตัน
2568,ข้าวนาปี,อำเภอบางคล้า,ข้าวเจ้า,"10,234.00",ตัน
2568,ข้าวนาปี,อำเภอบางน้ำเปรี้ยว,ข้าวเจ้า,"168,364.00",ตัน
2568,ข้าวนาปี,อำเภอบางปะกง,ข้าวเจ้า,"7,208.00",ตัน
2568,ข้าวนาปี,อำเภอบ้านโพธิ์,ข้าวเจ้า,"14,732.00",ตัน
2568,ข้าวนาปี,อำเภอพนมสารคาม,ข้าวเจ้า,"51,847.00",ตัน
2568,ข้าวนาปี,อำเภอราชสาส์น,ข้าวเจ้า,"27,250.00",ตัน
2568,ข้าวนาปี,อำเภอสนามชัยเขต,ข้าวเจ้า,"15,808.00",ตัน
2568,ข้าวนาปี,อำเภอแปลงยาว,ข้าวเจ้า,"6,812.00",ตัน
2568,ข้าวนาปี,อำเภอท่าตะเกียบ,ข้าวเจ้า,"4,517.00",ตัน
2568,ข้าวนาปี,อำเภอคลองเขื่อน,ข้าวเจ้า,"24,293.00",ตัน
