ปี,อำเภอ,ฤดูกาล,ประเภท,จำนวน,หน่วย
2568,อำเภอเมืองฉะเชิงเทรา,ข้าวนาปรัง ,ข้าวเจ้า,744,กิโลกรัม
2568,อำเภอบางคล้า,ข้าวนาปรัง ,ข้าวเจ้า,695,กิโลกรัม
2568,อำเภอบางน้ำเปรี้ยว,ข้าวนาปรัง ,ข้าวเจ้า,703,กิโลกรัม
2568,อำเภอบางปะกง,ข้าวนาปรัง ,ข้าวเจ้า,655,กิโลกรัม
2568,อำเภอบ้านโพธิ์,ข้าวนาปรัง ,ข้าวเจ้า,619,กิโลกรัม
2568,อำเภอพนมสารคาม,ข้าวนาปรัง ,ข้าวเจ้า,632,กิโลกรัม
2568,อำเภอราชสาส์น,ข้าวนาปรัง ,ข้าวเจ้า,650,กิโลกรัม
2568,อำเภอสนามชัยเขต,ข้าวนาปรัง ,ข้าวเจ้า,578,กิโลกรัม
2568,อำเภอแปลงยาว,ข้าวนาปรัง ,ข้าวเจ้า,600,กิโลกรัม
2568,อำเภอท่าตะเกียบ,ข้าวนาปรัง ,ข้าวเจ้า,599,กิโลกรัม
2568,อำเภอคลองเขื่อน,ข้าวนาปรัง ,ข้าวเจ้า,766,กิโลกรัม
2568,อำเภอเมืองฉะเชิงเทรา,ข้าวนาปรัง ,ข้าวเหนียว,0,กิโลกรัม
2568,อำเภอบางคล้า,ข้าวนาปรัง ,ข้าวเหนียว,0,กิโลกรัม
2568,อำเภอบางน้ำเปรี้ยว,ข้าวนาปรัง ,ข้าวเหนียว,0,กิโลกรัม
2568,อำเภอบางปะกง,ข้าวนาปรัง ,ข้าวเหนียว,0,กิโลกรัม
2568,อำเภอบ้านโพธิ์,ข้าวนาปรัง ,ข้าวเหนียว,0,กิโลกรัม
2568,อำเภอพนมสารคาม,ข้าวนาปรัง ,ข้าวเหนียว,0,กิโลกรัม
2568,อำเภอราชสาส์น,ข้าวนาปรัง ,ข้าวเหนียว,0,กิโลกรัม
2568,อำเภอสนามชัยเขต,ข้าวนาปรัง ,ข้าวเหนียว,0,กิโลกรัม
2568,อำเภอแปลงยาว,ข้าวนาปรัง ,ข้าวเหนียว,0,กิโลกรัม
2568,อำเภอท่าตะเกียบ,ข้าวนาปรัง ,ข้าวเหนียว,0,กิโลกรัม
2568,อำเภอคลองเขื่อน,ข้าวนาปรัง ,ข้าวเหนียว,0,กิโลกรัม
2568,อำเภอเมืองฉะเชิงเทรา,ข้าวนาปี ,ข้าวเจ้า,753,กิโลกรัม
2568,อำเภอบางคล้า,ข้าวนาปี ,ข้าวเจ้า,665,กิโลกรัม
2568,อำเภอบางน้ำเปรี้ยว,ข้าวนาปี ,ข้าวเจ้า,714,กิโลกรัม
2568,อำเภอบางปะกง,ข้าวนาปี ,ข้าวเจ้า,619,กิโลกรัม
2568,อำเภอบ้านโพธิ์,ข้าวนาปี ,ข้าวเจ้า,699,กิโลกรัม
2568,อำเภอพนมสารคาม,ข้าวนาปี ,ข้าวเจ้า,597,กิโลกรัม
2568,อำเภอราชสาส์น,ข้าวนาปี ,ข้าวเจ้า,630,กิโลกรัม
2568,อำเภอสนามชัยเขต,ข้าวนาปี ,ข้าวเจ้า,366,กิโลกรัม
2568,อำเภอแปลงยาว,ข้าวนาปี ,ข้าวเจ้า,489,กิโลกรัม
2568,อำเภอท่าตะเกียบ,ข้าวนาปี ,ข้าวเจ้า,361,กิโลกรัม
2568,อำเภอคลองเขื่อน,ข้าวนาปี ,ข้าวเจ้า,746,กิโลกรัม
2568,อำเภอเมืองฉะเชิงเทรา,ข้าวนาปี ,ข้าวเหนียว,0,กิโลกรัม
2568,อำเภอบางคล้า,ข้าวนาปี ,ข้าวเหนียว,0,กิโลกรัม
2568,อำเภอบางน้ำเปรี้ยว,ข้าวนาปี ,ข้าวเหนียว,0,กิโลกรัม
2568,อำเภอบางปะกง,ข้าวนาปี ,ข้าวเหนียว,0,กิโลกรัม
2568,อำเภอบ้านโพธิ์,ข้าวนาปี ,ข้าวเหนียว,0,กิโลกรัม
2568,อำเภอพนมสารคาม,ข้าวนาปี ,ข้าวเหนียว,0,กิโลกรัม
2568,อำเภอราชสาส์น,ข้าวนาปี ,ข้าวเหนียว,0,กิโลกรัม
2568,อำเภอสนามชัยเขต,ข้าวนาปี ,ข้าวเหนียว,366,กิโลกรัม
2568,อำเภอแปลงยาว,ข้าวนาปี ,ข้าวเหนียว,0,กิโลกรัม
2568,อำเภอท่าตะเกียบ,ข้าวนาปี ,ข้าวเหนียว,361,กิโลกรัม
2568,อำเภอคลองเขื่อน,ข้าวนาปี ,ข้าวเหนียว,0,กิโลกรัม
2567,อำเภอเมืองฉะเชิงเทรา,ข้าวนาปี,ข้าวเจ้า,856,กิโลกรัม
2567,อำเภอเมืองฉะเชิงเทรา,ข้าวนาปี,ข้าวเหนียว,0,กิโลกรัม
2567,อำเภอบางคล้า,ข้าวนาปี,ข้าวเจ้า,781,กิโลกรัม
2567,อำเภอบางคล้า,ข้าวนาปี,ข้าวเหนียว,0,กิโลกรัม
2567,อำเภอบางน้ำเปรี้ยว,ข้าวนาปี,ข้าวเจ้า,855,กิโลกรัม
2567,อำเภอบางน้ำเปรี้ยว,ข้าวนาปี,ข้าวเหนียว,0,กิโลกรัม
2567,อำเภอบางปะกง,ข้าวนาปี,ข้าวเจ้า,675,กิโลกรัม
2567,อำเภอบางปะกง,ข้าวนาปี,ข้าวเหนียว,0,กิโลกรัม
2567,อำเภอบ้านโพธิ์,ข้าวนาปี,ข้าวเจ้า,800,กิโลกรัม
2567,อำเภอบ้านโพธิ์,ข้าวนาปี,ข้าวเหนียว,0,กิโลกรัม
2567,อำเภอพนมสารคาม,ข้าวนาปี,ข้าวเจ้า,690,กิโลกรัม
2567,อำเภอพนมสารคาม,ข้าวนาปี,ข้าวเหนียว,0,กิโลกรัม
2567,อำเภอราชสาส์น,ข้าวนาปี,ข้าวเจ้า,705,กิโลกรัม
2567,อำเภอราชสาส์น,ข้าวนาปี,ข้าวเหนียว,0,กิโลกรัม
2567,อำเภอสนามชัยเขต,ข้าวนาปี,ข้าวเจ้า,402,กิโลกรัม
2567,อำเภอสนามชัยเขต,ข้าวนาปี,ข้าวเหนียว,400,กิโลกรัม
2567,อำเภอแปลงยาว,ข้าวนาปี,ข้าวเจ้า,600,กิโลกรัม
2567,อำเภอแปลงยาว,ข้าวนาปี,ข้าวเหนียว,0,กิโลกรัม
2567,อำเภอท่าตะเกียบ,ข้าวนาปี,ข้าวเจ้า,0,กิโลกรัม
2567,อำเภอท่าตะเกียบ,ข้าวนาปี,ข้าวเหนียว,400,กิโลกรัม
2567,อำเภอคลองเขื่อน,ข้าวนาปี,ข้าวเจ้า,951,กิโลกรัม
2567,อำเภอคลองเขื่อน,ข้าวนาปี,ข้าวเหนียว,0,กิโลกรัม
2567,อำเภอเมืองฉะเชิงเทรา,ข้าวนาปรัง ,ข้าวเจ้า,856,กิโลกรัม
2567,อำเภอเมืองฉะเชิงเทรา,ข้าวนาปรัง ,ข้าวเหนียว,0,กิโลกรัม
2567,อำเภอบางคล้า,ข้าวนาปรัง ,ข้าวเจ้า,781,กิโลกรัม
2567,อำเภอบางคล้า,ข้าวนาปรัง ,ข้าวเหนียว,0,กิโลกรัม
2567,อำเภอบางน้ำเปรี้ยว,ข้าวนาปรัง ,ข้าวเจ้า,855,กิโลกรัม
2567,อำเภอบางน้ำเปรี้ยว,ข้าวนาปรัง ,ข้าวเหนียว,0,กิโลกรัม
2567,อำเภอบางปะกง,ข้าวนาปรัง ,ข้าวเจ้า,675,กิโลกรัม
2567,อำเภอบางปะกง,ข้าวนาปรัง ,ข้าวเหนียว,0,กิโลกรัม
2567,อำเภอบ้านโพธิ์,ข้าวนาปรัง ,ข้าวเจ้า,800,กิโลกรัม
2567,อำเภอบ้านโพธิ์,ข้าวนาปรัง ,ข้าวเหนียว,0,กิโลกรัม
2567,อำเภอพนมสารคาม,ข้าวนาปรัง ,ข้าวเจ้า,690,กิโลกรัม
2567,อำเภอพนมสารคาม,ข้าวนาปรัง ,ข้าวเหนียว,0,กิโลกรัม
2567,อำเภอราชสาส์น,ข้าวนาปรัง ,ข้าวเจ้า,705,กิโลกรัม
2567,อำเภอราชสาส์น,ข้าวนาปรัง ,ข้าวเหนียว,0,กิโลกรัม
2567,อำเภอสนามชัยเขต,ข้าวนาปรัง ,ข้าวเจ้า,402,กิโลกรัม
2567,อำเภอสนามชัยเขต,ข้าวนาปรัง ,ข้าวเหนียว,400,กิโลกรัม
2567,อำเภอแปลงยาว,ข้าวนาปรัง ,ข้าวเจ้า,600,กิโลกรัม
2567,อำเภอแปลงยาว,ข้าวนาปรัง ,ข้าวเหนียว,0,กิโลกรัม
2567,อำเภอท่าตะเกียบ,ข้าวนาปรัง ,ข้าวเจ้า,0,กิโลกรัม
2567,อำเภอท่าตะเกียบ,ข้าวนาปรัง ,ข้าวเหนียว,400,กิโลกรัม
2567,อำเภอคลองเขื่อน,ข้าวนาปรัง ,ข้าวเจ้า,951,กิโลกรัม
2567,อำเภอคลองเขื่อน,ข้าวนาปรัง ,ข้าวเหนียว,0,กิโลกรัม
2566,อำเภอเมืองฉะเชิงเทรา,ข้าวนาปี,ข้าวเจ้า,730,กิโลกรัม
2566,อำเภอเมืองฉะเชิงเทรา,ข้าวนาปี,ข้าวเหนียว,0,กิโลกรัม
2566,อำเภอบางคล้า,ข้าวนาปี,ข้าวเจ้า,655,กิโลกรัม
2566,อำเภอบางคล้า,ข้าวนาปี,ข้าวเหนียว,0,กิโลกรัม
2566,อำเภอบางน้ำเปรี้ยว,ข้าวนาปี,ข้าวเจ้า,684,กิโลกรัม
2566,อำเภอบางน้ำเปรี้ยว,ข้าวนาปี,ข้าวเหนียว,0,กิโลกรัม
2566,อำเภอบางปะกง,ข้าวนาปี,ข้าวเจ้า,605,กิโลกรัม
2566,อำเภอบางปะกง,ข้าวนาปี,ข้าวเหนียว,0,กิโลกรัม
2566,อำเภอบ้านโพธิ์,ข้าวนาปี,ข้าวเจ้า,620,กิโลกรัม
2566,อำเภอบ้านโพธิ์,ข้าวนาปี,ข้าวเหนียว,0,กิโลกรัม
2566,อำเภอพนมสารคาม,ข้าวนาปี,ข้าวเจ้า,521,กิโลกรัม
2566,อำเภอพนมสารคาม,ข้าวนาปี,ข้าวเหนียว,0,กิโลกรัม
2566,อำเภอราชสาส์น,ข้าวนาปี,ข้าวเจ้า,640,กิโลกรัม
2566,อำเภอราชสาส์น,ข้าวนาปี,ข้าวเหนียว,0,กิโลกรัม
2566,อำเภอสนามชัยเขต,ข้าวนาปี,ข้าวเจ้า,338,กิโลกรัม
2566,อำเภอสนามชัยเขต,ข้าวนาปี,ข้าวเหนียว,0,กิโลกรัม
2566,อำเภอแปลงยาว,ข้าวนาปี,ข้าวเจ้า,489,กิโลกรัม
2566,อำเภอแปลงยาว,ข้าวนาปี,ข้าวเหนียว,0,กิโลกรัม
2566,อำเภอท่าตะเกียบ,ข้าวนาปี,ข้าวเจ้า,354,กิโลกรัม
2566,อำเภอท่าตะเกียบ,ข้าวนาปี,ข้าวเหนียว,530,กิโลกรัม
2566,อำเภอคลองเขื่อน,ข้าวนาปี,ข้าวเจ้า,752,กิโลกรัม
2566,อำเภอคลองเขื่อน,ข้าวนาปี,ข้าวเหนียว,0,กิโลกรัม
2566,อำเภอเมืองฉะเชิงเทรา,ข้าวนาปรัง ,ข้าวเจ้า,706,กิโลกรัม
2566,อำเภอเมืองฉะเชิงเทรา,ข้าวนาปรัง ,ข้าวเหนียว,0,กิโลกรัม
2566,อำเภอบางคล้า,ข้าวนาปรัง ,ข้าวเจ้า,645,กิโลกรัม
2566,อำเภอบางคล้า,ข้าวนาปรัง ,ข้าวเหนียว,0,กิโลกรัม
2566,อำเภอบางน้ำเปรี้ยว,ข้าวนาปรัง ,ข้าวเจ้า,695,กิโลกรัม
2566,อำเภอบางน้ำเปรี้ยว,ข้าวนาปรัง ,ข้าวเหนียว,0,กิโลกรัม
2566,อำเภอบางปะกง,ข้าวนาปรัง ,ข้าวเจ้า,605,กิโลกรัม
2566,อำเภอบางปะกง,ข้าวนาปรัง ,ข้าวเหนียว,0,กิโลกรัม
2566,อำเภอบ้านโพธิ์,ข้าวนาปรัง ,ข้าวเจ้า,690,กิโลกรัม
2566,อำเภอบ้านโพธิ์,ข้าวนาปรัง ,ข้าวเหนียว,0,กิโลกรัม
2566,อำเภอพนมสารคาม,ข้าวนาปรัง ,ข้าวเจ้า,638,กิโลกรัม
2566,อำเภอพนมสารคาม,ข้าวนาปรัง ,ข้าวเหนียว,0,กิโลกรัม
2566,อำเภอราชสาส์น,ข้าวนาปรัง ,ข้าวเจ้า,629,กิโลกรัม
2566,อำเภอราชสาส์น,ข้าวนาปรัง ,ข้าวเหนียว,0,กิโลกรัม
2566,อำเภอสนามชัยเขต,ข้าวนาปรัง ,ข้าวเจ้า,574,กิโลกรัม
2566,อำเภอสนามชัยเขต,ข้าวนาปรัง ,ข้าวเหนียว,0,กิโลกรัม
2566,อำเภอแปลงยาว,ข้าวนาปรัง ,ข้าวเจ้า,603,กิโลกรัม
2566,อำเภอแปลงยาว,ข้าวนาปรัง ,ข้าวเหนียว,0,กิโลกรัม
2566,อำเภอท่าตะเกียบ,ข้าวนาปรัง ,ข้าวเจ้า,599,กิโลกรัม
2566,อำเภอท่าตะเกียบ,ข้าวนาปรัง ,ข้าวเหนียว,0,กิโลกรัม
2566,อำเภอคลองเขื่อน,ข้าวนาปรัง ,ข้าวเจ้า,749,กิโลกรัม
2566,อำเภอคลองเขื่อน,ข้าวนาปรัง ,ข้าวเหนียว,0,กิโลกรัม
2565,อำเภอเมืองฉะเชิงเทรา,ข้าวนาปี,ข้าวเจ้า,825.81,กิโลกรัม
2565,อำเภอเมืองฉะเชิงเทรา,ข้าวนาปี,ข้าวเหนียว,0,กิโลกรัม
2565,อำเภอบางคล้า,ข้าวนาปี,ข้าวเจ้า,777.07,กิโลกรัม
2565,อำเภอบางคล้า,ข้าวนาปี,ข้าวเหนียว,0,กิโลกรัม
2565,อำเภอบางน้ำเปรี้ยว,ข้าวนาปี,ข้าวเจ้า,798.85,กิโลกรัม
2565,อำเภอบางน้ำเปรี้ยว,ข้าวนาปี,ข้าวเหนียว,0,กิโลกรัม
2565,อำเภอบางปะกง,ข้าวนาปี,ข้าวเจ้า,795.76,กิโลกรัม
2565,อำเภอบางปะกง,ข้าวนาปี,ข้าวเหนียว,0,กิโลกรัม
2565,อำเภอบ้านโพธิ์,ข้าวนาปี,ข้าวเจ้า,801.37,กิโลกรัม
2565,อำเภอบ้านโพธิ์,ข้าวนาปี,ข้าวเหนียว,0,กิโลกรัม
2565,อำเภอพนมสารคาม,ข้าวนาปี,ข้าวเจ้า,680.89,กิโลกรัม
2565,อำเภอพนมสารคาม,ข้าวนาปี,ข้าวเหนียว,0,กิโลกรัม
2565,อำเภอราชสาส์น,ข้าวนาปี,ข้าวเจ้า,656.32,กิโลกรัม
