ปี,ฤดูกาล,อำเภอ,ประเภท,ประเภทข้าว,จำนวน,หน่วย
2568,ข้าวนาปรัง,อำเภอเมืองฉะเชิงเทรา,เนื้อที่เพาะปลูกข้าว ,ข้าวเจ้า,40909,ไร่
2568,ข้าวนาปรัง,อำเภอเมืองฉะเชิงเทรา,เนื้อที่เพาะปลูกข้าว ,ข้าวเหนียว,0,ไร่
2568,ข้าวนาปรัง,อำเภอเมืองฉะเชิงเทรา,เนื้อที่เพาะปลูกข้าว ,ข้าวเจ้า,40612,ไร่
2568,ข้าวนาปรัง,อำเภอเมืองฉะเชิงเทรา,เนื้อที่เพาะปลูกข้าว ,ข้าวเหนียว,0,ไร่
2568,ข้าวนาปรัง,อำเภอเมืองฉะเชิงเทรา,เนื้อที่เก็บเกี่ยว,ข้าวเจ้า,40909,ไร่
2568,ข้าวนาปรัง,อำเภอเมืองฉะเชิงเทรา,เนื้อที่เก็บเกี่ยว,ข้าวเหนียว,0,ไร่
2568,ข้าวนาปรัง,อำเภอเมืองฉะเชิงเทรา,เนื้อที่เก็บเกี่ยว,ข้าวเจ้า,40612,ไร่
2568,ข้าวนาปรัง,อำเภอเมืองฉะเชิงเทรา,เนื้อที่เก็บเกี่ยว,ข้าวเหนียว,0,ไร่
2568,ข้าวนาปรัง,อำเภอบางคล้า,เนื้อที่เพาะปลูกข้าว ,ข้าวเจ้า,14416,ไร่
2568,ข้าวนาปรัง,อำเภอบางคล้า,เนื้อที่เพาะปลูกข้าว ,ข้าวเหนียว,0,ไร่
2568,ข้าวนาปรัง,อำเภอบางคล้า,เนื้อที่เพาะปลูกข้าว ,ข้าวเจ้า,14327,ไร่
2568,ข้าวนาปรัง,อำเภอบางคล้า,เนื้อที่เพาะปลูกข้าว ,ข้าวเหนียว,0,ไร่
2568,ข้าวนาปรัง,อำเภอบางคล้า,เนื้อที่เก็บเกี่ยว,ข้าวเจ้า,14416,ไร่
2568,ข้าวนาปรัง,อำเภอบางคล้า,เนื้อที่เก็บเกี่ยว,ข้าวเหนียว,0,ไร่
2568,ข้าวนาปรัง,อำเภอบางคล้า,เนื้อที่เก็บเกี่ยว,ข้าวเจ้า,14327,ไร่
2568,ข้าวนาปรัง,อำเภอบางคล้า,เนื้อที่เก็บเกี่ยว,ข้าวเหนียว,0,ไร่
2568,ข้าวนาปรัง,อำเภอบางน้ำเปรี้ยว,เนื้อที่เพาะปลูกข้าว ,ข้าวเจ้า,95268,ไร่
2568,ข้าวนาปรัง,อำเภอบางน้ำเปรี้ยว,เนื้อที่เพาะปลูกข้าว ,ข้าวเหนียว,0,ไร่
2568,ข้าวนาปรัง,อำเภอบางน้ำเปรี้ยว,เนื้อที่เพาะปลูกข้าว ,ข้าวเจ้า,94982,ไร่
2568,ข้าวนาปรัง,อำเภอบางน้ำเปรี้ยว,เนื้อที่เพาะปลูกข้าว ,ข้าวเหนียว,0,ไร่
2568,ข้าวนาปรัง,อำเภอบางน้ำเปรี้ยว,เนื้อที่เก็บเกี่ยว,ข้าวเจ้า,95268,ไร่
2568,ข้าวนาปรัง,อำเภอบางน้ำเปรี้ยว,เนื้อที่เก็บเกี่ยว,ข้าวเหนียว,0,ไร่
2568,ข้าวนาปรัง,อำเภอบางน้ำเปรี้ยว,เนื้อที่เก็บเกี่ยว,ข้าวเจ้า,94982,ไร่
2568,ข้าวนาปรัง,อำเภอบางน้ำเปรี้ยว,เนื้อที่เก็บเกี่ยว,ข้าวเหนียว,0,ไร่
2568,ข้าวนาปรัง,อำเภอบางปะกง,เนื้อที่เพาะปลูกข้าว ,ข้าวเจ้า,9399,ไร่
2568,ข้าวนาปรัง,อำเภอบางปะกง,เนื้อที่เพาะปลูกข้าว ,ข้าวเหนียว,0,ไร่
2568,ข้าวนาปรัง,อำเภอบางปะกง,เนื้อที่เพาะปลูกข้าว ,ข้าวเจ้า,9336,ไร่
2568,ข้าวนาปรัง,อำเภอบางปะกง,เนื้อที่เพาะปลูกข้าว ,ข้าวเหนียว,0,ไร่
2568,ข้าวนาปรัง,อำเภอบางปะกง,เนื้อที่เก็บเกี่ยว,ข้าวเจ้า,9399,ไร่
2568,ข้าวนาปรัง,อำเภอบางปะกง,เนื้อที่เก็บเกี่ยว,ข้าวเหนียว,0,ไร่
2568,ข้าวนาปรัง,อำเภอบางปะกง,เนื้อที่เก็บเกี่ยว,ข้าวเจ้า,9336,ไร่
2568,ข้าวนาปรัง,อำเภอบางปะกง,เนื้อที่เก็บเกี่ยว,ข้าวเหนียว,0,ไร่
2568,ข้าวนาปรัง,อำเภอบ้านโพธิ์,เนื้อที่เพาะปลูกข้าว ,ข้าวเจ้า,10561,ไร่
2568,ข้าวนาปรัง,อำเภอบ้านโพธิ์,เนื้อที่เพาะปลูกข้าว ,ข้าวเหนียว,0,ไร่
2568,ข้าวนาปรัง,อำเภอบ้านโพธิ์,เนื้อที่เพาะปลูกข้าว ,ข้าวเจ้า,10511,ไร่
2568,ข้าวนาปรัง,อำเภอบ้านโพธิ์,เนื้อที่เพาะปลูกข้าว ,ข้าวเหนียว,0,ไร่
2568,ข้าวนาปรัง,อำเภอบ้านโพธิ์,เนื้อที่เก็บเกี่ยว,ข้าวเจ้า,10561,ไร่
2568,ข้าวนาปรัง,อำเภอบ้านโพธิ์,เนื้อที่เก็บเกี่ยว,ข้าวเหนียว,0,ไร่
2568,ข้าวนาปรัง,อำเภอบ้านโพธิ์,เนื้อที่เก็บเกี่ยว,ข้าวเจ้า,10511,ไร่
2568,ข้าวนาปรัง,อำเภอบ้านโพธิ์,เนื้อที่เก็บเกี่ยว,ข้าวเหนียว,0,ไร่
2568,ข้าวนาปรัง,อำเภอพนมสารคาม,เนื้อที่เพาะปลูกข้าว ,ข้าวเจ้า,28576,ไร่
2568,ข้าวนาปรัง,อำเภอพนมสารคาม,เนื้อที่เพาะปลูกข้าว ,ข้าวเหนียว,0,ไร่
2568,ข้าวนาปรัง,อำเภอพนมสารคาม,เนื้อที่เพาะปลูกข้าว ,ข้าวเจ้า,28396,ไร่
2568,ข้าวนาปรัง,อำเภอพนมสารคาม,เนื้อที่เพาะปลูกข้าว ,ข้าวเหนียว,0,ไร่
2568,ข้าวนาปรัง,อำเภอพนมสารคาม,เนื้อที่เก็บเกี่ยว,ข้าวเจ้า,28576,ไร่
2568,ข้าวนาปรัง,อำเภอพนมสารคาม,เนื้อที่เก็บเกี่ยว,ข้าวเหนียว,0,ไร่
2568,ข้าวนาปรัง,อำเภอพนมสารคาม,เนื้อที่เก็บเกี่ยว,ข้าวเจ้า,28396,ไร่
2568,ข้าวนาปรัง,อำเภอพนมสารคาม,เนื้อที่เก็บเกี่ยว,ข้าวเหนียว,0,ไร่
2568,ข้าวนาปรัง,อำเภอราชสาส์น,เนื้อที่เพาะปลูกข้าว ,ข้าวเจ้า,32493,ไร่
2568,ข้าวนาปรัง,อำเภอราชสาส์น,เนื้อที่เพาะปลูกข้าว ,ข้าวเหนียว,0,ไร่
2568,ข้าวนาปรัง,อำเภอราชสาส์น,เนื้อที่เพาะปลูกข้าว ,ข้าวเจ้า,32331,ไร่
2568,ข้าวนาปรัง,อำเภอราชสาส์น,เนื้อที่เพาะปลูกข้าว ,ข้าวเหนียว,0,ไร่
2568,ข้าวนาปรัง,อำเภอราชสาส์น,เนื้อที่เก็บเกี่ยว,ข้าวเจ้า,32493,ไร่
2568,ข้าวนาปรัง,อำเภอราชสาส์น,เนื้อที่เก็บเกี่ยว,ข้าวเหนียว,0,ไร่
2568,ข้าวนาปรัง,อำเภอราชสาส์น,เนื้อที่เก็บเกี่ยว,ข้าวเจ้า,32331,ไร่
2568,ข้าวนาปรัง,อำเภอราชสาส์น,เนื้อที่เก็บเกี่ยว,ข้าวเหนียว,0,ไร่
2568,ข้าวนาปรัง,อำเภอสนามชัยเขต,เนื้อที่เพาะปลูกข้าว ,ข้าวเจ้า,9781,ไร่
2568,ข้าวนาปรัง,อำเภอสนามชัยเขต,เนื้อที่เพาะปลูกข้าว ,ข้าวเหนียว,0,ไร่
2568,ข้าวนาปรัง,อำเภอสนามชัยเขต,เนื้อที่เพาะปลูกข้าว ,ข้าวเจ้า,9766,ไร่
2568,ข้าวนาปรัง,อำเภอสนามชัยเขต,เนื้อที่เพาะปลูกข้าว ,ข้าวเหนียว,0,ไร่
2568,ข้าวนาปรัง,อำเภอสนามชัยเขต,เนื้อที่เก็บเกี่ยว,ข้าวเจ้า,9781,ไร่
2568,ข้าวนาปรัง,อำเภอสนามชัยเขต,เนื้อที่เก็บเกี่ยว,ข้าวเหนียว,0,ไร่
2568,ข้าวนาปรัง,อำเภอสนามชัยเขต,เนื้อที่เก็บเกี่ยว,ข้าวเจ้า,9766,ไร่
2568,ข้าวนาปรัง,อำเภอสนามชัยเขต,เนื้อที่เก็บเกี่ยว,ข้าวเหนียว,0,ไร่
2568,ข้าวนาปรัง,อำเภอแปลงยาว,เนื้อที่เพาะปลูกข้าว ,ข้าวเจ้า,3728,ไร่
2568,ข้าวนาปรัง,อำเภอแปลงยาว,เนื้อที่เพาะปลูกข้าว ,ข้าวเหนียว,0,ไร่
2568,ข้าวนาปรัง,อำเภอแปลงยาว,เนื้อที่เพาะปลูกข้าว ,ข้าวเจ้า,3706,ไร่
2568,ข้าวนาปรัง,อำเภอแปลงยาว,เนื้อที่เพาะปลูกข้าว ,ข้าวเหนียว,0,ไร่
2568,ข้าวนาปรัง,อำเภอแปลงยาว,เนื้อที่เก็บเกี่ยว,ข้าวเจ้า,3728,ไร่
2568,ข้าวนาปรัง,อำเภอแปลงยาว,เนื้อที่เก็บเกี่ยว,ข้าวเหนียว,0,ไร่
2568,ข้าวนาปรัง,อำเภอแปลงยาว,เนื้อที่เก็บเกี่ยว,ข้าวเจ้า,3706,ไร่
2568,ข้าวนาปรัง,อำเภอแปลงยาว,เนื้อที่เก็บเกี่ยว,ข้าวเหนียว,0,ไร่
2568,ข้าวนาปรัง,อำเภอท่าตะเกียบ,เนื้อที่เพาะปลูกข้าว ,ข้าวเจ้า,1146,ไร่
2568,ข้าวนาปรัง,อำเภอท่าตะเกียบ,เนื้อที่เพาะปลูกข้าว ,ข้าวเหนียว,0,ไร่
