ปี,ชนิดของพืชผัก,จำนวน,หน่วย
2567,ข่า,565,กิโลกรัม
2567,คะน้า,"1,209",กิโลกรัม
2567,ชะอม,30,กิโลกรัม
2567,ตะไคร้,453,กิโลกรัม
2567,แตงกวา,659,กิโลกรัม
2567,ถั่วฝักยาว,297,กิโลกรัม
2567,ผักกวางตุ้ง,"1,000",กิโลกรัม
2567,ผักคึ่นฉ่าย,233,กิโลกรัม
2567,ผักชีฝรั่ง,88,กิโลกรัม
2567,ผักบุ้งจีน,"1,507",กิโลกรัม
2567,พริกขี้หนู,120,กิโลกรัม
2566,ข่า,601.5,กิโลกรัม
2566,คะน้า,370,กิโลกรัม
2566,ชะอม,775,กิโลกรัม
2566,ตะไคร้,"2,179.29",กิโลกรัม
2566,แตงกวา,"1,900.02",กิโลกรัม
2566,ถั่วฝักยาว,"2,625.01",กิโลกรัม
2566,ผักกวางตุ้ง,392.6,กิโลกรัม
2566,ผักคึ่นฉ่าย,894.14,กิโลกรัม
2566,ผักชีฝรั่ง,900,กิโลกรัม
2566,ผักบุ้งจีน,"2,000.00",กิโลกรัม
2566,พริกขี้หนู,"2,217.02",กิโลกรัม
2565,ข่า,"1,494.54",กิโลกรัม
2565,คะน้า,899.54,กิโลกรัม
2565,ชะอม,326.13,กิโลกรัม
2565,ตะไคร้,"1,018.43",กิโลกรัม
2565,แตงกวา,340.97,กิโลกรัม
2565,ถั่วฝักยาว,528.26,กิโลกรัม
2565,ผักกวางตุ้ง,751.41,กิโลกรัม
2565,ผักขึ้นฉ่าย,995.36,กิโลกรัม
2565,ผักชีฝรั่ง,"1,000.00",กิโลกรัม
2565,ผักบุ้งจีน,894.1,กิโลกรัม
2565,พริกขี้หนู,362.14,กิโลกรัม
2568,ข่า,"1,500.00",กิโลกรัม
2568,คะน้า,675.00,กิโลกรัม
2568,ชะอม,"1,712.50",กิโลกรัม
2568,ตะไคร้,"1,039.17",กิโลกรัม
2568,แตงกวา,"2,000.00",กิโลกรัม
2568,ถั่วฝักยาว,"1,300.00",กิโลกรัม
2568,ผักกวางตุ้ง,800.00,กิโลกรัม
2568,ผักคึ่นฉ่าย,912.50,กิโลกรัม
2568,ผักชีฝรั่ง,300.00,กิโลกรัม
2568,ผักบุ้งจีน,883.33,กิโลกรัม
2568,พริกขี้หนู,"1,650.00",กิโลกรัม
