ปี,ชนิดของพืชผัก,ประเภท,จำนวน
2568,ข่า,เนื้อที่เพาะปลูก (ไร่),1463
2568,ข่า,เนื้อที่เก็บเกี่ยว (ไร่),1463
2568,ข่า,ผลผลิต (ตัน),2194.5
2568,คะน้า,เนื้อที่เพาะปลูก (ไร่),720
2568,คะน้า,เนื้อที่เก็บเกี่ยว (ไร่),720
2568,คะน้า,ผลผลิต (ตัน),486
2568,ชะอม,เนื้อที่เพาะปลูก (ไร่),169
2568,ชะอม,เนื้อที่เก็บเกี่ยว (ไร่),169
2568,ชะอม,ผลผลิต (ตัน),289.4125
2568,ตะไคร้,เนื้อที่เพาะปลูก (ไร่),2060
2568,ตะไคร้,เนื้อที่เก็บเกี่ยว (ไร่),2060
2568,ตะไคร้,ผลผลิต (ตัน),2140.6902
2568,แตงกวา,เนื้อที่เพาะปลูก (ไร่),732
2568,แตงกวา,เนื้อที่เก็บเกี่ยว (ไร่),732
2568,แตงกวา,ผลผลิต (ตัน),1464
2568,ถั่วฝักยาว,เนื้อที่เพาะปลูก (ไร่),860
2568,ถั่วฝักยาว,เนื้อที่เก็บเกี่ยว (ไร่),860
2568,ถั่วฝักยาว,ผลผลิต (ตัน),1118
2568,ผักกวางตุ้ง,เนื้อที่เพาะปลูก (ไร่),360
2568,ผักกวางตุ้ง,เนื้อที่เก็บเกี่ยว (ไร่),360
2568,ผักกวางตุ้ง,ผลผลิต (ตัน),288
2568,ผักคึ่นฉ่าย,เนื้อที่เพาะปลูก (ไร่),236
2568,ผักคึ่นฉ่าย,เนื้อที่เก็บเกี่ยว (ไร่),236
2568,ผักคึ่นฉ่าย,ผลผลิต (ตัน),215.35
2568,ผักชีฝรั่ง,เนื้อที่เพาะปลูก (ไร่),18
2568,ผักชีฝรั่ง,เนื้อที่เก็บเกี่ยว (ไร่),18
2568,ผักชีฝรั่ง,ผลผลิต (ตัน),5.4
2568,ผักบุ้งจีน,เนื้อที่เพาะปลูก (ไร่),610
2568,ผักบุ้งจีน,เนื้อที่เก็บเกี่ยว (ไร่),610
2568,ผักบุ้งจีน,ผลผลิต (ตัน),538.8313
2568,พริกขี้หนู,เนื้อที่เพาะปลูก (ไร่),2156
2568,พริกขี้หนู,เนื้อที่เก็บเกี่ยว (ไร่),2156
2568,พริกขี้หนู,ผลผลิต (ตัน),3557.4
2567,ข่า,เนื้อที่เพาะปลูก (ไร่),2802
2567,ข่า,เนื้อที่เก็บเกี่ยว (ไร่),2107
2567,ข่า,ผลผลิต (ตัน),1191
2567,คะน้า,เนื้อที่เพาะปลูก (ไร่),74
2567,คะน้า,เนื้อที่เก็บเกี่ยว (ไร่),43
2567,คะน้า,ผลผลิต (ตัน),52
2567,ชะอม,เนื้อที่เพาะปลูก (ไร่),2166
2567,ชะอม,เนื้อที่เก็บเกี่ยว (ไร่),1798
2567,ชะอม,ผลผลิต (ตัน),54
2567,ตะไคร้,เนื้อที่เพาะปลูก (ไร่),3397
2567,ตะไคร้,เนื้อที่เก็บเกี่ยว (ไร่),2545
2567,ตะไคร้,ผลผลิต (ตัน),1153
2567,แตงกวา,เนื้อที่เพาะปลูก (ไร่),915
2567,แตงกวา,เนื้อที่เก็บเกี่ยว (ไร่),842
2567,แตงกวา,ผลผลิต (ตัน),555
2567,ถั่วฝักยาว,เนื้อที่เพาะปลูก (ไร่),857
2567,ถั่วฝักยาว,เนื้อที่เก็บเกี่ยว (ไร่),805
2567,ถั่วฝักยาว,ผลผลิต (ตัน),239
2567,ผักกวางตุ้ง,เนื้อที่เพาะปลูก (ไร่),32
2567,ผักกวางตุ้ง,เนื้อที่เก็บเกี่ยว (ไร่),25
2567,ผักกวางตุ้ง,ผลผลิต (ตัน),25
2567,ผักคึ่นฉ่าย,เนื้อที่เพาะปลูก (ไร่),45
2567,ผักคึ่นฉ่าย,เนื้อที่เก็บเกี่ยว (ไร่),30
2567,ผักคึ่นฉ่าย,ผลผลิต (ตัน),7
2567,ผักชีฝรั่ง,เนื้อที่เพาะปลูก (ไร่),5
2567,ผักชีฝรั่ง,เนื้อที่เก็บเกี่ยว (ไร่),4
2567,ผักชีฝรั่ง,ผลผลิต (ตัน),0.35
2567,ผักบุ้งจีน,เนื้อที่เพาะปลูก (ไร่),162
2567,ผักบุ้งจีน,เนื้อที่เก็บเกี่ยว (ไร่),142
2567,ผักบุ้งจีน,ผลผลิต (ตัน),214
2567,พริกขี้หนู,เนื้อที่เพาะปลูก (ไร่),1816
2567,พริกขี้หนู,เนื้อที่เก็บเกี่ยว (ไร่),1669
2567,พริกขี้หนู,ผลผลิต (ตัน),200
2566,ข่า,เนื้อที่เพาะปลูก (ไร่),613.75
2566,ข่า,เนื้อที่เก็บเกี่ยว (ไร่),613.75
2566,ข่า,ผลผลิต (ตัน),369.17
2566,คะน้า,เนื้อที่เพาะปลูก (ไร่),3.84
2566,คะน้า,เนื้อที่เก็บเกี่ยว (ไร่),3
2566,คะน้า,ผลผลิต (ตัน),1.11
2566,ชะอม,เนื้อที่เพาะปลูก (ไร่),537.5
2566,ชะอม,เนื้อที่เก็บเกี่ยว (ไร่),537.5
2566,ชะอม,ผลผลิต (ตัน),416.56
2566,ตะไคร้,เนื้อที่เพาะปลูก (ไร่),852.38
2566,ตะไคร้,เนื้อที่เก็บเกี่ยว (ไร่),852.38
2566,ตะไคร้,ผลผลิต (ตัน),1857.58
2566,แตงกวา,เนื้อที่เพาะปลูก (ไร่),256.75
2566,แตงกวา,เนื้อที่เก็บเกี่ยว (ไร่),256.75
2566,แตงกวา,ผลผลิต (ตัน),487.83
2566,ถั่วฝักยาว,เนื้อที่เพาะปลูก (ไร่),287.5
2566,ถั่วฝักยาว,เนื้อที่เก็บเกี่ยว (ไร่),287.5
2566,ถั่วฝักยาว,ผลผลิต (ตัน),754.69
2566,ผักกวางตุ้ง,เนื้อที่เพาะปลูก (ไร่),75
2566,ผักกวางตุ้ง,เนื้อที่เก็บเกี่ยว (ไร่),73
2566,ผักกวางตุ้ง,ผลผลิต (ตัน),28.66
2566,ผักคึ่นฉ่าย,เนื้อที่เพาะปลูก (ไร่),33.25
2566,ผักคึ่นฉ่าย,เนื้อที่เก็บเกี่ยว (ไร่),33.25
2566,ผักคึ่นฉ่าย,ผลผลิต (ตัน),29.73
2566,ผักชีฝรั่ง,เนื้อที่เพาะปลูก (ไร่),19
2566,ผักชีฝรั่ง,เนื้อที่เก็บเกี่ยว (ไร่),19
2566,ผักชีฝรั่ง,ผลผลิต (ตัน),17.1
2566,ผักบุ้งจีน,เนื้อที่เพาะปลูก (ไร่),39
2566,ผักบุ้งจีน,เนื้อที่เก็บเกี่ยว (ไร่),39
2566,ผักบุ้งจีน,ผลผลิต (ตัน),78
2566,พริกขี้หนู,เนื้อที่เพาะปลูก (ไร่),124
2566,พริกขี้หนู,เนื้อที่เก็บเกี่ยว (ไร่),124
2566,พริกขี้หนู,ผลผลิต (ตัน),274.91
2565,ข่า,เนื้อที่เพาะปลูก (ไร่),3202.15
2565,ข่า,เนื้อที่เก็บเกี่ยว (ไร่),2519
2565,ข่า,ผลผลิต (ตัน),3764.75
2565,คะน้า,เนื้อที่เพาะปลูก (ไร่),262.84
2565,คะน้า,เนื้อที่เก็บเกี่ยว (ไร่),219
2565,คะน้า,ผลผลิต (ตัน),197
2565,ชะอม,เนื้อที่เพาะปลูก (ไร่),1226.5
2565,ชะอม,เนื้อที่เก็บเกี่ยว (ไร่),1142.5
2565,ชะอม,ผลผลิต (ตัน),372.6
2565,ตะไคร้,เนื้อที่เพาะปลูก (ไร่),6089.65
2565,ตะไคร้,เนื้อที่เก็บเกี่ยว (ไร่),5248
2565,ตะไคร้,ผลผลิต (ตัน),5344.7
2565,แตงกวา,เนื้อที่เพาะปลูก (ไร่),1152
2565,แตงกวา,เนื้อที่เก็บเกี่ยว (ไร่),1091
2565,แตงกวา,ผลผลิต (ตัน),372
2565,ถั่วฝักยาว,เนื้อที่เพาะปลูก (ไร่),1463.25
2565,ถั่วฝักยาว,เนื้อที่เก็บเกี่ยว (ไร่),1378.25
2565,ถั่วฝักยาว,ผลผลิต (ตัน),728.07
2565,ผักกวางตุ้ง,เนื้อที่เพาะปลูก (ไร่),276
2565,ผักกวางตุ้ง,เนื้อที่เก็บเกี่ยว (ไร่),249
2565,ผักกวางตุ้ง,ผลผลิต (ตัน),187.1
2565,ผักขึ้นฉ่าย,เนื้อที่เพาะปลูก (ไร่),495
2565,ผักขึ้นฉ่าย,เนื้อที่เก็บเกี่ยว (ไร่),431
2565,ผักขึ้นฉ่าย,ผลผลิต (ตัน),429
2565,ผักชีฝรั่ง,เนื้อที่เพาะปลูก (ไร่),372
2565,ผักชีฝรั่ง,เนื้อที่เก็บเกี่ยว (ไร่),337
2565,ผักชีฝรั่ง,ผลผลิต (ตัน),337
2565,ผักบุ้งจีน,เนื้อที่เพาะปลูก (ไร่),327
2565,ผักบุ้งจีน,เนื้อที่เก็บเกี่ยว (ไร่),288
2565,ผักบุ้งจีน,ผลผลิต (ตัน),257.5
2565,พริกขี้หนู,เนื้อที่เพาะปลูก (ไร่),1975.44
2565,พริกขี้หนู,เนื้อที่เก็บเกี่ยว (ไร่),1833
2565,พริกขี้หนู,ผลผลิต (ตัน),663.8
