ปี,ชนิดของพืชไร่,จำนวน,หน่วย
2568,ข้าวโพดเลี้ยงสัตว์,701.76,กิโลกรัม
2568,มันสำปะหลังโรงงาน,"2,806.04",กิโลกรัม
2568,สับปะรด,"5,072.44",กิโลกรัม
2568,อ้อยโรงงาน,"9,615.75",กิโลกรัม
2567,ข้าวโพดเลี้ยงสัตว์,683,กิโลกรัม
2567,มันสำปะหลังโรงงาน ,2991,กิโลกรัม
2567,สับปะรด,4935,กิโลกรัม
2567,อ้อยโรงงาน ,6870,กิโลกรัม
2566,ข้าวโพดเลี้ยงสัตว์,691,กิโลกรัม
2566,มันสำปะหลังโรงงาน ,3298,กิโลกรัม
2566,สับปะรด,5161,กิโลกรัม
2566,อ้อยโรงงาน ,7768,กิโลกรัม
2565,ข้าวโพดเลี้ยงสัตว์,1150,กิโลกรัม
2565,มันสำปะหลังโรงงาน ,3225.06,กิโลกรัม
2565,สับปะรด,5043.69,กิโลกรัม
2565,อ้อยโรงงาน ,7605.47,กิโลกรัม
