ปี,ชนิดของพืชไร่,ประเภท,จำนวน
2568,ข้าวโพดเลี้ยงสัตว์,เนื้อที่เพาะปลูก,3457
2568,ข้าวโพดเลี้ยงสัตว์,เนื้อที่เก็บเกี่ยว,3354
2568,ข้าวโพดเลี้ยงสัตว์,ผลผลิต,2426
2568,มันสำปะหลังโรงงาน,เนื้อที่เพาะปลูก,140166
2568,มันสำปะหลังโรงงาน,เนื้อที่เก็บเกี่ยว,133662
2568,มันสำปะหลังโรงงาน,ผลผลิต,393311
2568,สับปะรด,เนื้อที่เพาะปลูก,7758
2568,สับปะรด,เนื้อที่เก็บเกี่ยว,7546
2568,สับปะรด,ผลผลิต,39352
2568,อ้อยโรงงาน,เนื้อที่เพาะปลูก,9858
2568,อ้อยโรงงาน,เนื้อที่เก็บเกี่ยว,9858
2568,อ้อยโรงงาน,ผลผลิต ,94792.06
2567,ข้าวโพดเลี้ยงสัตว์,เนื่อที่เพาะปลูก,3762
2567,ข้าวโพดเลี้ยงสัตว์,เนื้อที่เก็บเกี่ยว,3718
2567,ข้าวโพดเลี้ยงสัตว์,ผลผลิต,2540
2567,มันสำปะหลังโรงงาน ,เนื่อที่เพาะปลูก,176360
2567,มันสำปะหลังโรงงาน ,เนื้อที่เก็บเกี่ยว,167317
2567,มันสำปะหลังโรงงาน ,ผลผลิต,500562
2567,สับปะรด,เนื่อที่เพาะปลูก,7718
2567,สับปะรด,เนื้อที่เก็บเกี่ยว,7590
2567,สับปะรด,ผลผลิต,37459
2567,อ้อยโรงงาน ,เนื่อที่เพาะปลูก,10901
2567,อ้อยโรงงาน ,เนื้อที่เก็บเกี่ยว,8189
2567,อ้อยโรงงาน ,ผลผลิต,56260
2566,ข้าวโพดเลี้ยงสัตว์,เนื่อที่เพาะปลูก,3601
2566,ข้าวโพดเลี้ยงสัตว์,เนื้อที่เก็บเกี่ยว,3556
2566,ข้าวโพดเลี้ยงสัตว์,ผลผลิต,2458
2566,มันสำปะหลังโรงงาน ,เนื่อที่เพาะปลูก,201342
2566,มันสำปะหลังโรงงาน ,เนื้อที่เก็บเกี่ยว,193421
2566,มันสำปะหลังโรงงาน ,ผลผลิต,637820
2566,สับปะรด,เนื่อที่เพาะปลูก,7674
2566,สับปะรด,เนื้อที่เก็บเกี่ยว,7485
2566,สับปะรด,ผลผลิต,38629
2566,อ้อยโรงงาน ,เนื่อที่เพาะปลูก,12475
2566,อ้อยโรงงาน ,เนื้อที่เก็บเกี่ยว,6619
2566,อ้อยโรงงาน ,ผลผลิต,51414
2565,ข้าวโพดเลี้ยงสัตว์,เนื่อที่เพาะปลูก,2330
2565,ข้าวโพดเลี้ยงสัตว์,เนื้อที่เก็บเกี่ยว,2330
2565,ข้าวโพดเลี้ยงสัตว์,ผลผลิต,2679
2565,มันสำปะหลังโรงงาน ,เนื่อที่เพาะปลูก,195003
2565,มันสำปะหลังโรงงาน ,เนื้อที่เก็บเกี่ยว,88032
2565,มันสำปะหลังโรงงาน ,ผลผลิต,283908
2565,สับปะรด,เนื่อที่เพาะปลูก,6344
2565,สับปะรด,เนื้อที่เก็บเกี่ยว,4234
2565,สับปะรด,ผลผลิต,21355
2565,อ้อยโรงงาน ,เนื่อที่เพาะปลูก,8678
2565,อ้อยโรงงาน ,เนื้อที่เก็บเกี่ยว,5855
2565,อ้อยโรงงาน ,ผลผลิต,44530
