ปี,ชนิด,ประเภท,จำนวน
2565,มะม่วง,เนื้อที่เพาะปลูก (ไร่),26153.82
2565,มะม่วง,เนื้อที่เก็บเกี่ยว (ไร่),10038
2565,มะม่วง,ผลผลิต (ตัน),5543.8
2565,มะพร้าว,เนื้อที่เพาะปลูก (ไร่),16639.07
2565,มะพร้าว,เนื้อที่เก็บเกี่ยว (ไร่),11573.32
2565,มะพร้าว,ผลผลิต (ตัน),40136.83
2565,ยางพารา,เนื้อที่เพาะปลูก (ไร่),219593.25
2565,ยางพารา,เนื้อที่เก็บเกี่ยว (ไร่),84082
2565,ยางพารา,ผลผลิต (ตัน),24308.21
2565,หมาก,เนื้อที่เพาะปลูก (ไร่),4344.5
2565,หมาก,เนื้อที่เก็บเกี่ยว (ไร่),2863
2565,หมาก,ผลผลิต (ตัน),12139.8
2566,มะม่วง,เนื้อที่เพาะปลูก (ไร่),21272.45
2566,มะม่วง,เนื้อที่เก็บเกี่ยว (ไร่),19897.75
2566,มะม่วง,ผลผลิต (ตัน),18035.51
2566,มะพร้าว,เนื้อที่เพาะปลูก (ไร่),4125
2566,มะพร้าว,เนื้อที่เก็บเกี่ยว (ไร่),3901
2566,มะพร้าว,ผลผลิต (ตัน),1973.91
2566,ยางพารา,เนื้อที่เพาะปลูก (ไร่),233490
2566,ยางพารา,เนื้อที่เก็บเกี่ยว (ไร่),206336
2566,ยางพารา,ผลผลิต (ตัน),36755
2566,หมาก,เนื้อที่เพาะปลูก (ไร่),2741.25
2566,หมาก,เนื้อที่เก็บเกี่ยว (ไร่),2725
2566,หมาก,ผลผลิต (ตัน),3195
2566,มะพร้าวอ่อน,เนื้อที่เพาะปลูก (ไร่),9885
2566,มะพร้าวอ่อน,เนื้อที่เก็บเกี่ยว (ไร่),9447
2566,มะพร้าวอ่อน,ผลผลิต (ตัน),7681.26
2567,มะม่วง,เนื้อที่เพาะปลูก (ไร่),17741
2567,มะม่วง,เนื้อที่เก็บเกี่ยว (ไร่),17459
2567,มะม่วง,ผลผลิต (ตัน),12907
2567,มะพร้าว,เนื้อที่เพาะปลูก (ไร่),1890
2567,มะพร้าว,เนื้อที่เก็บเกี่ยว (ไร่),1179
2567,มะพร้าว,ผลผลิต (ตัน),1241
2567,ยางพารา,เนื้อที่เพาะปลูก (ไร่),231810
2567,ยางพารา,เนื้อที่เก็บเกี่ยว (ไร่),142228
2567,ยางพารา,ผลผลิต (ตัน),1608
2567,หมาก,เนื้อที่เพาะปลูก (ไร่),2618
2567,หมาก,เนื้อที่เก็บเกี่ยว (ไร่),1989
2567,หมาก,ผลผลิต (ตัน),2013
2567,มะพร้าวอ่อน,เนื้อที่เพาะปลูก (ไร่),11137
2567,มะพร้าวอ่อน,เนื้อที่เก็บเกี่ยว (ไร่),6575
2567,มะพร้าวอ่อน,ผลผลิต (ตัน),9104
2568,มะม่วง,เนื้อที่เพาะปลูก (ไร่),17089.75
2568,มะม่วง,เนื้อที่เก็บเกี่ยว (ไร่),16607
2568,มะม่วง,ผลผลิต (ตัน),10483.55
2568,มะพร้าว,เนื้อที่เพาะปลูก (ไร่),1968
2568,มะพร้าว,เนื้อที่เก็บเกี่ยว (ไร่),1802
2568,มะพร้าว,ผลผลิต (ตัน),827.12
2568,ยางพารา,เนื้อที่เพาะปลูก (ไร่),232144
2568,ยางพารา,เนื้อที่เก็บเกี่ยว (ไร่),210272
2568,ยางพารา,ผลผลิต (ตัน),41034
2568,หมาก,เนื้อที่เพาะปลูก (ไร่),2737.06
2568,หมาก,เนื้อที่เก็บเกี่ยว (ไร่),2728.06
2568,หมาก,ผลผลิต (ตัน),3319.14
2568,มะพร้าวอ่อน,เนื้อที่เพาะปลูก (ไร่),11181.6
2568,มะพร้าวอ่อน,เนื้อที่เก็บเกี่ยว (ไร่),10587.85
2568,มะพร้าวอ่อน,ผลผลิต (ตัน),11532.85
