ปี,อำเภอ,จำนวน,หน่วย
2564,เชียงคาน,"27,299",แปลง
2564,ด่านซ้าย,"33,403",แปลง
2564,ท่าลี่,"18,355",แปลง
2564,นาด้วง,"15,705",แปลง
2564,นาแห้ว,"9,708",แปลง
2564,ปากชม,"25,512",แปลง
2564,ผาขาว,"10,686",แปลง
2564,ภูกระดึง,"8,548",แปลง
2564,ภูเรือ,"17,023",แปลง
2564,ภูหลวง,"11,483",แปลง
2564,เมืองเลย,"43,210",แปลง
2564,วังสะพุง,"43,985",แปลง
2564,หนองหิน,"9,028",แปลง
2564,เอราวัณ,"8,948",แปลง
2565,เชียงคาน,"26,419",แปลง
2565,ด่านซ้าย,"32,440",แปลง
2565,ท่าลี่,"17,596",แปลง
2565,นาด้วง,"13,026",แปลง
2565,นาแห้ว,"9,763",แปลง
2565,ปากชม,"24,122",แปลง
2565,ผาขาว,"6,147",แปลง
2565,ภูกระดึง,"6,920",แปลง
2565,ภูเรือ,"17,500",แปลง
2565,ภูหลวง,"9,557",แปลง
2565,เมืองเลย,"41,878",แปลง
2565,วังสะพุง,"28,531",แปลง
2565,หนองหิน,"6,252",แปลง
2565,เอราวัณ,"5,902",แปลง
2566,เชียงคาน,"28,763",แปลง
2566,ด่านซ้าย,"30,809",แปลง
2566,ท่าลี่,"16,358",แปลง
2566,นาด้วง,"14,391",แปลง
2566,นาแห้ว,"9,287",แปลง
2566,ปากชม,"22,997",แปลง
2566,ผาขาว,"9,923",แปลง
2566,ภูกระดึง,"7,485",แปลง
2566,ภูเรือ,"16,740",แปลง
2566,ภูหลวง,"10,889",แปลง
2566,เมืองเลย,"42,473",แปลง
2566,วังสะพุง,"35,607",แปลง
2566,หนองหิน,"8,397",แปลง
2566,เอราวัณ,"8,467",แปลง
2567,เชียงคาน,"28,542",แปลง
2567,ด่านซ้าย,"29,727",แปลง
2567,ท่าลี่,"16,266",แปลง
2567,นาด้วง,"13,596",แปลง
2567,นาแห้ว,"9,119",แปลง
2567,ปากชม,"19,850",แปลง
2567,ผาขาว,"9,481",แปลง
2567,ภูกระดึง,"6,836",แปลง
2567,ภูเรือ,"15,822",แปลง
2567,ภูหลวง,"10,477",แปลง
2567,เมืองเลย,"33,245",แปลง
2567,วังสะพุง,"34,016",แปลง
2567,หนองหิน,"7,565",แปลง
2567,เอราวัณ,"7,993",แปลง
