ปี,รายการ,อำเภอ,ตำบล,ค่าข้อมูล,หน่วย,ที่มา
2563,จำนวนแปลงที่ขึ้นทะเบียนเป็นผู้ปลูกปาล์มน้ำมัน,เมืองกระบี่,ปากน้ำ,14,แปลง,สำนักงานเกษตรจังหวัดกระบี่
2563,จำนวนแปลงที่ขึ้นทะเบียนเป็นผู้ปลูกปาล์มน้ำมัน,เมืองกระบี่,กระบี่ใหญ่,31,แปลง,สำนักงานเกษตรจังหวัดกระบี่
2563,จำนวนแปลงที่ขึ้นทะเบียนเป็นผู้ปลูกปาล์มน้ำมัน,เมืองกระบี่,กระบี่น้อย,1925,แปลง,สำนักงานเกษตรจังหวัดกระบี่
2563,จำนวนแปลงที่ขึ้นทะเบียนเป็นผู้ปลูกปาล์มน้ำมัน,เมืองกระบี่,เขาคราม,1214,แปลง,สำนักงานเกษตรจังหวัดกระบี่
2563,จำนวนแปลงที่ขึ้นทะเบียนเป็นผู้ปลูกปาล์มน้ำมัน,เมืองกระบี่,เขาทอง,458,แปลง,สำนักงานเกษตรจังหวัดกระบี่
2563,จำนวนแปลงที่ขึ้นทะเบียนเป็นผู้ปลูกปาล์มน้ำมัน,เมืองกระบี่,ทับปริก,1681,แปลง,สำนักงานเกษตรจังหวัดกระบี่
2563,จำนวนแปลงที่ขึ้นทะเบียนเป็นผู้ปลูกปาล์มน้ำมัน,เมืองกระบี่,ไสไทย,408,แปลง,สำนักงานเกษตรจังหวัดกระบี่
2563,จำนวนแปลงที่ขึ้นทะเบียนเป็นผู้ปลูกปาล์มน้ำมัน,เมืองกระบี่,อ่าวนาง,240,แปลง,สำนักงานเกษตรจังหวัดกระบี่
2563,จำนวนแปลงที่ขึ้นทะเบียนเป็นผู้ปลูกปาล์มน้ำมัน,เมืองกระบี่,หนองทะเล,512,แปลง,สำนักงานเกษตรจังหวัดกระบี่
2563,จำนวนแปลงที่ขึ้นทะเบียนเป็นผู้ปลูกปาล์มน้ำมัน,เมืองกระบี่,คลองประสงค์,95,แปลง,สำนักงานเกษตรจังหวัดกระบี่
2563,จำนวนแปลงที่ขึ้นทะเบียนเป็นผู้ปลูกปาล์มน้ำมัน,เขาพนม,เขาพนม,2003,แปลง,สำนักงานเกษตรจังหวัดกระบี่
2563,จำนวนแปลงที่ขึ้นทะเบียนเป็นผู้ปลูกปาล์มน้ำมัน,เขาพนม,เขาดิน,1909,แปลง,สำนักงานเกษตรจังหวัดกระบี่
2563,จำนวนแปลงที่ขึ้นทะเบียนเป็นผู้ปลูกปาล์มน้ำมัน,เขาพนม,สินปุน,1379,แปลง,สำนักงานเกษตรจังหวัดกระบี่
2563,จำนวนแปลงที่ขึ้นทะเบียนเป็นผู้ปลูกปาล์มน้ำมัน,เขาพนม,พรุเตียว,1833,แปลง,สำนักงานเกษตรจังหวัดกระบี่
2563,จำนวนแปลงที่ขึ้นทะเบียนเป็นผู้ปลูกปาล์มน้ำมัน,เขาพนม,หน้าเขา,1918,แปลง,สำนักงานเกษตรจังหวัดกระบี่
2563,จำนวนแปลงที่ขึ้นทะเบียนเป็นผู้ปลูกปาล์มน้ำมัน,เขาพนม,โคกหาร,1346,แปลง,สำนักงานเกษตรจังหวัดกระบี่
2563,จำนวนแปลงที่ขึ้นทะเบียนเป็นผู้ปลูกปาล์มน้ำมัน,เกาะลันตา,เกาะลันตาใหญ่,64,แปลง,สำนักงานเกษตรจังหวัดกระบี่
2563,จำนวนแปลงที่ขึ้นทะเบียนเป็นผู้ปลูกปาล์มน้ำมัน,เกาะลันตา,เกาะลันตาน้อย,293,แปลง,สำนักงานเกษตรจังหวัดกระบี่
2563,จำนวนแปลงที่ขึ้นทะเบียนเป็นผู้ปลูกปาล์มน้ำมัน,เกาะลันตา,เกาะกลาง,832,แปลง,สำนักงานเกษตรจังหวัดกระบี่
2563,จำนวนแปลงที่ขึ้นทะเบียนเป็นผู้ปลูกปาล์มน้ำมัน,เกาะลันตา,คลองยาง,648,แปลง,สำนักงานเกษตรจังหวัดกระบี่
2563,จำนวนแปลงที่ขึ้นทะเบียนเป็นผู้ปลูกปาล์มน้ำมัน,เกาะลันตา,ศาลาด่าน,101,แปลง,สำนักงานเกษตรจังหวัดกระบี่
2563,จำนวนแปลงที่ขึ้นทะเบียนเป็นผู้ปลูกปาล์มน้ำมัน,คลองท่อม,คลองท่อมใต้,1481,แปลง,สำนักงานเกษตรจังหวัดกระบี่
2563,จำนวนแปลงที่ขึ้นทะเบียนเป็นผู้ปลูกปาล์มน้ำมัน,คลองท่อม,คลองท่อมเหนือ,2308,แปลง,สำนักงานเกษตรจังหวัดกระบี่
2563,จำนวนแปลงที่ขึ้นทะเบียนเป็นผู้ปลูกปาล์มน้ำมัน,คลองท่อม,คลองพน,2627,แปลง,สำนักงานเกษตรจังหวัดกระบี่
2563,จำนวนแปลงที่ขึ้นทะเบียนเป็นผู้ปลูกปาล์มน้ำมัน,คลองท่อม,ทรายขาว,1697,แปลง,สำนักงานเกษตรจังหวัดกระบี่
2563,จำนวนแปลงที่ขึ้นทะเบียนเป็นผู้ปลูกปาล์มน้ำมัน,คลองท่อม,ห้วยน้ำขาว,1771,แปลง,สำนักงานเกษตรจังหวัดกระบี่
2563,จำนวนแปลงที่ขึ้นทะเบียนเป็นผู้ปลูกปาล์มน้ำมัน,คลองท่อม,พรุดินนา,3634,แปลง,สำนักงานเกษตรจังหวัดกระบี่
2563,จำนวนแปลงที่ขึ้นทะเบียนเป็นผู้ปลูกปาล์มน้ำมัน,คลองท่อม,เพหลา,2210,แปลง,สำนักงานเกษตรจังหวัดกระบี่
2563,จำนวนแปลงที่ขึ้นทะเบียนเป็นผู้ปลูกปาล์มน้ำมัน,อ่าวลึก,อ่าวลึกใต้,1321,แปลง,สำนักงานเกษตรจังหวัดกระบี่
2563,จำนวนแปลงที่ขึ้นทะเบียนเป็นผู้ปลูกปาล์มน้ำมัน,อ่าวลึก,แหลมสัก,1053,แปลง,สำนักงานเกษตรจังหวัดกระบี่
2563,จำนวนแปลงที่ขึ้นทะเบียนเป็นผู้ปลูกปาล์มน้ำมัน,อ่าวลึก,นาเหนือ,2077,แปลง,สำนักงานเกษตรจังหวัดกระบี่
2563,จำนวนแปลงที่ขึ้นทะเบียนเป็นผู้ปลูกปาล์มน้ำมัน,อ่าวลึก,คลองหิน,1504,แปลง,สำนักงานเกษตรจังหวัดกระบี่
2563,จำนวนแปลงที่ขึ้นทะเบียนเป็นผู้ปลูกปาล์มน้ำมัน,อ่าวลึก,อ่าวลึกน้อย,876,แปลง,สำนักงานเกษตรจังหวัดกระบี่
2563,จำนวนแปลงที่ขึ้นทะเบียนเป็นผู้ปลูกปาล์มน้ำมัน,อ่าวลึก,อ่าวลึกเหนือ,1527,แปลง,สำนักงานเกษตรจังหวัดกระบี่
2563,จำนวนแปลงที่ขึ้นทะเบียนเป็นผู้ปลูกปาล์มน้ำมัน,อ่าวลึก,เขาใหญ่,1544,แปลง,สำนักงานเกษตรจังหวัดกระบี่
2563,จำนวนแปลงที่ขึ้นทะเบียนเป็นผู้ปลูกปาล์มน้ำมัน,อ่าวลึก,คลองยา,1573,แปลง,สำนักงานเกษตรจังหวัดกระบี่
2563,จำนวนแปลงที่ขึ้นทะเบียนเป็นผู้ปลูกปาล์มน้ำมัน,อ่าวลึก,บ้านกลาง,859,แปลง,สำนักงานเกษตรจังหวัดกระบี่
2563,จำนวนแปลงที่ขึ้นทะเบียนเป็นผู้ปลูกปาล์มน้ำมัน,ปลายพระยา,ปลายพระยา,3829,แปลง,สำนักงานเกษตรจังหวัดกระบี่
2563,จำนวนแปลงที่ขึ้นทะเบียนเป็นผู้ปลูกปาล์มน้ำมัน,ปลายพระยา,เขาเขน,2382,แปลง,สำนักงานเกษตรจังหวัดกระบี่
2563,จำนวนแปลงที่ขึ้นทะเบียนเป็นผู้ปลูกปาล์มน้ำมัน,ปลายพระยา,เขาต่อ,2474,แปลง,สำนักงานเกษตรจังหวัดกระบี่
2563,จำนวนแปลงที่ขึ้นทะเบียนเป็นผู้ปลูกปาล์มน้ำมัน,ปลายพระยา,คีรีวง,2126,แปลง,สำนักงานเกษตรจังหวัดกระบี่
2563,จำนวนแปลงที่ขึ้นทะเบียนเป็นผู้ปลูกปาล์มน้ำมัน,ลำทับ,ลำทับ,1638,แปลง,สำนักงานเกษตรจังหวัดกระบี่
2563,จำนวนแปลงที่ขึ้นทะเบียนเป็นผู้ปลูกปาล์มน้ำมัน,ลำทับ,ดินอุดม,1379,แปลง,สำนักงานเกษตรจังหวัดกระบี่
2563,จำนวนแปลงที่ขึ้นทะเบียนเป็นผู้ปลูกปาล์มน้ำมัน,ลำทับ,ทุ่งไทรทอง,1566,แปลง,สำนักงานเกษตรจังหวัดกระบี่
2563,จำนวนแปลงที่ขึ้นทะเบียนเป็นผู้ปลูกปาล์มน้ำมัน,ลำทับ,ดินแดง,1291,แปลง,สำนักงานเกษตรจังหวัดกระบี่
2563,จำนวนแปลงที่ขึ้นทะเบียนเป็นผู้ปลูกปาล์มน้ำมัน,เหนือคลอง,เหนือคลอง,852,แปลง,สำนักงานเกษตรจังหวัดกระบี่
2563,จำนวนแปลงที่ขึ้นทะเบียนเป็นผู้ปลูกปาล์มน้ำมัน,เหนือคลอง,เกาะศรีบอยา,46,แปลง,สำนักงานเกษตรจังหวัดกระบี่
2563,จำนวนแปลงที่ขึ้นทะเบียนเป็นผู้ปลูกปาล์มน้ำมัน,เหนือคลอง,คลองขนาน,1519,แปลง,สำนักงานเกษตรจังหวัดกระบี่
2563,จำนวนแปลงที่ขึ้นทะเบียนเป็นผู้ปลูกปาล์มน้ำมัน,เหนือคลอง,คลองเขม้า,482,แปลง,สำนักงานเกษตรจังหวัดกระบี่
2563,จำนวนแปลงที่ขึ้นทะเบียนเป็นผู้ปลูกปาล์มน้ำมัน,เหนือคลอง,โคกยาง,1655,แปลง,สำนักงานเกษตรจังหวัดกระบี่
2563,จำนวนแปลงที่ขึ้นทะเบียนเป็นผู้ปลูกปาล์มน้ำมัน,เหนือคลอง,ตลิ่งชัน,958,แปลง,สำนักงานเกษตรจังหวัดกระบี่
2563,จำนวนแปลงที่ขึ้นทะเบียนเป็นผู้ปลูกปาล์มน้ำมัน,เหนือคลอง,ปกาสัย,1696,แปลง,สำนักงานเกษตรจังหวัดกระบี่
2563,จำนวนแปลงที่ขึ้นทะเบียนเป็นผู้ปลูกปาล์มน้ำมัน,เหนือคลอง,ห้วยยูง,2092,แปลง,สำนักงานเกษตรจังหวัดกระบี่
2564,จำนวนแปลงที่ขึ้นทะเบียนเป็นผู้ปลูกปาล์มน้ำมัน,เมืองกระบี่,ปากน้ำ,5,แปลง,สำนักงานเกษตรจังหวัดกระบี่
2564,จำนวนแปลงที่ขึ้นทะเบียนเป็นผู้ปลูกปาล์มน้ำมัน,เมืองกระบี่,กระบี่ใหญ่,20,แปลง,สำนักงานเกษตรจังหวัดกระบี่
