ปี,โครงการ,ชุดข้อมูล
2564,โครงการเมืองเกษตรสีเขียวที่ยั่งยืน เพื่อเศรษฐกิจเพิ่มค่า,โครงการที่เกษตรกรเข้าร่วมการอบรมการลดใช้ปุ๋ยเคมีและสารชีวภาพ
2564,โครงการพัฒนาศักยภาพสินค้าเกษตรปลอดภัยและเกษตรอินทรีย์,โครงการที่เกษตรกรเข้าร่วมการอบรมการลดใช้ปุ๋ยเคมีและสารชีวภาพ
2564,โครงการยกระดับคุณภาพมาตรฐานสินค้าเกษตรสู่มาตรฐาน ส่งเสริมการจัดการศัตรูพืชด้วยวิธีผสมผสานเพื่อลดการใช้สารเคมี,โครงการที่เกษตรกรเข้าร่วมการอบรมการลดใช้ปุ๋ยเคมีและสารชีวภาพ
2565,โครงการเมืองเกษตรสีเขียวที่ยั่งยืน เพื่อเศรษฐกิจเพิ่มค่า,โครงการที่เกษตรกรเข้าร่วมการอบรมการลดใช้ปุ๋ยเคมีและสารชีวภาพ
2565,โครงการพัฒนาศักยภาพสินค้าเกษตรปลอดภัยและเกษตรอินทรีย์,โครงการที่เกษตรกรเข้าร่วมการอบรมการลดใช้ปุ๋ยเคมีและสารชีวภาพ
2565,โครงการส่งเสริมการใช้ชีวภัณฑ์ ทดแทนการใช้เคมีในการผลิตสินค้าเกษตรปลอดภัยและเกษตรอินทรีย์,โครงการที่เกษตรกรเข้าร่วมการอบรมการลดใช้ปุ๋ยเคมีและสารชีวภาพ
2565,ส่งเสริมเทคนิคการปรุงดินร่วมกับการผลิตการใช้ปุ๋ยอินทรีย์คุณภาพสูงเพื่อปลูกพืชสมุนไพร,โครงการที่เกษตรกรเข้าร่วมการอบรมการลดใช้ปุ๋ยเคมีและสารชีวภาพ
2566,โครงการส่งเสริมการใช้ชีวภัณฑ์ ทดแทนการใช้เคมีในการผลิตสินค้าเกษตรปลอดภัยและเกษตรอินทรีย์,โครงการที่เกษตรกรเข้าร่วมการอบรมการลดใช้ปุ๋ยเคมีและสารชีวภาพ
2566,ส่งเสริมเทคนิคการปรุงดินร่วมกับการผลิตการใช้ปุ๋ยอินทรีย์คุณภาพสูงเพื่อปลูกพืชสมุนไพร,โครงการที่เกษตรกรเข้าร่วมการอบรมการลดใช้ปุ๋ยเคมีและสารชีวภาพ
,,
,,
,,
,,
,,
,,
, ,
