attribute_eng,attribute_thai,description,data_type,data_size,format
pid,ลำดับผู้ป่วย,ลำดับผู้ป่วย,float,10,ตัวเลข
id,รหัสผู้ป่วย,รหัสผู้ป่วย,float,10,ตัวเลข
date_serv,วันที่รับการรักษา,วันที่รับการรักษา,date,10,วันที่
changwatname,ชื่อจังหวัด,ชื่อจังหวัด,text,255,ตัวอักษร
ampurname,ชื่ออำเภอ,ชื่ออำเภอ,text,255,ตัวอักษร
tambonname,ชื่อตำบล,ชื่อตำบล,text,255,ตัวอักษร
hosnam,ชื่อสถานพยาบาล,ชื่อสถานพยาบาล,text,255,ตัวอักษร
sex,เพศ,เพศ,text,10,ตัวอักษร
birth,วันเกิด,วันเกิด,date,10,วันที่
age,อายุ,อายุ,float,3,ตัวเลข
nation,สัญชาติ,สัญชาติ,text,255,ตัวอักษร
occupation,อาชีพ,อาชีพ,text,255,ตัวอักษร
diagcode,รหัสโรค,รหัสโรค,text,255,ตัวอักษร
diagtype,ประเภทการวินิจฉัย,ประเภทการวินิจฉัย,text,255,ตัวอักษร
diagname,กลุ่มโรค,กลุ่มโรค,text,255,ตัวอักษร
typediag,รายละเอียดการวินิจฉัย,รายละเอียดการวินิจฉัย,text,255,ตัวอักษร
create_date,วันที่นำเข้าข้อมูล,วันที่นำเข้าข้อมูล,date,10,วันที่
id,ลำดับข้อมูล,ลำดับข้อมูล,float,10,ตัวเลข
date,วันที่,วันที่,date,10,วันที่
station_id,รหัสสถานนี,รหัสสถานนี,text,10,ตัวอักษร
station_name,ชื่อสถานี,ชื่อสถานี,text,255,ตัวอักษร
pv_tn,ชื่อจังหวัด,ชื่อจังหวัด,text,255,ตัวอักษร
ap_tn,ชื่ออำเภอ,ชื่ออำเภอ,text,255,ตัวอักษร
tb_tn,ชื่อตำบล,ชื่อตำบล,text,255,ตัวอักษร
pm25,ค่าฝุ่น,ค่าฝุ่น,decimal,10,ตัวเลข
hid,รหัส HotSpot,รหัส HotSpot,float,10,ตัวเลข
date,วัน,วัน,date,10,วันที่
time,เวลา,เวลา,time,10,เวลา
tb_code,รหัสตำบล,รหัสตำบล,text,255,ตัวอักษร
tb_tn,ตำบล,ตำบล,text,255,ตัวอักษร
ap_tn,อำเภอ,อำเภอ,text,255,ตัวอักษร
pv_tn,จังหวัด,จังหวัด,text,255,ตัวอักษร
lat,ละติจูด,ละติจูด,decimal,10,ตัวเลข
lon,ลองจิจูด,ลองจิจูด,decimal,10,ตัวเลข
