no,date,province,odpc,type_source,type_cause,place,detail_source,count_injured,type_injurey,count_dead,type_dead,data_source,explode
225,01/01/2020,ปราจีนบุรี,6,ไฟไหม้,บ่อขยะ,บ่อขยะ,ไฟไหม้บ่อขยะข้ามปียังไม่สงบชาวบ้านรอบข้างได้รับผลกระทบ!,0,,0,,นสพ.บ้านเมือง,ไม่ระเบิด
226,01/01/2020,ชลบุรี,6,ไฟไหม้,บ่อขยะ,บ่อขยะ,ไฟยังคงลุกไหม้ที่บ่อขยะหนองยายบู่ ในอ.ศรีราชา เจ้าหน้าที่ระดมกำลังฉีดน้ำเลี้ยงไม่ให้ไฟลุกลาม ขณะที่นายอำเภอออกเตือนประชาชนให้ระวังผลกระทบจากควันไฟ ,0,,0,,ไทยรัฐออนไลน์,ไม่ระเบิด
227,02/01/2020,ปทุมธานี,4,อุบัติเหตุขนส่ง,น้ำมันเชื้อเพลิง,การจราจร/ขนส่ง,รถน้ำมันชนราวสะพานที่ปทุมธานี พลิกคว่ำไฟลุกวอดทั้งคันย่างสดโชเฟอร์ตาย 1 ,0,,1,,ไทยรัฐออนไลน์,ไม่ระเบิด
228,04/01/2020,ลำปาง,1,อุบัติเหตุขนส่ง,ก๊าซ LPG,การจราจร/ขนส่ง,รถบรรทุกก๊าซ LPG 8 ตันพลิกคว่ำ เร่งฉีดน้ำสกัดป้องกันเพลิงไหม้,0,,0,,ข่าว 7 HD ร้อน,ไม่ระเบิด
229,10/01/2020,จันทบุรี,6,ไฟไหม้,บ่อขยะ,บ่อขยะ,เหตุเพลิงไหม้บ่อขยะ ของทม.จันทบุรี บริเวณ ม.2 ต. มะขาม อ.มะขาม จ.จันทบุรี,0,,0,,ปภ.จังหวัดจันทบุรี,ไม่ระเบิด
230,15/01/2020,อุตรดิตถ์,2,อุบัติเหตุขนส่ง,น้ำมันเชื้อเพลิง,การจราจร/ขนส่ง,คนขับรถบรรทุกน้ำมันเกิดหลับในพลิกคว่ำขวางทางจราจร ,0,,0,,คม ชัด ลึก,ไม่ระเบิด
231,21/01/2020,น่าน,1,รั่วไหล,Ammonia,โรงงาน,น่าน ระทึกโรงน้ำแข็งแก๊สแอมโมเนียรั่วไหล ,0,,0,,77 ข่าวเด็ด ออนไลน์,ไม่ระเบิด
232,26/01/2020,ตาก,2,ไฟไหม้,บ่อขยะ,บ่อขยะ,นายกฯเมืองตากเผยไฟไหม้บ่อขยะบ่อย เหตุมีคนลอบทิ้งลอบเผา ,0,,0,,ข่าวช่อง ONE 31,ไม่ระเบิด
233,30/01/2020,ปราจีนบุรี,6,ไฟไหม้,บ่อขยะ,บ่อขยะ,อพยพ 30 หมู่บ้านหนีไฟไหม้บ่อขยะ จ.ปราจีนบุรี ,0,,0,,ThaiPBS NEWS,ไม่ระเบิด
234,31/01/2020,ลำปาง,1,ไฟไหม้,บ่อขยะ,บ่อขยะ,ไฟไหม้บ่อขยะ!! ลุกพรึ่บใต้กองที่ทับถม ควันไฟขาวโพนฟุ้งเต็มพื้นที่,0,,0,,สยามรัฐ,ไม่ระเบิด
