No,Date,Province,ODPC,Type_Source,Type_Cause,Place,Detail_Source,Count_Injured,Type_Injurey,Count_Dead,Type_Dead,Data_Source,explode
333,01/01/2022,นนทบุรี,4,ไฟไหม้,น้ำมันไม่ทราบชนิด,อู่ซ่อมรถ,ด่วน! เพลิงไหม้อู่ซ่อมรถบนถนนสายเกษตรพัฒนา จนท.เร่งสกัดไฟ,,,,,77ข่าวเด็ด,ไม่ระเบิด
334,06/01/2022,สมุทรปราการ,6,ไฟไหม้,วัสดุประเภทพลาสติก/ยาง/โฟม,อู่ซ่อมรถ,ระทึก!! เพลิงไหม้อู่ทำสีก่อนลามไหม้ร้านรับซื้อของเก่าวอด คาดจากเหตุเชื่อมเหล็ก,0,,0,,ข่าว7สีออนไลน์,ไม่ระเบิด
335,11/01/2022,นนทบุรี,4,ไฟไหม้,สี น้ำมัน และทินเนอร์,โรงงาน,ไฟไหม้รง.ทำไม้อัดย่าน อ.ไทรน้อย เสียหายไม่ต่ำกว่า 10 ล้าน,0,,0,,กรุงเทพธุรกิจ,ไม่ระเบิด
336,13/01/2022,ราชบุรี,5,ไฟไหม้,น้ำมันเครื่อง สีสเปร์ยกระป๋อง /ยางรถจักรยานยนต์,อาคารพาณิชย์/สํานักงาน/ร้านจําหน่าย,"ไฟไหม้ร้าน จยย. เจ้าของพา ""เมีย-ลูก"" หนีตายระทึก คาดเสียหายกว่า 5 ล้าน",2,เจ้าของร้าน/ภรรยา,0,,ไทยรัฐออนไลน์,ไม่ระเบิด
337,15/01/2022,อ่างทอง,4,ลักลอบทิ้ง,ผงคาร์บอน,โรงงาน,ชาวบ้านอ่างทองโวย โรงงานปล่อยผงคาร์บอน ทั้งคนทั้งสัตว์เปื้อนฝุ่นผงสีดำ ป่วยทางเดินหายใจ,0,ชาวบ้าน ไม่ทราบจำนวน,0,,อมรินทร์ ออนไลน์,ไม่ระเบิด
338,25/01/2022,ระยอง,6,รั่วไหล,น้ำมันดิบ,แหล่งน้ำ,น้ำมันรั่ว 4 แสนลิตร กลางทะเลระยอง มากกว่าปี 56 ฝันร้ายเกาะเสม็ด,0,,0,,ไทยรัฐออนไลน์,ไม่ระเบิด
339,27/01/2022,นนทบุรี,4,ไฟไหม้,วัสดุประเภทพลาสติก/ยาง/โฟม,โรงงาน,ไฟไหม้โรงงาน ที่นนทบุรี แสงเพลิงแดงฉาน เผาวอดกว่า 30 ล้าน คนงานเจ็บ 1,1,พนักงานโรงงาน,0,,ไทยรัฐออนไลน์,ไม่ระเบิด
340,02/02/2022,กรุงเทพมหานคร,13,อุบัติเหตุขนส่ง,สารเคมี(กรดไฮโดรคลอริค),การจราจรขนส่ง,รถบรรทุกพลิกคว่ำ บริเวณจุดกลับรถ ใกล้เคียงครัวสมร เขตบางแค ล่าสุดพบสารเคมีรั่วไหลจากถัง,2,พนักงานขับรถ,0,,มติชนออนไลน์,ไม่ระเบิด
341,02/02/2022,พระนครศรีอยุธยา,4,รั่วไหล,สารเคมี,โรงงาน,สารเคมีโรงงานผลิตเจลเวอร์รี่ รั่วไหล หาม 20 พนักงานส่ง รพ.,20,พนักงานโรงงาน,0,,กรุงเทพธุรกิจออนไลน์,ไม่ระเบิด
342,05/02/2022,กรุงเทพมหานคร,13,ไฟไหม้,วัสดุประเภทพลาสติก/ยาง/โฟม,โกดัง,ระทึก! เพลิงไหม้โกดัง ซอยรามคำแหง 60 แยก 8,0,,0,,เฟสบุ๊คร่วมด้วยช่วยกัน/ข่าวFM91,ไม่ระเบิด
343,08/02/2022,ระยอง,6,ไฟไหม้,วัสดุประเภทพลาสติก/ยาง/โฟม,โรงงาน,ด่วน ! ไฟไหม้โรงงานผลิตยาง จ.ระยอง ยังคุมเพลิงไม่ได้ คาดเสียหายไม่ต่ำ 5 ล้าน,0,,0,,ข่าวเนชั่นออนไลน์,ไม่ระเบิด
344,09/02/2022,เพชรบูรณ์,2,รั่วไหล,สารเคมี แอมโมเนีย,โรงงาน,โรงงานน้ำแข็งหล่มสักแอมโมเนียรั่วซ้ำ ต้องอพยพคนหนี ชาวบ้านร้องให้ย้ายออก,15,ชาวบ้าน,0,,ไทยรัฐออนไลน์/ไทยพีบีเอสออนไลน์/ข่าวอีจัน,ไม่ระเบิด
345,10/02/2022,ระยอง,6,รั่วไหล,น้ำมันดิบ,แหล่งน้ำ,"ด่วน! น้ำมันดิบรั่วไหลกลางทะเลซ้ำอีก คาดราว 5,000 ลิตร มุ่งหน้าเข้าหาดแม่รำพึง",0,,0,,ทีเอ็นเอ็นออนไลน์/มติชนออนไลน์,ไม่ระเบิด
346,11/02/2022,สมุทรสาคร,5,ไฟไหม้,วัสดุประเภทพลาสติก/ยาง/โฟม,โรงงาน,"ไฟไหม้ ""รง.แปรรูปขยะ"" ตำบลพันท้ายนรสิงห์ คาดสาเหตุเครื่องจักรชำรุด",0,,0,,สยามรัฐออนไลน์,ไม่ระเบิด
347,12/02/2022,สมุทรสาคร,5,ไฟไหม้,วัสดุประเภทพลาสติก/ยาง/โฟม,โรงงาน,ไฟไหม้โกดังผลิตพื้นรองเท้ายาง สมุทรสาคร เสียหายเกือบทั้งหมด,0,,0,,มติชนออนไลน์,ไม่ระเบิด
348,12/02/2022,กรุงเทพมหานคร,13,อุบัติเหตุขนส่ง,น้ำมัน และแก๊ส แอล พี จี,การจราจร/ขนส่ง,รถบรรทุกปูนพลิกคว่ำ น้ำมัน-แก๊ส LPG รั่ว,0,,0,,FB:สถานีดับเพลิงพระโขนง (Fire & Rescue),ไม่ระเบิด
349,12/02/2022,ชลบุรี,6,อุบัติเหตุขนส่ง,สารเคมี(กรดไฮโดรคลอริค ),การจราจร/ขนส่ง,ฝนตกถนนลื่น รถบรรทุกกรดคว่ำที่บ้านบึง ควันพวยพุ่งนึกว่าไฟไหม้,1,พนักงานขับรถ,0,,ไทยรัฐออนไลน์,ไม่ระเบิด
350,18/02/2022,กรุงเทพมหานคร,13,ไฟไหม้,อุปกรณ์ชิ้นส่วนรถยนต์,โรงงาน,สรุปเหตุเพลิงไหม้โรงงาน ผลิตอุปกรณ์ชิ้นส่วนรถยนต์ ซอยเสรีไทย 56 พื้นที่เขตคันนายาว,0,,0,,FB :Fire & Rescue Thailand,ไม่ระเบิด
351,21/02/2022,นครปฐม,5,ไฟไหม้,วัสดุประเภทพลาสติก/ยาง/โฟม,โรงงาน,นครปฐม ไฟไหม้โรงงานปั่นด้าย,0,,0,,FB :Fire & Rescue Thailand,ไม่ระเบิด
352,09/03/2022,สมุทรปราการ,6,ระเบิด,ไอระเหยคราบน้ำมัน,แหล่งน้ำ,ระทึก! เรือบรรทุกน้ำมันระเบิด-หนีตายอลหม่าน เจ็บ 3 สูญหาย 1,3,พนักงานโรงงาน,0,,เดลินิวส์ออนไลน์,ระเบิด
