date_receive,province,district,subdistrict,pm25_value,count_hotspot
01 06 2024,กาฬสินธุ์,ยางตลาด,บัวบาน,22.77891667,12
01 06 2024,กาฬสินธุ์,ฆ้องชัย,เหล่ากลาง,20.15504167,13
01 06 2024,กาฬสินธุ์,กมลาไสย,หลักเมือง,20.749875,6
01 06 2024,กาฬสินธุ์,สามชัย,คำสร้างเที่ยง,21.29745833,3
01 06 2024,กาฬสินธุ์,เมืองกาฬสินธุ์,เชียงเครือ,21.92483333,3
01 06 2024,กาฬสินธุ์,สมเด็จ,แซงบาดาล,18.90416667,1
01 06 2024,กาฬสินธุ์,หนองกุงศรี,ลำหนองแสน,22.772,2
01 06 2024,กาฬสินธุ์,คำม่วง,โพน,20.428375,1
01 06 2024,กาฬสินธุ์,หนองกุงศรี,หนองบัว,22.433,5
01 06 2024,กาฬสินธุ์,ห้วยเม็ก,ห้วยเม็ก,22.613125,18
01 06 2024,กาฬสินธุ์,ห้วยเม็ก,พิมูล,23.20429167,2
01 06 2024,กาฬสินธุ์,ท่าคันโท,กุดจิก,22.21908333,2
01 06 2024,กาฬสินธุ์,ยางตลาด,ยางตลาด,22.67454167,4
01 06 2024,กาฬสินธุ์,ยางตลาด,นาดี,22.43466667,3
01 06 2024,กาฬสินธุ์,ฆ้องชัย,โคกสะอาด,21.23054167,3
01 06 2024,กาฬสินธุ์,กมลาไสย,เจ้าท่า,19.19991667,4
01 06 2024,กาฬสินธุ์,สามชัย,หนองช้าง,20.512125,1
01 06 2024,กาฬสินธุ์,เมืองกาฬสินธุ์,หลุบ,22.64879167,2
01 06 2024,กาฬสินธุ์,คำม่วง,ทุ่งคลอง,19.485875,7
01 06 2024,กาฬสินธุ์,หนองกุงศรี,โคกเครือ,22.23045833,15
01 06 2024,กาฬสินธุ์,ห้วยเม็ก,คำเหมือดแก้ว,23.490375,2
01 06 2024,กาฬสินธุ์,ห้วยเม็ก,คำใหญ่,23.17170833,1
01 06 2024,กาฬสินธุ์,ท่าคันโท,ท่าคันโท,22.06591667,2
01 06 2024,กาฬสินธุ์,ท่าคันโท,นาตาล,21.78041667,11
01 06 2024,กาฬสินธุ์,ยางตลาด,คลองขาม,22.78445833,1
01 06 2024,กาฬสินธุ์,ฆ้องชัย,ฆ้องชัยพัฒนา,20.475,5
01 06 2024,กาฬสินธุ์,ฆ้องชัย,ลำชี,20.058875,8
01 06 2024,กาฬสินธุ์,กมลาไสย,ดงลิง,19.42116667,2
01 06 2024,กาฬสินธุ์,สามชัย,สำราญ,20.65620833,1
01 06 2024,กาฬสินธุ์,หนองกุงศรี,หนองกุงศรี,22.91495833,4
01 06 2024,กาฬสินธุ์,คำม่วง,นาทัน,19.098375,1
01 06 2024,กาฬสินธุ์,หนองกุงศรี,หนองใหญ่,22.90941667,4
01 06 2024,กาฬสินธุ์,ห้วยเม็ก,บึงนาเรียง,22.87379167,4
01 06 2024,กาฬสินธุ์,ห้วยเม็ก,กุดโดน,22.96108333,2
01 06 2024,กาฬสินธุ์,ท่าคันโท,กุงเก่า,22.14891667,16
01 06 2024,กาฬสินธุ์,ยางตลาด,หนองตอกแป้น,22.090125,4
01 06 2024,ขอนแก่น,น้ำพอง,สะอาด,23.07316667,5
01 06 2024,ขอนแก่น,เขาสวนกวาง,นางิ้ว,20.14304167,1
01 06 2024,ขอนแก่น,กระนวน,หัวนาคำ,22.78729167,2
01 06 2024,ขอนแก่น,อุบลรัตน์,บ้านดง,22.579125,8
01 06 2024,ขอนแก่น,ซำสูง,บ้านโนน,25.26170833,14
01 06 2024,ขอนแก่น,หนองนาคำ,ขนวน,22.55566667,2
01 06 2024,ขอนแก่น,ซำสูง,คูคำ,25.37141667,8
01 06 2024,ขอนแก่น,ภูเวียง,หนองกุงธนสาร,24.61345833,5
01 06 2024,ขอนแก่น,ชุมแพ,นาเพียง,26.871625,31
01 06 2024,ขอนแก่น,ภูเวียง,สงเปือย,25.06791667,1
01 06 2024,ขอนแก่น,บ้านฝาง,ป่าหวายนั่ง,25.28204167,4
01 06 2024,ขอนแก่น,สีชมพู,บริบูรณ์,24.04791667,1
01 06 2024,ขอนแก่น,สีชมพู,ภูห่าน,26.10745833,11
01 06 2024,ขอนแก่น,น้ำพอง,ท่ากระเสริม,24.90754167,126
01 06 2024,ขอนแก่น,เมืองขอนแก่น,โนนท่อน,25.62458333,24
01 06 2024,ขอนแก่น,น้ำพอง,บัวใหญ่,24.557125,34
01 06 2024,ขอนแก่น,เมืองขอนแก่น,สาวะถี,26.42266667,1
01 06 2024,ขอนแก่น,น้ำพอง,พังทุย,23.61291667,9
01 06 2024,ขอนแก่น,เมืองขอนแก่น,สำราญ,26.90545833,34
01 06 2024,ขอนแก่น,กระนวน,หนองกุงใหญ่,23.733125,2
01 06 2024,ขอนแก่น,เขาสวนกวาง,คำม่วง,22.69883333,3
01 06 2024,ขอนแก่น,กระนวน,น้ำอ้อม,23.48229167,3
01 06 2024,ขอนแก่น,หนองเรือ,กุดกว้าง,26.75179167,17
01 06 2024,ขอนแก่น,ซำสูง,กระนวน,24.69866667,1
01 06 2024,ขอนแก่น,ภูผาม่าน,ห้วยม่วง,26.53454167,4
01 06 2024,ขอนแก่น,ชุมแพ,นาหนองทุ่ม,26.003125,8
01 06 2024,ขอนแก่น,ภูเวียง,นาชุมแสง,25.566125,4
01 06 2024,ขอนแก่น,ชุมแพ,ไชยสอ,27.32558333,4
