date,provice,pm25,hotspot
01/12/2022,เลย,13,0
01/12/2022,หนองคาย,11,0
01/12/2022,อุดรธานี,15,3
01/12/2022,สกลนคร,14,0
01/12/2022,นครพนม,13,0
01/12/2022,หนองบัวลำภู,16,0
01/12/2022,บึงกาฬ,6,0
02/12/2022,เลย,12,0
02/12/2022,หนองคาย,9,1
02/12/2022,อุดรธานี,7,0
02/12/2022,สกลนคร,6,1
02/12/2022,นครพนม,7,0
02/12/2022,หนองบัวลำภู,6,0
02/12/2022,บึงกาฬ,5,0
03/12/2022,เลย,13,0
03/12/2022,หนองคาย,14,0
03/12/2022,อุดรธานี,9,0
03/12/2022,สกลนคร,7,0
03/12/2022,นครพนม,12,2
03/12/2022,หนองบัวลำภู,10,0
03/12/2022,บึงกาฬ,12,0
04/12/2022,เลย,16,0
04/12/2022,หนองคาย,19,4
04/12/2022,อุดรธานี,12,0
04/12/2022,สกลนคร,7,0
04/12/2022,นครพนม,15,2
04/12/2022,หนองบัวลำภู,7,0
04/12/2022,บึงกาฬ,4,1
05/12/2022,เลย,16,1
05/12/2022,หนองคาย,20,2
05/12/2022,อุดรธานี,10,4
05/12/2022,สกลนคร,6,4
05/12/2022,นครพนม,13,3
05/12/2022,หนองบัวลำภู,7,0
05/12/2022,บึงกาฬ,6,4
06/12/2022,เลย,11,1
06/12/2022,หนองคาย,8,3
06/12/2022,อุดรธานี,5,5
06/12/2022,สกลนคร,7,1
06/12/2022,นครพนม,13,1
06/12/2022,หนองบัวลำภู,15,1
06/12/2022,บึงกาฬ,5,0
07/12/2022,เลย,15,0
07/12/2022,หนองคาย,16,0
07/12/2022,อุดรธานี,8,2
07/12/2022,สกลนคร,8,3
07/12/2022,นครพนม,13,0
07/12/2022,หนองบัวลำภู,28,1
07/12/2022,บึงกาฬ,13,0
08/12/2022,เลย,16,0
08/12/2022,หนองคาย,29,1
08/12/2022,อุดรธานี,14,1
08/12/2022,สกลนคร,8,2
08/12/2022,นครพนม,14,0
08/12/2022,หนองบัวลำภู,27,0
08/12/2022,บึงกาฬ,10,0
09/12/2022,เลย,21,5
09/12/2022,หนองคาย,19,1
09/12/2022,อุดรธานี,12,2
09/12/2022,สกลนคร,9,2
09/12/2022,นครพนม,21,1
09/12/2022,หนองบัวลำภู,24,1
09/12/2022,บึงกาฬ,14,8
10/12/2022,เลย,21,1
10/12/2022,หนองคาย,26,3
10/12/2022,อุดรธานี,17,3
10/12/2022,สกลนคร,16,3
10/12/2022,นครพนม,24,7
10/12/2022,หนองบัวลำภู,37,1
10/12/2022,บึงกาฬ,48,1
11/12/2022,เลย,32,0
11/12/2022,หนองคาย,22,3
11/12/2022,อุดรธานี,17,1
11/12/2022,สกลนคร,20,0
11/12/2022,นครพนม,23,0
11/12/2022,หนองบัวลำภู,42,0
11/12/2022,บึงกาฬ,23,0
12/12/2022,เลย,31,0
12/12/2022,หนองคาย,22,0
12/12/2022,อุดรธานี,18,0
12/12/2022,สกลนคร,19,0
12/12/2022,นครพนม,22,0
12/12/2022,หนองบัวลำภู,33,1
12/12/2022,บึงกาฬ,35,0
13/12/2022,เลย,28,1
13/12/2022,หนองคาย,28,1
13/12/2022,อุดรธานี,20,0
13/12/2022,สกลนคร,30,4
13/12/2022,นครพนม,48,5
13/12/2022,หนองบัวลำภู,40,0
13/12/2022,บึงกาฬ,44,2
14/12/2022,เลย,41,4
14/12/2022,หนองคาย,36,2
14/12/2022,อุดรธานี,34,2
14/12/2022,สกลนคร,34,4
14/12/2022,นครพนม,38,6
14/12/2022,หนองบัวลำภู,47,1
14/12/2022,บึงกาฬ,43,0
15/12/2022,เลย,38,7
15/12/2022,หนองคาย,39,4
15/12/2022,อุดรธานี,30,7
15/12/2022,สกลนคร,33,3
15/12/2022,นครพนม,45,1
15/12/2022,หนองบัวลำภู,44,1
15/12/2022,บึงกาฬ,39,7
16/12/2022,เลย,39,4
16/12/2022,หนองคาย,68,3
16/12/2022,อุดรธานี,45,3
16/12/2022,สกลนคร,44,1
16/12/2022,นครพนม,46,2
16/12/2022,หนองบัวลำภู,34,5
16/12/2022,บึงกาฬ,26,2
17/12/2022,เลย,29,5
17/12/2022,หนองคาย,42,0
17/12/2022,อุดรธานี,38,0
17/12/2022,สกลนคร,36,1
17/12/2022,นครพนม,31,1
17/12/2022,หนองบัวลำภู,45,0
17/12/2022,บึงกาฬ,52,1
18/12/2022,เลย,36,1
18/12/2022,หนองคาย,37,0
18/12/2022,อุดรธานี,37,2
18/12/2022,สกลนคร,32,0
18/12/2022,นครพนม,39,2
18/12/2022,หนองบัวลำภู,42,5
