date,provice,pm25,hotspot
01/11/2022,เลย,6,1
01/11/2022,หนองคาย,28,0
01/11/2022,อุดรธานี,15,1
01/11/2022,สกลนคร,21,0
01/11/2022,นครพนม,26,1
01/11/2022,หนองบัวลำภู,40,0
01/11/2022,บึงกาฬ,41,0
02/11/2022,เลย,26,1
02/11/2022,หนองคาย,31,2
02/11/2022,อุดรธานี,24,0
02/11/2022,สกลนคร,23,0
02/11/2022,นครพนม,26,0
02/11/2022,หนองบัวลำภู,29,0
02/11/2022,บึงกาฬ,37,0
03/11/2022,เลย,24,2
03/11/2022,หนองคาย,29,1
03/11/2022,อุดรธานี,19,2
03/11/2022,สกลนคร,27,1
03/11/2022,นครพนม,28,1
03/11/2022,หนองบัวลำภู,33,0
03/11/2022,บึงกาฬ,39,0
04/11/2022,เลย,30,1
04/11/2022,หนองคาย,41,0
04/11/2022,อุดรธานี,28,1
04/11/2022,สกลนคร,33,0
04/11/2022,นครพนม,36,0
04/11/2022,หนองบัวลำภู,54,0
04/11/2022,บึงกาฬ,46,1
05/11/2022,เลย,37,0
05/11/2022,หนองคาย,33,1
05/11/2022,อุดรธานี,30,0
05/11/2022,สกลนคร,34,0
05/11/2022,นครพนม,36,0
05/11/2022,หนองบัวลำภู,48,0
05/11/2022,บึงกาฬ,47,0
06/11/2022,เลย,34,0
06/11/2022,หนองคาย,32,0
06/11/2022,อุดรธานี,24,0
06/11/2022,สกลนคร,28,0
06/11/2022,นครพนม,35,0
06/11/2022,หนองบัวลำภู,43,0
06/11/2022,บึงกาฬ,54,2
07/11/2022,เลย,32,0
07/11/2022,หนองคาย,39,2
07/11/2022,อุดรธานี,33,1
07/11/2022,สกลนคร,32,1
07/11/2022,นครพนม,36,0
07/11/2022,หนองบัวลำภู,46,0
07/11/2022,บึงกาฬ,52,0
08/11/2022,เลย,34,3
08/11/2022,หนองคาย,42,0
08/11/2022,อุดรธานี,34,2
08/11/2022,สกลนคร,24,1
08/11/2022,นครพนม,28,0
08/11/2022,หนองบัวลำภู,47,0
08/11/2022,บึงกาฬ,49,1
09/11/2022,เลย,33,0
09/11/2022,หนองคาย,37,2
09/11/2022,อุดรธานี,19,1
09/11/2022,สกลนคร,21,1
09/11/2022,นครพนม,21,3
09/11/2022,หนองบัวลำภู,46,0
09/11/2022,บึงกาฬ,34,0
10/11/2022,เลย,33,1
10/11/2022,หนองคาย,49,0
10/11/2022,อุดรธานี,25,1
10/11/2022,สกลนคร,16,0
10/11/2022,นครพนม,16,0
10/11/2022,หนองบัวลำภู,54,0
10/11/2022,บึงกาฬ,26,1
11/11/2022,เลย,26,0
11/11/2022,หนองคาย,36,1
11/11/2022,อุดรธานี,21,0
11/11/2022,สกลนคร,9,0
11/11/2022,นครพนม,14,0
11/11/2022,หนองบัวลำภู,32,0
11/11/2022,บึงกาฬ,31,0
12/11/2022,เลย,23,1
12/11/2022,หนองคาย,29,0
12/11/2022,อุดรธานี,29,0
12/11/2022,สกลนคร,11,2
12/11/2022,นครพนม,14,0
12/11/2022,หนองบัวลำภู,21,0
12/11/2022,บึงกาฬ,31,0
13/11/2022,เลย,16,0
13/11/2022,หนองคาย,18,0
13/11/2022,อุดรธานี,20,0
13/11/2022,สกลนคร,9,0
13/11/2022,นครพนม,13,1
13/11/2022,หนองบัวลำภู,24,0
13/11/2022,บึงกาฬ,18,0
14/11/2022,เลย,19,0
14/11/2022,หนองคาย,20,0
14/11/2022,อุดรธานี,21,0
14/11/2022,สกลนคร,8,1
14/11/2022,นครพนม,9,0
14/11/2022,หนองบัวลำภู,23,0
14/11/2022,บึงกาฬ,12,0
15/11/2022,เลย,16,2
15/11/2022,หนองคาย,16,1
15/11/2022,อุดรธานี,23,0
15/11/2022,สกลนคร,10,0
15/11/2022,นครพนม,11,0
15/11/2022,หนองบัวลำภู,25,0
15/11/2022,บึงกาฬ,24,0
16/11/2022,เลย,14,0
16/11/2022,หนองคาย,19,0
16/11/2022,อุดรธานี,12,1
16/11/2022,สกลนคร,10,0
16/11/2022,นครพนม,12,0
16/11/2022,หนองบัวลำภู,10,0
16/11/2022,บึงกาฬ,27,0
17/11/2022,เลย,15,0
17/11/2022,หนองคาย,22,0
17/11/2022,อุดรธานี,13,0
17/11/2022,สกลนคร,9,0
17/11/2022,นครพนม,11,1
17/11/2022,หนองบัวลำภู,11,0
17/11/2022,บึงกาฬ,28,0
18/11/2022,เลย,14,2
18/11/2022,หนองคาย,24,0
18/11/2022,อุดรธานี,14,0
18/11/2022,สกลนคร,10,0
18/11/2022,นครพนม,11,2
18/11/2022,หนองบัวลำภู,23,0
18/11/2022,บึงกาฬ,17,0
19/11/2022,เลย,15,0
19/11/2022,หนองคาย,16,1
19/11/2022,อุดรธานี,15,0
19/11/2022,สกลนคร,10,2
19/11/2022,นครพนม,14,0
19/11/2022,หนองบัวลำภู,13,0
19/11/2022,บึงกาฬ,14,0
20/11/2022,เลย,15,0
20/11/2022,หนองคาย,11,0
20/11/2022,อุดรธานี,11,0
20/11/2022,สกลนคร,12,0
20/11/2022,นครพนม,13,1
20/11/2022,หนองบัวลำภู,10,0
20/11/2022,บึงกาฬ,17,0
21/11/2022,เลย,16,0
