date,provice,pm25,hotspot
01/07/2023,เลย,10,0
01/07/2023,หนองคาย,14,0
01/07/2023,อุดรธานี,13,0
01/07/2023,สกลนคร,9,0
01/07/2023,นครพนม,11,0
01/07/2023,หนองบัวลำภู,9,0
01/07/2023,บึงกาฬ,17,0
02/07/2023,เลย,7,0
02/07/2023,หนองคาย,11,0
02/07/2023,อุดรธานี,8,0
02/07/2023,สกลนคร,5,0
02/07/2023,นครพนม,7,0
02/07/2023,หนองบัวลำภู,10,0
02/07/2023,บึงกาฬ,9,0
03/07/2023,เลย,8,0
03/07/2023,หนองคาย,8,0
03/07/2023,อุดรธานี,8,0
03/07/2023,สกลนคร,4,0
03/07/2023,นครพนม,4,0
03/07/2023,หนองบัวลำภู,5,0
03/07/2023,บึงกาฬ,10,0
04/07/2023,เลย,4,0
04/07/2023,หนองคาย,5,0
04/07/2023,อุดรธานี,8,0
04/07/2023,สกลนคร,6,0
04/07/2023,นครพนม,4,0
04/07/2023,หนองบัวลำภู,4,0
04/07/2023,บึงกาฬ,6,0
05/07/2023,เลย,5,0
05/07/2023,หนองคาย,7,0
05/07/2023,อุดรธานี,8,0
05/07/2023,สกลนคร,6,0
05/07/2023,นครพนม,7,0
05/07/2023,หนองบัวลำภู,3,0
05/07/2023,บึงกาฬ,10,0
06/07/2023,เลย,9,0
06/07/2023,หนองคาย,7,0
06/07/2023,อุดรธานี,10,0
06/07/2023,สกลนคร,7,0
06/07/2023,นครพนม,8,0
06/07/2023,หนองบัวลำภู,11,0
06/07/2023,บึงกาฬ,12,0
07/07/2023,เลย,11,0
07/07/2023,หนองคาย,13,0
07/07/2023,อุดรธานี,13,0
07/07/2023,สกลนคร,10,0
07/07/2023,นครพนม,15,0
07/07/2023,หนองบัวลำภู,14,0
07/07/2023,บึงกาฬ,16,0
08/07/2023,เลย,9,0
08/07/2023,หนองคาย,19,0
08/07/2023,อุดรธานี,16,0
08/07/2023,สกลนคร,14,1
08/07/2023,นครพนม,21,0
08/07/2023,หนองบัวลำภู,19,0
08/07/2023,บึงกาฬ,31,0
09/07/2023,เลย,18,0
09/07/2023,หนองคาย,20,0
09/07/2023,อุดรธานี,19,0
09/07/2023,สกลนคร,13,0
09/07/2023,นครพนม,18,0
09/07/2023,หนองบัวลำภู,24,0
09/07/2023,บึงกาฬ,14,0
10/07/2023,เลย,17,0
10/07/2023,หนองคาย,15,0
10/07/2023,อุดรธานี,13,0
10/07/2023,สกลนคร,8,0
10/07/2023,นครพนม,10,0
10/07/2023,หนองบัวลำภู,15,0
10/07/2023,บึงกาฬ,13,0
11/07/2023,เลย,8,0
11/07/2023,หนองคาย,13,0
11/07/2023,อุดรธานี,11,0
11/07/2023,สกลนคร,6,0
11/07/2023,นครพนม,11,0
11/07/2023,หนองบัวลำภู,10,0
11/07/2023,บึงกาฬ,16,0
12/07/2023,เลย,13,0
12/07/2023,หนองคาย,25,0
12/07/2023,อุดรธานี,14,0
12/07/2023,สกลนคร,8,0
12/07/2023,นครพนม,11,0
12/07/2023,หนองบัวลำภู,9,0
12/07/2023,บึงกาฬ,15,0
13/07/2023,เลย,7,0
13/07/2023,หนองคาย,9,0
13/07/2023,อุดรธานี,10,0
13/07/2023,สกลนคร,6,0
13/07/2023,นครพนม,8,0
13/07/2023,หนองบัวลำภู,9,0
13/07/2023,บึงกาฬ,10,0
14/07/2023,เลย,7,0
14/07/2023,หนองคาย,10,0
14/07/2023,อุดรธานี,13,0
14/07/2023,สกลนคร,7,0
14/07/2023,นครพนม,7,0
14/07/2023,หนองบัวลำภู,9,0
14/07/2023,บึงกาฬ,10,0
15/07/2023,เลย,7,0
15/07/2023,หนองคาย,10,0
15/07/2023,อุดรธานี,10,0
15/07/2023,สกลนคร,8,0
15/07/2023,นครพนม,13,0
15/07/2023,หนองบัวลำภู,11,0
15/07/2023,บึงกาฬ,9,0
16/07/2023,เลย,12,0
16/07/2023,หนองคาย,11,0
16/07/2023,อุดรธานี,11,0
16/07/2023,สกลนคร,6,0
16/07/2023,นครพนม,7,0
16/07/2023,หนองบัวลำภู,7,0
16/07/2023,บึงกาฬ,10,0
17/07/2023,เลย,7,0
17/07/2023,หนองคาย,8,0
17/07/2023,อุดรธานี,12,0
17/07/2023,สกลนคร,8,0
17/07/2023,นครพนม,14,0
17/07/2023,หนองบัวลำภู,14,0
17/07/2023,บึงกาฬ,11,0
18/07/2023,เลย,7,0
18/07/2023,หนองคาย,12,0
18/07/2023,อุดรธานี,11,0
18/07/2023,สกลนคร,7,0
18/07/2023,นครพนม,11,0
18/07/2023,หนองบัวลำภู,10,0
18/07/2023,บึงกาฬ,15,0
19/07/2023,เลย,6.8,0
19/07/2023,หนองคาย,12.1,0
19/07/2023,อุดรธานี,12.1,0
19/07/2023,สกลนคร,9.6,0
19/07/2023,นครพนม,12.4,0
19/07/2023,หนองบัวลำภู,16,0
19/07/2023,บึงกาฬ,19,0
20/07/2023,เลย,7,0
20/07/2023,หนองคาย,11.4,0
20/07/2023,อุดรธานี,12.4,0
20/07/2023,สกลนคร,6.9,0
20/07/2023,นครพนม,10.6,0
20/07/2023,หนองบัวลำภู,13,0
20/07/2023,บึงกาฬ,11,0
21/07/2023,เลย,7.7,0
21/07/2023,หนองคาย,16.4,0
21/07/2023,อุดรธานี,12,0
21/07/2023,สกลนคร,5.8,0
21/07/2023,นครพนม,9.6,0
21/07/2023,หนองบัวลำภู,12,0
21/07/2023,บึงกาฬ,5,0
22/07/2023,เลย,6,0
22/07/2023,หนองคาย,14,0
22/07/2023,อุดรธานี,11.2,0
22/07/2023,สกลนคร,6.1,0
22/07/2023,นครพนม,9.5,0
22/07/2023,หนองบัวลำภู,13,0
22/07/2023,บึงกาฬ,10,0
23/07/2023,เลย,6.9,0
23/07/2023,หนองคาย,8.3,0
23/07/2023,อุดรธานี,11.1,0
23/07/2023,สกลนคร,4.2,0
23/07/2023,นครพนม,8.6,0
23/07/2023,หนองบัวลำภู,11,0
23/07/2023,บึงกาฬ,12,0
24/07/2023,เลย,9.5,0
24/07/2023,หนองคาย,8.6,0
24/07/2023,อุดรธานี,7.1,0
24/07/2023,สกลนคร,4.8,0
24/07/2023,นครพนม,7.8,0
24/07/2023,หนองบัวลำภู,8,0
24/07/2023,บึงกาฬ,3,0
25/07/2023,เลย,7.7,0
25/07/2023,หนองคาย,5.7,0
25/07/2023,อุดรธานี,7,0
