date,provice,pm25,hotspot
01/09/2023,เลย,17,0
01/09/2023,หนองคาย,10,0
01/09/2023,อุดรธานี,18,0
01/09/2023,สกลนคร,8,2
01/09/2023,นครพนม,17,0
01/09/2023,หนองบัวลำภู,32,0
01/09/2023,บึงกาฬ,21,0
02/09/2023,เลย,21,0
02/09/2023,หนองคาย,12,0
02/09/2023,อุดรธานี,21,1
02/09/2023,สกลนคร,10,0
02/09/2023,นครพนม,26,0
02/09/2023,หนองบัวลำภู,34,0
02/09/2023,บึงกาฬ,30,0
03/09/2023,เลย,20,0
03/09/2023,หนองคาย,11,0
03/09/2023,อุดรธานี,18,0
03/09/2023,สกลนคร,11,0
03/09/2023,นครพนม,22,0
03/09/2023,หนองบัวลำภู,18,0
03/09/2023,บึงกาฬ,23,2
04/09/2023,เลย,14,0
04/09/2023,หนองคาย,9,0
04/09/2023,อุดรธานี,14,0
04/09/2023,สกลนคร,10,0
04/09/2023,นครพนม,15,0
04/09/2023,หนองบัวลำภู,15,2
04/09/2023,บึงกาฬ,12,0
05/09/2023,เลย,13,0
05/09/2023,หนองคาย,8,0
05/09/2023,อุดรธานี,16,0
05/09/2023,สกลนคร,9,0
05/09/2023,นครพนม,12,0
05/09/2023,หนองบัวลำภู,15,0
05/09/2023,บึงกาฬ,9,0
06/09/2023,เลย,8,0
06/09/2023,หนองคาย,6,0
06/09/2023,อุดรธานี,9,0
06/09/2023,สกลนคร,5,0
06/09/2023,นครพนม,9,0
06/09/2023,หนองบัวลำภู,15,0
06/09/2023,บึงกาฬ,6,0
07/09/2023,เลย,11,0
07/09/2023,หนองคาย,5,0
07/09/2023,อุดรธานี,7,0
07/09/2023,สกลนคร,4,0
07/09/2023,นครพนม,10,0
07/09/2023,หนองบัวลำภู,18,0
07/09/2023,บึงกาฬ,6,0
08/09/2023,เลย,8,0
08/09/2023,หนองคาย,7,0
08/09/2023,อุดรธานี,10,0
08/09/2023,สกลนคร,5,0
08/09/2023,นครพนม,12,0
08/09/2023,หนองบัวลำภู,18,0
08/09/2023,บึงกาฬ,8,0
09/09/2023,เลย,11,0
09/09/2023,หนองคาย,6,0
09/09/2023,อุดรธานี,8,0
09/09/2023,สกลนคร,5,0
09/09/2023,นครพนม,8,0
09/09/2023,หนองบัวลำภู,9,0
09/09/2023,บึงกาฬ,8,0
10/09/2023,เลย,9,0
10/09/2023,หนองคาย,5,0
10/09/2023,อุดรธานี,8,0
10/09/2023,สกลนคร,6,0
10/09/2023,นครพนม,11,0
10/09/2023,หนองบัวลำภู,6,0
10/09/2023,บึงกาฬ,7,0
11/09/2023,เลย,10,0
11/09/2023,หนองคาย,5,0
11/09/2023,อุดรธานี,5,0
11/09/2023,สกลนคร,5,0
11/09/2023,นครพนม,7,0
11/09/2023,หนองบัวลำภู,5,0
11/09/2023,บึงกาฬ,5,0
12/09/2023,เลย,11,0
12/09/2023,หนองคาย,5,0
12/09/2023,อุดรธานี,8,0
12/09/2023,สกลนคร,5,0
12/09/2023,นครพนม,7,0
12/09/2023,หนองบัวลำภู,5,0
12/09/2023,บึงกาฬ,12,0
13/09/2023,เลย,10,0
13/09/2023,หนองคาย,5,0
13/09/2023,อุดรธานี,7,0
13/09/2023,สกลนคร,5,0
13/09/2023,นครพนม,8,0
13/09/2023,หนองบัวลำภู,8,0
13/09/2023,บึงกาฬ,10,0
14/09/2023,เลย,9,0
14/09/2023,หนองคาย,6,0
14/09/2023,อุดรธานี,9,0
14/09/2023,สกลนคร,5,0
14/09/2023,นครพนม,6,0
14/09/2023,หนองบัวลำภู,5,0
14/09/2023,บึงกาฬ,7,0
15/09/2023,เลย,9,0
15/09/2023,หนองคาย,5,0
15/09/2023,อุดรธานี,5,0
15/09/2023,สกลนคร,5,0
15/09/2023,นครพนม,6,0
15/09/2023,หนองบัวลำภู,3,0
15/09/2023,บึงกาฬ,7,0
16/09/2023,เลย,8,0
16/09/2023,หนองคาย,3,0
16/09/2023,อุดรธานี,5,0
16/09/2023,สกลนคร,4,0
16/09/2023,นครพนม,5,0
16/09/2023,หนองบัวลำภู,3,0
16/09/2023,บึงกาฬ,5,0
17/09/2023,เลย,10,0
17/09/2023,หนองคาย,4,0
17/09/2023,อุดรธานี,6,0
17/09/2023,สกลนคร,5,0
17/09/2023,นครพนม,6,0
17/09/2023,หนองบัวลำภู,3,0
17/09/2023,บึงกาฬ,5,0
18/09/2023,เลย,10,0
18/09/2023,หนองคาย,4,0
18/09/2023,อุดรธานี,5,0
18/09/2023,สกลนคร,4,0
18/09/2023,นครพนม,7,0
18/09/2023,หนองบัวลำภู,2,0
18/09/2023,บึงกาฬ,7,0
19/09/2023,เลย,10,0
19/09/2023,หนองคาย,7,0
19/09/2023,อุดรธานี,7,0
19/09/2023,สกลนคร,9,0
19/09/2023,นครพนม,7,0
19/09/2023,หนองบัวลำภู,8,0
19/09/2023,บึงกาฬ,6,0
20/09/2023,เลย,13,0
20/09/2023,หนองคาย,7,0
20/09/2023,อุดรธานี,9,0
20/09/2023,สกลนคร,5,0
20/09/2023,นครพนม,10,0
20/09/2023,หนองบัวลำภู,9,0
20/09/2023,บึงกาฬ,10,0
21/09/2023,เลย,11,0
21/09/2023,หนองคาย,9,0
21/09/2023,อุดรธานี,13,0
21/09/2023,สกลนคร,5,0
21/09/2023,นครพนม,9,0
21/09/2023,หนองบัวลำภู,10,0
21/09/2023,บึงกาฬ,11,0
22/09/2023,เลย,13,0
22/09/2023,หนองคาย,10,0
22/09/2023,อุดรธานี,15,0
22/09/2023,สกลนคร,6,0
22/09/2023,นครพนม,10,0
22/09/2023,หนองบัวลำภู,13,0
22/09/2023,บึงกาฬ,13,0
23/09/2023,เลย,12,0
23/09/2023,หนองคาย,13,0
23/09/2023,อุดรธานี,9,0
23/09/2023,สกลนคร,5,0
23/09/2023,นครพนม,9,0
23/09/2023,หนองบัวลำภู,12,0
23/09/2023,บึงกาฬ,12,0
24/09/2023,เลย,11,0
24/09/2023,หนองคาย,12,0
24/09/2023,อุดรธานี,11,0
24/09/2023,สกลนคร,6,0
24/09/2023,นครพนม,8,0
24/09/2023,หนองบัวลำภู,11,0
24/09/2023,บึงกาฬ,11,0
25/09/2023,เลย,8,0
25/09/2023,หนองคาย,11,0
25/09/2023,อุดรธานี,12,0
25/09/2023,สกลนคร,6,0
25/09/2023,นครพนม,11,0
25/09/2023,หนองบัวลำภู,10,0
25/09/2023,บึงกาฬ,8,0
26/09/2023,เลย,9,0
26/09/2023,หนองคาย,10,0
26/09/2023,อุดรธานี,14,0
26/09/2023,สกลนคร,5,0
26/09/2023,นครพนม,9,0
26/09/2023,หนองบัวลำภู,7,0
26/09/2023,บึงกาฬ,9,0
27/09/2023,เลย,8,0
27/09/2023,หนองคาย,7,0
27/09/2023,อุดรธานี,6,0
27/09/2023,สกลนคร,6,0
27/09/2023,นครพนม,10,0
27/09/2023,หนองบัวลำภู,5,0
27/09/2023,บึงกาฬ,8,0
28/09/2023,เลย,8,0
28/09/2023,หนองคาย,4,0
28/09/2023,อุดรธานี,7,0
28/09/2023,สกลนคร,7,0
28/09/2023,นครพนม,5,0
28/09/2023,หนองบัวลำภู,4,0
28/09/2023,บึงกาฬ,7,0
29/09/2023,เลย,9,0
29/09/2023,หนองคาย,4,0
29/09/2023,อุดรธานี,6,0
29/09/2023,สกลนคร,7,0
29/09/2023,นครพนม,4,0
29/09/2023,หนองบัวลำภู,5,0
29/09/2023,บึงกาฬ,6,0
30/09/2023,เลย,8,0
30/09/2023,หนองคาย,4,0
30/09/2023,อุดรธานี,7,0
30/09/2023,สกลนคร,10,0
30/09/2023,นครพนม,5,0
30/09/2023,หนองบัวลำภู,4,0
30/09/2023,บึงกาฬ,7,0
