date,provice,pm25,hotspot
01/02/2023,เลย,89,38
01/02/2023,หนองคาย,76,5
01/02/2023,อุดรธานี,72,31
01/02/2023,สกลนคร,60,18
01/02/2023,นครพนม,115,9
01/02/2023,หนองบัวลำภู,74,13
01/02/2023,บึงกาฬ,61,2
02/02/2023,เลย,94,23
02/02/2023,หนองคาย,94,1
02/02/2023,อุดรธานี,82,22
02/02/2023,สกลนคร,71,31
02/02/2023,นครพนม,151,17
02/02/2023,หนองบัวลำภู,85,14
02/02/2023,บึงกาฬ,70,4
03/02/2023,เลย,90,17
03/02/2023,หนองคาย,71,0
03/02/2023,อุดรธานี,55,19
03/02/2023,สกลนคร,20,7
03/02/2023,นครพนม,21,1
03/02/2023,หนองบัวลำภู,82,10
03/02/2023,บึงกาฬ,67,1
04/02/2023,เลย,82,0
04/02/2023,หนองคาย,28,0
04/02/2023,อุดรธานี,25,0
04/02/2023,สกลนคร,13,3
04/02/2023,นครพนม,20,2
04/02/2023,หนองบัวลำภู,30,0
04/02/2023,บึงกาฬ,36,0
05/02/2023,เลย,32,1
05/02/2023,หนองคาย,31,0
05/02/2023,อุดรธานี,16,0
05/02/2023,สกลนคร,19,0
05/02/2023,นครพนม,36,0
05/02/2023,หนองบัวลำภู,19,0
05/02/2023,บึงกาฬ,26,0
06/02/2023,เลย,34,7
06/02/2023,หนองคาย,34,1
06/02/2023,อุดรธานี,25,12
06/02/2023,สกลนคร,25,16
06/02/2023,นครพนม,46,1
06/02/2023,หนองบัวลำภู,23,4
06/02/2023,บึงกาฬ,25,0
07/02/2023,เลย,38,6
07/02/2023,หนองคาย,39,5
07/02/2023,อุดรธานี,34,7
07/02/2023,สกลนคร,38,5
07/02/2023,นครพนม,73,0
07/02/2023,หนองบัวลำภู,30,7
07/02/2023,บึงกาฬ,29,1
08/02/2023,เลย,32,12
08/02/2023,หนองคาย,35,2
08/02/2023,อุดรธานี,43,6
08/02/2023,สกลนคร,35,1
08/02/2023,นครพนม,66,1
08/02/2023,หนองบัวลำภู,42,4
08/02/2023,บึงกาฬ,31,2
09/02/2023,เลย,37,11
09/02/2023,หนองคาย,40,0
09/02/2023,อุดรธานี,39,2
09/02/2023,สกลนคร,49,4
09/02/2023,นครพนม,71,0
09/02/2023,หนองบัวลำภู,36,3
09/02/2023,บึงกาฬ,30,0
10/02/2023,เลย,43,4
10/02/2023,หนองคาย,33,0
10/02/2023,อุดรธานี,43,7
10/02/2023,สกลนคร,40,2
10/02/2023,นครพนม,54,2
10/02/2023,หนองบัวลำภู,46,3
10/02/2023,บึงกาฬ,25,0
11/02/2023,เลย,43,16
11/02/2023,หนองคาย,38,2
11/02/2023,อุดรธานี,45,31
11/02/2023,สกลนคร,40,12
11/02/2023,นครพนม,53,4
11/02/2023,หนองบัวลำภู,45,8
11/02/2023,บึงกาฬ,32,1
12/02/2023,เลย,38,32
12/02/2023,หนองคาย,52,14
12/02/2023,อุดรธานี,42,44
12/02/2023,สกลนคร,48,38
12/02/2023,นครพนม,102,17
12/02/2023,หนองบัวลำภู,46,8
12/02/2023,บึงกาฬ,32,5
13/02/2023,เลย,50,48
13/02/2023,หนองคาย,63,9
13/02/2023,อุดรธานี,44,26
13/02/2023,สกลนคร,51,31
13/02/2023,นครพนม,111,18
13/02/2023,หนองบัวลำภู,48,9
13/02/2023,บึงกาฬ,40,1
14/02/2023,เลย,56,29
14/02/2023,หนองคาย,81,11
14/02/2023,อุดรธานี,54,34
14/02/2023,สกลนคร,73,32
14/02/2023,นครพนม,101,5
14/02/2023,หนองบัวลำภู,54,19
14/02/2023,บึงกาฬ,46,2
15/02/2023,เลย,51,40
15/02/2023,หนองคาย,49,4
15/02/2023,อุดรธานี,23,16
15/02/2023,สกลนคร,35,10
15/02/2023,นครพนม,33,10
15/02/2023,หนองบัวลำภู,44,16
15/02/2023,บึงกาฬ,22,4
16/02/2023,เลย,26,14
16/02/2023,หนองคาย,24,9
16/02/2023,อุดรธานี,12,11
16/02/2023,สกลนคร,14,13
16/02/2023,นครพนม,25,19
16/02/2023,หนองบัวลำภู,15,19
16/02/2023,บึงกาฬ,13,5
17/02/2023,เลย,35,33
17/02/2023,หนองคาย,24,1
17/02/2023,อุดรธานี,17,11
17/02/2023,สกลนคร,20,4
17/02/2023,นครพนม,29,1
17/02/2023,หนองบัวลำภู,18,3
17/02/2023,บึงกาฬ,16,0
18/02/2023,เลย,56,11
18/02/2023,หนองคาย,32,3
