date,provice,pm25,hotspot
01/10/2023,เลย,8,0
01/10/2023,หนองคาย,6,0
01/10/2023,อุดรธานี,12,0
01/10/2023,สกลนคร,6,0
01/10/2023,นครพนม,8,0
01/10/2023,หนองบัวลำภู,6,0
01/10/2023,บึงกาฬ,7,0
02/10/2023,เลย,9,0
02/10/2023,หนองคาย,8,0
02/10/2023,อุดรธานี,10,0
02/10/2023,สกลนคร,9,0
02/10/2023,นครพนม,12,0
02/10/2023,หนองบัวลำภู,10,0
02/10/2023,บึงกาฬ,11,0
03/10/2023,เลย,12,0
03/10/2023,หนองคาย,10,0
03/10/2023,อุดรธานี,15,0
03/10/2023,สกลนคร,12,0
03/10/2023,นครพนม,11,0
03/10/2023,หนองบัวลำภู,9,0
03/10/2023,บึงกาฬ,12,1
04/10/2023,เลย,17,0
04/10/2023,หนองคาย,12,0
04/10/2023,อุดรธานี,15,0
04/10/2023,สกลนคร,13,0
04/10/2023,นครพนม,18,0
04/10/2023,หนองบัวลำภู,7,0
04/10/2023,บึงกาฬ,9,0
05/10/2023,เลย,14,0
05/10/2023,หนองคาย,6,0
05/10/2023,อุดรธานี,12,0
05/10/2023,สกลนคร,14,0
05/10/2023,นครพนม,18,0
05/10/2023,หนองบัวลำภู,6,0
05/10/2023,บึงกาฬ,12,0
06/10/2023,เลย,11,0
06/10/2023,หนองคาย,7,0
06/10/2023,อุดรธานี,9,0
06/10/2023,สกลนคร,6,0
06/10/2023,นครพนม,11,0
06/10/2023,หนองบัวลำภู,7,0
06/10/2023,บึงกาฬ,9,0
07/10/2023,เลย,10,0
07/10/2023,หนองคาย,4,0
07/10/2023,อุดรธานี,6,0
07/10/2023,สกลนคร,10,0
07/10/2023,นครพนม,7,0
07/10/2023,หนองบัวลำภู,6,0
07/10/2023,บึงกาฬ,12,0
08/10/2023,เลย,8,0
08/10/2023,หนองคาย,5,0
08/10/2023,อุดรธานี,5,0
08/10/2023,สกลนคร,9,0
08/10/2023,นครพนม,7,0
08/10/2023,หนองบัวลำภู,12,0
08/10/2023,บึงกาฬ,10,0
09/10/2023,เลย,9,0
09/10/2023,หนองคาย,8,0
09/10/2023,อุดรธานี,12,0
09/10/2023,สกลนคร,7,0
09/10/2023,นครพนม,9,0
09/10/2023,หนองบัวลำภู,6,0
09/10/2023,บึงกาฬ,12,0
10/10/2023,เลย,20,0
10/10/2023,หนองคาย,17,0
10/10/2023,อุดรธานี,19,0
10/10/2023,สกลนคร,6,0
10/10/2023,นครพนม,22,0
10/10/2023,หนองบัวลำภู,12,0
10/10/2023,บึงกาฬ,10,0
11/10/2023,เลย,15,0
11/10/2023,หนองคาย,10,0
11/10/2023,อุดรธานี,15,0
11/10/2023,สกลนคร,12,0
11/10/2023,นครพนม,14,0
11/10/2023,หนองบัวลำภู,6,0
11/10/2023,บึงกาฬ,12,0
12/10/2023,เลย,17,0
12/10/2023,หนองคาย,10,0
12/10/2023,อุดรธานี,15,0
12/10/2023,สกลนคร,10,0
12/10/2023,นครพนม,21,0
12/10/2023,หนองบัวลำภู,9,0
12/10/2023,บึงกาฬ,20,0
13/10/2023,เลย,18,0
13/10/2023,หนองคาย,9,0
13/10/2023,อุดรธานี,14,0
13/10/2023,สกลนคร,12,0
13/10/2023,นครพนม,18,0
13/10/2023,หนองบัวลำภู,22,0
