date,provice,pm25,hotspot
01/05/2023,เลย,29,0
01/05/2023,หนองคาย,39,4
01/05/2023,อุดรธานี,27,9
01/05/2023,สกลนคร,15,5
01/05/2023,นครพนม,18,5
01/05/2023,หนองบัวลำภู,18,0
01/05/2023,บึงกาฬ,21,1
02/05/2023,เลย,26,3
02/05/2023,หนองคาย,50,4
02/05/2023,อุดรธานี,27,7
02/05/2023,สกลนคร,22,3
02/05/2023,นครพนม,22,3
02/05/2023,หนองบัวลำภู,23,9
02/05/2023,บึงกาฬ,29,3
03/05/2023,เลย,31,2
03/05/2023,หนองคาย,42,0
03/05/2023,อุดรธานี,32,0
03/05/2023,สกลนคร,27,5
03/05/2023,นครพนม,26,2
03/05/2023,หนองบัวลำภู,27,0
03/05/2023,บึงกาฬ,38,1
04/05/2023,เลย,25,6
04/05/2023,หนองคาย,46,9
04/05/2023,อุดรธานี,28,11
04/05/2023,สกลนคร,30,16
04/05/2023,นครพนม,46,5
04/05/2023,หนองบัวลำภู,25,0
04/05/2023,บึงกาฬ,33,5
05/05/2023,เลย,42,4
05/05/2023,หนองคาย,43,7
05/05/2023,อุดรธานี,32,7
05/05/2023,สกลนคร,29,7
05/05/2023,นครพนม,50,1
05/05/2023,หนองบัวลำภู,30,2
05/05/2023,บึงกาฬ,35,2
06/05/2023,เลย,42,26
06/05/2023,หนองคาย,46,20
06/05/2023,อุดรธานี,35,6
06/05/2023,สกลนคร,28,6
06/05/2023,นครพนม,51,2
06/05/2023,หนองบัวลำภู,30,1
06/05/2023,บึงกาฬ,38,0
07/05/2023,เลย,46,26
07/05/2023,หนองคาย,60,11
07/05/2023,อุดรธานี,41,11
07/05/2023,สกลนคร,34,10
07/05/2023,นครพนม,55,4
07/05/2023,หนองบัวลำภู,37,2
07/05/2023,บึงกาฬ,58,0
08/05/2023,เลย,46,5
08/05/2023,หนองคาย,47,0
08/05/2023,อุดรธานี,34,0
08/05/2023,สกลนคร,35,0
08/05/2023,นครพนม,30,0
08/05/2023,หนองบัวลำภู,30,0
08/05/2023,บึงกาฬ,36,0
09/05/2023,เลย,20,0
09/05/2023,หนองคาย,27,2
09/05/2023,อุดรธานี,21,2
09/05/2023,สกลนคร,19,0
09/05/2023,นครพนม,19,0
09/05/2023,หนองบัวลำภู,17,0
09/05/2023,บึงกาฬ,22,0
10/05/2023,เลย,14,0
10/05/2023,หนองคาย,25,1
10/05/2023,อุดรธานี,20,2
10/05/2023,สกลนคร,18,0
10/05/2023,นครพนม,21,0
10/05/2023,หนองบัวลำภู,16,0
10/05/2023,บึงกาฬ,17,0
