date,provice,pm25,hotspot
01/01/2023,เลย,30,4
01/01/2023,หนองคาย,22,0
01/01/2023,อุดรธานี,20,12
01/01/2023,สกลนคร,30,5
01/01/2023,นครพนม,38,2
01/01/2023,หนองบัวลำภู,20,4
01/01/2023,บึงกาฬ,17,0
02/01/2023,เลย,36,2
02/01/2023,หนองคาย,32,0
02/01/2023,อุดรธานี,28,3
02/01/2023,สกลนคร,23,0
02/01/2023,นครพนม,37,2
02/01/2023,หนองบัวลำภู,29,0
02/01/2023,บึงกาฬ,21,3
03/01/2023,เลย,29,0
03/01/2023,หนองคาย,18,1
03/01/2023,อุดรธานี,19,0
03/01/2023,สกลนคร,18,0
03/01/2023,นครพนม,27,0
03/01/2023,หนองบัวลำภู,18,0
03/01/2023,บึงกาฬ,10,1
04/01/2023,เลย,22,2
04/01/2023,หนองคาย,12,0
04/01/2023,อุดรธานี,11,18
04/01/2023,สกลนคร,8,7
04/01/2023,นครพนม,20,0
04/01/2023,หนองบัวลำภู,12,1
04/01/2023,บึงกาฬ,8,0
05/01/2023,เลย,24,4
05/01/2023,หนองคาย,19,2
05/01/2023,อุดรธานี,13,1
05/01/2023,สกลนคร,10,5
05/01/2023,นครพนม,31,1
05/01/2023,หนองบัวลำภู,17,1
05/01/2023,บึงกาฬ,12,1
06/01/2023,เลย,22,0
06/01/2023,หนองคาย,9,1
06/01/2023,อุดรธานี,9,8
06/01/2023,สกลนคร,10,5
06/01/2023,นครพนม,12,0
06/01/2023,หนองบัวลำภู,10,1
06/01/2023,บึงกาฬ,9,1
07/01/2023,เลย,19,3
07/01/2023,หนองคาย,21,0
07/01/2023,อุดรธานี,19,1
07/01/2023,สกลนคร,26,3
07/01/2023,นครพนม,46,2
07/01/2023,หนองบัวลำภู,23,0
07/01/2023,บึงกาฬ,28,0
08/01/2023,เลย,31,0
08/01/2023,หนองคาย,34,0
08/01/2023,อุดรธานี,30,2
08/01/2023,สกลนคร,32,1
08/01/2023,นครพนม,60,3
08/01/2023,หนองบัวลำภู,32,0
08/01/2023,บึงกาฬ,35,0
09/01/2023,เลย,35,0
09/01/2023,หนองคาย,43,0
09/01/2023,อุดรธานี,37,2
09/01/2023,สกลนคร,25,0
09/01/2023,นครพนม,52,0
09/01/2023,หนองบัวลำภู,35,0
09/01/2023,บึงกาฬ,29,0
10/01/2023,เลย,28,0
10/01/2023,หนองคาย,22,0
10/01/2023,อุดรธานี,15,0
10/01/2023,สกลนคร,12,0
10/01/2023,นครพนม,21,0
10/01/2023,หนองบัวลำภู,22,0
10/01/2023,บึงกาฬ,18,0
11/01/2023,เลย,17,0
11/01/2023,หนองคาย,9,0
11/01/2023,อุดรธานี,11,0
11/01/2023,สกลนคร,11,0
11/01/2023,นครพนม,24,0
11/01/2023,หนองบัวลำภู,12,0
11/01/2023,บึงกาฬ,8,0
12/01/2023,เลย,15,0
12/01/2023,หนองคาย,10,0
12/01/2023,อุดรธานี,6,0
12/01/2023,สกลนคร,7,0
12/01/2023,นครพนม,9,0
12/01/2023,หนองบัวลำภู,7,0
12/01/2023,บึงกาฬ,9,0
13/01/2023,เลย,32,2
13/01/2023,หนองคาย,15,1
13/01/2023,อุดรธานี,16,0
13/01/2023,สกลนคร,12,0
13/01/2023,นครพนม,22,0
13/01/2023,หนองบัวลำภู,17,1
13/01/2023,บึงกาฬ,8,0
14/01/2023,เลย,31,2
14/01/2023,หนองคาย,42,4
14/01/2023,อุดรธานี,28,10
14/01/2023,สกลนคร,18,3
14/01/2023,นครพนม,49,0
14/01/2023,หนองบัวลำภู,30,1
14/01/2023,บึงกาฬ,21,1
15/01/2023,เลย,36,8
15/01/2023,หนองคาย,45,1
15/01/2023,อุดรธานี,35,9
15/01/2023,สกลนคร,12,8
15/01/2023,นครพนม,53,3
15/01/2023,หนองบัวลำภู,36,8
15/01/2023,บึงกาฬ,23,7
16/01/2023,เลย,34,8
16/01/2023,หนองคาย,36,4
16/01/2023,อุดรธานี,27,16
16/01/2023,สกลนคร,20,8
16/01/2023,นครพนม,19,10
16/01/2023,หนองบัวลำภู,31,10
16/01/2023,บึงกาฬ,20,1
17/01/2023,เลย,33,4
17/01/2023,หนองคาย,14,1
17/01/2023,อุดรธานี,9,10
17/01/2023,สกลนคร,8,7
17/01/2023,นครพนม,10,5
17/01/2023,หนองบัวลำภู,17,4
17/01/2023,บึงกาฬ,13,2
18/01/2023,เลย,16,2
18/01/2023,หนองคาย,15,0
18/01/2023,อุดรธานี,10,6
18/01/2023,สกลนคร,7,12
18/01/2023,นครพนม,19,4
18/01/2023,หนองบัวลำภู,13,4
18/01/2023,บึงกาฬ,17,2
19/01/2023,เลย,27,10
19/01/2023,หนองคาย,20,1
