date,provice,pm25,hotspot
01/06/2023,เลย,17,2
01/06/2023,หนองคาย,31,0
01/06/2023,อุดรธานี,22,1
01/06/2023,สกลนคร,17,0
01/06/2023,นครพนม,22,0
01/06/2023,หนองบัวลำภู,14,1
01/06/2023,บึงกาฬ,20,0
02/06/2023,เลย,13,1
02/06/2023,หนองคาย,18,0
02/06/2023,อุดรธานี,14,0
02/06/2023,สกลนคร,19,1
02/06/2023,นครพนม,26,1
02/06/2023,หนองบัวลำภู,11,0
02/06/2023,บึงกาฬ,20,0
03/06/2023,เลย,21,3
03/06/2023,หนองคาย,24,1
03/06/2023,อุดรธานี,25,2
03/06/2023,สกลนคร,20,0
03/06/2023,นครพนม,27,0
03/06/2023,หนองบัวลำภู,20,1
03/06/2023,บึงกาฬ,23,0
04/06/2023,เลย,19,1
04/06/2023,หนองคาย,21,0
04/06/2023,อุดรธานี,23,0
04/06/2023,สกลนคร,16,0
04/06/2023,นครพนม,22,0
04/06/2023,หนองบัวลำภู,16,0
04/06/2023,บึงกาฬ,19,0
05/06/2023,เลย,12,0
05/06/2023,หนองคาย,17,0
05/06/2023,อุดรธานี,11,0
05/06/2023,สกลนคร,13,0
05/06/2023,นครพนม,15,0
05/06/2023,หนองบัวลำภู,8,0
05/06/2023,บึงกาฬ,9,0
06/06/2023,เลย,7,0
06/06/2023,หนองคาย,8,0
06/06/2023,อุดรธานี,10,0
06/06/2023,สกลนคร,5,0
06/06/2023,นครพนม,8,0
06/06/2023,หนองบัวลำภู,6,0
06/06/2023,บึงกาฬ,9,0
07/06/2023,เลย,12,0
07/06/2023,หนองคาย,13,0
07/06/2023,อุดรธานี,11,0
07/06/2023,สกลนคร,8,0
07/06/2023,นครพนม,9,0
07/06/2023,หนองบัวลำภู,6,0
07/06/2023,บึงกาฬ,6,0
08/06/2023,เลย,11,0
08/06/2023,หนองคาย,13,0
08/06/2023,อุดรธานี,13,0
08/06/2023,สกลนคร,8,0
08/06/2023,นครพนม,13,0
08/06/2023,หนองบัวลำภู,10,0
08/06/2023,บึงกาฬ,11,0
09/06/2023,เลย,12,0
09/06/2023,หนองคาย,17,0
09/06/2023,อุดรธานี,15,0
09/06/2023,สกลนคร,10,0
09/06/2023,นครพนม,14,0
09/06/2023,หนองบัวลำภู,10,0
09/06/2023,บึงกาฬ,12,0
10/06/2023,เลย,15,0
10/06/2023,หนองคาย,20,0
10/06/2023,อุดรธานี,19,0
10/06/2023,สกลนคร,10,0
10/06/2023,นครพนม,14,0
10/06/2023,หนองบัวลำภู,10,0
10/06/2023,บึงกาฬ,8,0
11/06/2023,เลย,17,0
11/06/2023,หนองคาย,14,0
11/06/2023,อุดรธานี,14,1
11/06/2023,สกลนคร,9,0
11/06/2023,นครพนม,10,0
11/06/2023,หนองบัวลำภู,10,0
