date,provice,pm25,hotspot
01/08/2023,เลย,11,0
01/08/2023,หนองคาย,10,0
01/08/2023,อุดรธานี,12,0
01/08/2023,สกลนคร,12,0
01/08/2023,นครพนม,8,0
01/08/2023,หนองบัวลำภู,13,0
01/08/2023,บึงกาฬ,16,0
02/08/2023,เลย,15,0
02/08/2023,หนองคาย,9,0
02/08/2023,อุดรธานี,14,0
02/08/2023,สกลนคร,15,0
02/08/2023,นครพนม,13,0
02/08/2023,หนองบัวลำภู,11,0
02/08/2023,บึงกาฬ,6,0
03/08/2023,เลย,12,0
03/08/2023,หนองคาย,22,0
03/08/2023,อุดรธานี,13,0
03/08/2023,สกลนคร,6,0
03/08/2023,นครพนม,4,0
03/08/2023,หนองบัวลำภู,23,0
03/08/2023,บึงกาฬ,9,0
04/08/2023,เลย,18,0
04/08/2023,หนองคาย,17,0
04/08/2023,อุดรธานี,15,0
04/08/2023,สกลนคร,21,0
04/08/2023,นครพนม,19,0
04/08/2023,หนองบัวลำภู,25,0
04/08/2023,บึงกาฬ,24,0
05/08/2023,เลย,15,0
05/08/2023,หนองคาย,20,0
05/08/2023,อุดรธานี,16,0
05/08/2023,สกลนคร,20,0
05/08/2023,นครพนม,17,0
05/08/2023,หนองบัวลำภู,18,0
05/08/2023,บึงกาฬ,16,0
06/08/2023,เลย,16,0
06/08/2023,หนองคาย,24,0
06/08/2023,อุดรธานี,12,0
06/08/2023,สกลนคร,17,0
06/08/2023,นครพนม,17,0
06/08/2023,หนองบัวลำภู,21,0
06/08/2023,บึงกาฬ,19,0
07/08/2023,เลย,13,0
07/08/2023,หนองคาย,20,0
07/08/2023,อุดรธานี,13,0
07/08/2023,สกลนคร,17,0
07/08/2023,นครพนม,13,0
07/08/2023,หนองบัวลำภู,18,0
07/08/2023,บึงกาฬ,15,0
08/08/2023,เลย,17,0
08/08/2023,หนองคาย,19,0
08/08/2023,อุดรธานี,11,0
08/08/2023,สกลนคร,17,0
08/08/2023,นครพนม,14,0
08/08/2023,หนองบัวลำภู,18,0
08/08/2023,บึงกาฬ,15,0
09/08/2023,เลย,9,0
09/08/2023,หนองคาย,16,0
09/08/2023,อุดรธานี,13,0
09/08/2023,สกลนคร,13,0
09/08/2023,นครพนม,14,0
09/08/2023,หนองบัวลำภู,16,0
09/08/2023,บึงกาฬ,12,0
10/08/2023,เลย,17,0
10/08/2023,หนองคาย,12,0
10/08/2023,อุดรธานี,18,0
10/08/2023,สกลนคร,10,0
10/08/2023,นครพนม,14,0
10/08/2023,หนองบัวลำภู,15,0
10/08/2023,บึงกาฬ,14,0
11/08/2023,เลย,19,0
11/08/2023,หนองคาย,15,0
11/08/2023,อุดรธานี,22,0
11/08/2023,สกลนคร,11,0
11/08/2023,นครพนม,19,0
11/08/2023,หนองบัวลำภู,20,0
11/08/2023,บึงกาฬ,19,0
12/08/2023,เลย,20,0
12/08/2023,หนองคาย,12,0
12/08/2023,อุดรธานี,21,0
12/08/2023,สกลนคร,22,0
12/08/2023,นครพนม,24,0
12/08/2023,หนองบัวลำภู,23,0
12/08/2023,บึงกาฬ,21,0
13/08/2023,เลย,25,0
13/08/2023,หนองคาย,13,0
13/08/2023,อุดรธานี,16,0
13/08/2023,สกลนคร,30,0
13/08/2023,นครพนม,29,0
13/08/2023,หนองบัวลำภู,10,0
13/08/2023,บึงกาฬ,11,0
14/08/2023,เลย,16,0
14/08/2023,หนองคาย,16,0
14/08/2023,อุดรธานี,16,0
14/08/2023,สกลนคร,26,0
14/08/2023,นครพนม,21,0
14/08/2023,หนองบัวลำภู,6,0
14/08/2023,บึงกาฬ,11,0
15/08/2023,เลย,23,0
15/08/2023,หนองคาย,12,0
15/08/2023,อุดรธานี,16,0
15/08/2023,สกลนคร,24,0
15/08/2023,นครพนม,20,0
15/08/2023,หนองบัวลำภู,15,0
15/08/2023,บึงกาฬ,16,0
16/08/2023,เลย,14,0
16/08/2023,หนองคาย,16,0
16/08/2023,อุดรธานี,22,0
16/08/2023,สกลนคร,17,0
16/08/2023,นครพนม,11,0
16/08/2023,หนองบัวลำภู,6,0
16/08/2023,บึงกาฬ,8,0
17/08/2023,เลย,21,0
17/08/2023,หนองคาย,12,0
17/08/2023,อุดรธานี,19,0
17/08/2023,สกลนคร,15,0
17/08/2023,นครพนม,21,0
17/08/2023,หนองบัวลำภู,9,0
17/08/2023,บึงกาฬ,7,0
18/08/2023,เลย,17,0
18/08/2023,หนองคาย,12,0
18/08/2023,อุดรธานี,22,1
18/08/2023,สกลนคร,12,1
18/08/2023,นครพนม,19,0
18/08/2023,หนองบัวลำภู,8,0
18/08/2023,บึงกาฬ,9,0
19/08/2023,เลย,14,0
19/08/2023,หนองคาย,14,0
19/08/2023,อุดรธานี,23,0
19/08/2023,สกลนคร,13,0
19/08/2023,นครพนม,16,0
19/08/2023,หนองบัวลำภู,6,0
19/08/2023,บึงกาฬ,7,0
20/08/2023,เลย,16,0
20/08/2023,หนองคาย,9,0
20/08/2023,อุดรธานี,19,0
20/08/2023,สกลนคร,14,0
20/08/2023,นครพนม,20,0
20/08/2023,หนองบัวลำภู,8,0
20/08/2023,บึงกาฬ,6,0
21/08/2023,เลย,14,0
21/08/2023,หนองคาย,10,0
21/08/2023,อุดรธานี,15,0
21/08/2023,สกลนคร,11,0
21/08/2023,นครพนม,17,0
21/08/2023,หนองบัวลำภู,7,0
21/08/2023,บึงกาฬ,9,0
22/08/2023,เลย,15,0
22/08/2023,หนองคาย,9,0
22/08/2023,อุดรธานี,11,0
22/08/2023,สกลนคร,15,0
22/08/2023,นครพนม,19,0
22/08/2023,หนองบัวลำภู,5,0
22/08/2023,บึงกาฬ,7,0
23/08/2023,เลย,14,0
23/08/2023,หนองคาย,8,0
23/08/2023,อุดรธานี,10,0
23/08/2023,สกลนคร,18,0
23/08/2023,นครพนม,18,0
23/08/2023,หนองบัวลำภู,11,0
23/08/2023,บึงกาฬ,10,0
24/08/2023,เลย,13,0
24/08/2023,หนองคาย,7,0
24/08/2023,อุดรธานี,11,0
24/08/2023,สกลนคร,13,0
24/08/2023,นครพนม,11,0
24/08/2023,หนองบัวลำภู,8,0
24/08/2023,บึงกาฬ,6,0
25/08/2023,เลย,13,0
