date,provice,pm25,hotspot
01/04/2023,เลย,72,90
01/04/2023,หนองคาย,55,2
01/04/2023,อุดรธานี,54,11
01/04/2023,สกลนคร,37,14
01/04/2023,นครพนม,60,8
01/04/2023,หนองบัวลำภู,46,2
01/04/2023,บึงกาฬ,34,0
02/04/2023,เลย,79,96
02/04/2023,หนองคาย,84,27
02/04/2023,อุดรธานี,54,19
02/04/2023,สกลนคร,35,6
02/04/2023,นครพนม,56,1
02/04/2023,หนองบัวลำภู,52,4
02/04/2023,บึงกาฬ,47,1
03/04/2023,เลย,88,43
03/04/2023,หนองคาย,61,31
03/04/2023,อุดรธานี,38,6
03/04/2023,สกลนคร,26,10
03/04/2023,นครพนม,50,1
03/04/2023,หนองบัวลำภู,39,4
03/04/2023,บึงกาฬ,35,0
04/04/2023,เลย,79,168
04/04/2023,หนองคาย,52,57
04/04/2023,อุดรธานี,47,29
04/04/2023,สกลนคร,47,21
04/04/2023,นครพนม,67,6
04/04/2023,หนองบัวลำภู,48,11
04/04/2023,บึงกาฬ,43,3
05/04/2023,เลย,96,334
05/04/2023,หนองคาย,118,9
05/04/2023,อุดรธานี,68,47
05/04/2023,สกลนคร,44,40
05/04/2023,นครพนม,71,17
05/04/2023,หนองบัวลำภู,68,5
05/04/2023,บึงกาฬ,83,1
06/04/2023,เลย,129,232
06/04/2023,หนองคาย,140,7
06/04/2023,อุดรธานี,0,35
06/04/2023,สกลนคร,58,58
06/04/2023,นครพนม,75,15
06/04/2023,หนองบัวลำภู,77,7
06/04/2023,บึงกาฬ,155,3
07/04/2023,เลย,210,262
07/04/2023,หนองคาย,219,4
07/04/2023,อุดรธานี,0,34
07/04/2023,สกลนคร,68,7
07/04/2023,นครพนม,87,1
07/04/2023,หนองบัวลำภู,115,6
07/04/2023,บึงกาฬ,147,1
08/04/2023,เลย,236,81
08/04/2023,หนองคาย,115,3
08/04/2023,อุดรธานี,95,9
08/04/2023,สกลนคร,36,2
08/04/2023,นครพนม,43,0
08/04/2023,หนองบัวลำภู,100,2
08/04/2023,บึงกาฬ,61,2
09/04/2023,เลย,91,4
09/04/2023,หนองคาย,56,1
09/04/2023,อุดรธานี,38,4
09/04/2023,สกลนคร,22,7
09/04/2023,นครพนม,20,7
09/04/2023,หนองบัวลำภู,48,0
09/04/2023,บึงกาฬ,34,2
10/04/2023,เลย,68,13
10/04/2023,หนองคาย,58,9
10/04/2023,อุดรธานี,37,4
10/04/2023,สกลนคร,34,14
10/04/2023,นครพนม,33,4
10/04/2023,หนองบัวลำภู,48,5
10/04/2023,บึงกาฬ,42,0
11/04/2023,เลย,72,35
11/04/2023,หนองคาย,100,6
11/04/2023,อุดรธานี,49,17
11/04/2023,สกลนคร,53,25
11/04/2023,นครพนม,80,8
11/04/2023,หนองบัวลำภู,51,7
11/04/2023,บึงกาฬ,52,1
12/04/2023,เลย,77,32
12/04/2023,หนองคาย,107,1
12/04/2023,อุดรธานี,59,7
12/04/2023,สกลนคร,44,5
12/04/2023,นครพนม,73,2
12/04/2023,หนองบัวลำภู,55,0
12/04/2023,บึงกาฬ,72,1
13/04/2023,เลย,94,47
13/04/2023,หนองคาย,120,3
13/04/2023,อุดรธานี,64,9
13/04/2023,สกลนคร,49,12
13/04/2023,นครพนม,57,3
13/04/2023,หนองบัวลำภู,62,4
13/04/2023,บึงกาฬ,72,2
14/04/2023,เลย,78,12
14/04/2023,หนองคาย,91,3
14/04/2023,อุดรธานี,59,3
14/04/2023,สกลนคร,39,4
14/04/2023,นครพนม,54,0
14/04/2023,หนองบัวลำภู,60,0
14/04/2023,บึงกาฬ,47,0
15/04/2023,เลย,77,8
15/04/2023,หนองคาย,93,5
15/04/2023,อุดรธานี,61,13
15/04/2023,สกลนคร,45,6
15/04/2023,นครพนม,58,4
15/04/2023,หนองบัวลำภู,64,2
15/04/2023,บึงกาฬ,48,2
16/04/2023,เลย,61,10
16/04/2023,หนองคาย,75,2
16/04/2023,อุดรธานี,54,3
16/04/2023,สกลนคร,35,0
16/04/2023,นครพนม,29,3
16/04/2023,หนองบัวลำภู,59,0
16/04/2023,บึงกาฬ,50,0
17/04/2023,เลย,54,9
17/04/2023,หนองคาย,53,12
17/04/2023,อุดรธานี,40,2
17/04/2023,สกลนคร,36,7
17/04/2023,นครพนม,39,4
17/04/2023,หนองบัวลำภู,43,2
17/04/2023,บึงกาฬ,25,8
18/04/2023,เลย,62,12
18/04/2023,หนองคาย,63,23
18/04/2023,อุดรธานี,45,21
18/04/2023,สกลนคร,38,23
18/04/2023,นครพนม,48,2
18/04/2023,หนองบัวลำภู,52,9
18/04/2023,บึงกาฬ,57,7
19/04/2023,เลย,59,18
19/04/2023,หนองคาย,84,5
19/04/2023,อุดรธานี,63,27
19/04/2023,สกลนคร,47,25
19/04/2023,นครพนม,52,10
