date,provice,pm25,hotspot
1/3/2024,เลย,64.6,5
1/3/2024,หนองคาย,50.2,1
1/3/2024,อุดรธานี,43,9
1/3/2024,สกลนคร,21.2,7
1/3/2024,นครพนม,21.5,8
1/3/2024,หนองบัวลำภู,43,2
1/3/2024,บึงกาฬ,28.2,2
2/3/2024,เลย,42.7,1
2/3/2024,หนองคาย,28.6,1
2/3/2024,อุดรธานี,16.3,10
2/3/2024,สกลนคร,9.1,1
2/3/2024,นครพนม,11,12
2/3/2024,หนองบัวลำภู,19.1,3
2/3/2024,บึงกาฬ,18.7,2
3/3/2024,เลย,47.9,31
3/3/2024,หนองคาย,32.1,0
3/3/2024,อุดรธานี,20.8,23
3/3/2024,สกลนคร,11.7,27
3/3/2024,นครพนม,21.3,8
3/3/2024,หนองบัวลำภู,22.5,4
3/3/2024,บึงกาฬ,19.4,1
4/3/2024,เลย,76.6,6
4/3/2024,หนองคาย,54.5,2
4/3/2024,อุดรธานี,39.5,5
4/3/2024,สกลนคร,38.7,10
4/3/2024,นครพนม,70.3,4
4/3/2024,หนองบัวลำภู,39.1,4
4/3/2024,บึงกาฬ,33.8,2
5/3/2024,เลย,56.2,53
5/3/2024,หนองคาย,58.7,3
5/3/2024,อุดรธานี,54.3,13
5/3/2024,สกลนคร,53.9,27
5/3/2024,นครพนม,86.7,36
5/3/2024,หนองบัวลำภู,37.4,14
5/3/2024,บึงกาฬ,39.7,1
6/3/2024,เลย,103,37
6/3/2024,หนองคาย,80.6,4
6/3/2024,อุดรธานี,66.7,15
6/3/2024,สกลนคร,58.8,39
6/3/2024,นครพนม,102.6,52
6/3/2024,หนองบัวลำภู,54.2,30
6/3/2024,บึงกาฬ,54.5,5
7/3/2024,เลย,136,78
7/3/2024,หนองคาย,92.9,5
7/3/2024,อุดรธานี,78.3,38
7/3/2024,สกลนคร,71.9,50
7/3/2024,นครพนม,119.1,32
7/3/2024,หนองบัวลำภู,63.1,20
7/3/2024,บึงกาฬ,79.4,1
8/3/2024,เลย,117.6,48
8/3/2024,หนองคาย,56.9,4
8/3/2024,อุดรธานี,64,22
8/3/2024,สกลนคร,42.4,22
8/3/2024,นครพนม,40.3,10
8/3/2024,หนองบัวลำภู,64.6,17
8/3/2024,บึงกาฬ,54.9,6
9/3/2024,เลย,90.7,11
9/3/2024,หนองคาย,39.6,1
9/3/2024,อุดรธานี,31.6,1
9/3/2024,สกลนคร,23.7,2
9/3/2024,นครพนม,26.3,0
9/3/2024,หนองบัวลำภู,42.6,2
9/3/2024,บึงกาฬ,33.6,0
10/3/2024,เลย,59.1,0
10/3/2024,หนองคาย,48.4,1
10/3/2024,อุดรธานี,44,1
10/3/2024,สกลนคร,29.6,0
10/3/2024,นครพนม,36.9,0
10/3/2024,หนองบัวลำภู,42.2,1
10/3/2024,บึงกาฬ,44,1
11/3/2024,เลย,70.8,2
11/3/2024,หนองคาย,45,2
11/3/2024,อุดรธานี,46.3,1
11/3/2024,สกลนคร,30.6,0
11/3/2024,นครพนม,52.8,1
11/3/2024,หนองบัวลำภู,47.7,4
11/3/2024,บึงกาฬ,38,0
12/3/2024,เลย,63.1,0
12/3/2024,หนองคาย,38.1,0
12/3/2024,อุดรธานี,37.5,4
12/3/2024,สกลนคร,17.7,8
12/3/2024,นครพนม,31.7,10
12/3/2024,หนองบัวลำภู,41.5,6
12/3/2024,บึงกาฬ,24.5,1
13/3/2024,เลย,72.2,6
13/3/2024,หนองคาย,35.5,1
13/3/2024,อุดรธานี,39.7,6
13/3/2024,สกลนคร,33.8,9
13/3/2024,นครพนม,69.3,8
13/3/2024,หนองบัวลำภู,40.8,3
13/3/2024,บึงกาฬ,35.5,3
14/3/2024,เลย,55.4,11
14/3/2024,หนองคาย,42.9,3
14/3/2024,อุดรธานี,56.4,5
14/3/2024,สกลนคร,55.2,5
