year,particular,value,unit,source
2562,มูลค่า GAP โคเนื้อ,828.59,ล้านบาท,กรมปศุสัตว์
2562,มูลค่า GAP โคนม,5657.08,ล้านบาท,กรมปศุสัตว์
2562,มูลค่า GAP สุกร,125948.1,ล้านบาท,กรมปศุสัตว์
2562,มูลค่า GAP ไก่เนื้อ,189824.39,ล้านบาท,กรมปศุสัตว์
2562,มูลค่า GAP ไก่ไข่,38832.58,ล้านบาท,กรมปศุสัตว์
2562,มูลค่า ปศุสัตว์อินทรีย์ โคนม,45.05,ล้านบาท,กรมปศุสัตว์
2562,มูลค่า ปศุสัตว์อินทรีย์ ไก่เนื้อ,0.78,ล้านบาท,กรมปศุสัตว์
2562,มูลค่า ปศุสัตว์อินทรีย์ ไก่ไข่,75.66,ล้านบาท,กรมปศุสัตว์
2563,มูลค่า GAP โคเนื้อ,859.06,ล้านบาท,กรมปศุสัตว์
2563,มูลค่า GAP โคนม,10034.9,ล้านบาท,กรมปศุสัตว์
2563,มูลค่า GAP สุกร,157031.9,ล้านบาท,กรมปศุสัตว์
2563,มูลค่า GAP ไก่เนื้อ,222993.52,ล้านบาท,กรมปศุสัตว์
2563,มูลค่า GAP ไก่ไข่,39980.68,ล้านบาท,กรมปศุสัตว์
2563,มูลค่า ปศุสัตว์อินทรีย์ โคนม,39.12,ล้านบาท,กรมปศุสัตว์
2563,มูลค่า ปศุสัตว์อินทรีย์ ไก่เนื้อ,0.54,ล้านบาท,กรมปศุสัตว์
2563,มูลค่า ปศุสัตว์อินทรีย์ ไก่ไข่,105.3,ล้านบาท,กรมปศุสัตว์
2564,มูลค่า GAP โคเนื้อ,1166.15,ล้านบาท,กรมปศุสัตว์
2564,มูลค่า GAP โคนม,7113.19,ล้านบาท,กรมปศุสัตว์
2564,มูลค่า GAP สุกร,168774.58,ล้านบาท,กรมปศุสัตว์
2564,มูลค่า GAP ไก่เนื้อ,227127.95,ล้านบาท,กรมปศุสัตว์
2564,มูลค่า GAP ไก่ไข่,41617.98,ล้านบาท,กรมปศุสัตว์
2564,มูลค่า ปศุสัตว์อินทรีย์ โคนม,32.99,ล้านบาท,กรมปศุสัตว์
2564,มูลค่า ปศุสัตว์อินทรีย์ ไก่เนื้อ,0.54,ล้านบาท,กรมปศุสัตว์
2564,มูลค่า ปศุสัตว์อินทรีย์ ไก่ไข่,109.53,ล้านบาท,กรมปศุสัตว์
2565,มูลค่า GAP โคเนื้อ,1205.44,ล้านบาท,กรมปศุสัตว์
2565,มูลค่า GAP โคนม,8030.05,ล้านบาท,กรมปศุสัตว์
2565,มูลค่า GAP สุกร,272657.93,ล้านบาท,กรมปศุสัตว์
2565,มูลค่า GAP ไก่เนื้อ,304601.14,ล้านบาท,กรมปศุสัตว์
2565,มูลค่า GAP ไก่ไข่,49325.82,ล้านบาท,กรมปศุสัตว์
2565,มูลค่า ปศุสัตว์อินทรีย์ โคนม,35.75,ล้านบาท,กรมปศุสัตว์
2565,มูลค่า ปศุสัตว์อินทรีย์ ไก่เนื้อ,1.22,ล้านบาท,กรมปศุสัตว์
2565,มูลค่า ปศุสัตว์อินทรีย์ ไก่ไข่,78.23,ล้านบาท,กรมปศุสัตว์
2566,มูลค่า GAP โคเนื้อ,1379.15,ล้านบาท,กรมปศุสัตว์
2566,มูลค่า GAP โคนม,9029.32,ล้านบาท,กรมปศุสัตว์
2566,มูลค่า GAP สุกร,243712.5,ล้านบาท,กรมปศุสัตว์
2566,มูลค่า GAP ไก่เนื้อ,288660.84,ล้านบาท,กรมปศุสัตว์
2566,มูลค่า GAP ไก่ไข่,53545.75,ล้านบาท,กรมปศุสัตว์
2566,มูลค่า ปศุสัตว์อินทรีย์ โคนม,42.51,ล้านบาท,กรมปศุสัตว์
2566,มูลค่า ปศุสัตว์อินทรีย์ ไก่เนื้อ,2.05,ล้านบาท,กรมปศุสัตว์
2566,มูลค่า ปศุสัตว์อินทรีย์ ไก่ไข่,85.98,ล้านบาท,กรมปศุสัตว์
2567,มูลค่า GAP โคเนื้อ,1230.25,ล้านบาท,กรมปศุสัตว์
2567,มูลค่า GAP โคนม,10652.43,ล้านบาท,กรมปศุสัตว์
2567,มูลค่า GAP สุกร,213139.28,ล้านบาท,กรมปศุสัตว์
2567,มูลค่า GAP ไก่เนื้อ,303874.91,ล้านบาท,กรมปศุสัตว์
2567,มูลค่า GAP ไก่ไข่,57444.68,ล้านบาท,กรมปศุสัตว์
2567,มูลค่า ปศุสัตว์อินทรีย์ โคนม,56.25,ล้านบาท,กรมปศุสัตว์
2567,มูลค่า ปศุสัตว์อินทรีย์ ไก่เนื้อ,1.11,ล้านบาท,กรมปศุสัตว์
2567,มูลค่า ปศุสัตว์อินทรีย์ ไก่ไข่,125.67,ล้านบาท,กรมปศุสัตว์
2568,มูลค่า GAP โคเนื้อ,1230.19,ล้านบาท,กรมปศุสัตว์
2568,มูลค่า GAP โคนม,10652.44,ล้านบาท,กรมปศุสัตว์
2568,มูลค่า GAP สุกร,234453.14,ล้านบาท,กรมปศุสัตว์
2568,มูลค่า GAP ไก่เนื้อ,303876.38,ล้านบาท,กรมปศุสัตว์
2568,มูลค่า GAP ไก่ไข่,57479.61,ล้านบาท,กรมปศุสัตว์
2568,มูลค่า ปศุสัตว์อินทรีย์ โคนม,56.25,ล้านบาท,กรมปศุสัตว์
2568,มูลค่า ปศุสัตว์อินทรีย์ ไก่เนื้อ,1.11,ล้านบาท,กรมปศุสัตว์
2568,มูลค่า ปศุสัตว์อินทรีย์ ไก่ไข่,125.67,ล้านบาท,กรมปศุสัตว์
