year,particular,value,unit,source
2562,มูลค่าไก่เนื้อ,153219.75,ล้านบาท,กรมปศุสัตว์
2562,มูลค่าสุกร,158295.2,ล้านบาท,กรมปศุสัตว์
2562,มูลค่าไข่ไก่,40718.98,ล้านบาท,กรมปศุสัตว์
2562,มูลค่าโคเนื้อ,32662.55,ล้านบาท,กรมปศุสัตว์
2562,มูลค่าน้ำนมโคดิบ,23030.21,ล้านบาท,กรมปศุสัตว์
2563,มูลค่าไก่เนื้อ,142465.42,ล้านบาท,กรมปศุสัตว์
2563,มูลค่าสุกร,166460.99,ล้านบาท,กรมปศุสัตว์
2563,มูลค่าไข่ไก่,40529.57,ล้านบาท,กรมปศุสัตว์
2563,มูลค่าโคเนื้อ,35088.7,ล้านบาท,กรมปศุสัตว์
2563,มูลค่าน้ำนมโคดิบ,22949.98,ล้านบาท,กรมปศุสัตว์
2564,มูลค่าไก่เนื้อ,140096.44,ล้านบาท,กรมปศุสัตว์
2564,มูลค่าสุกร,150008.46,ล้านบาท,กรมปศุสัตว์
2564,มูลค่าไข่ไก่,42682.78,ล้านบาท,กรมปศุสัตว์
2564,มูลค่าโคเนื้อ,23072.21,ล้านบาท,กรมปศุสัตว์
2564,มูลค่าน้ำนมโคดิบ,22430.59,ล้านบาท,กรมปศุสัตว์
2565,มูลค่าไก่เนื้อ,213387.61,ล้านบาท,กรมปศุสัตว์
2565,มูลค่าสุกร,155980.47,ล้านบาท,กรมปศุสัตว์
2565,มูลค่าไข่ไก่,51748.29,ล้านบาท,กรมปศุสัตว์
2565,มูลค่าโคเนื้อ,41965.66,ล้านบาท,กรมปศุสัตว์
2565,มูลค่าน้ำนมโคดิบ,21364.11,ล้านบาท,กรมปศุสัตว์
2566,มูลค่าไก่เนื้อ,203054.33,ล้านบาท,กรมปศุสัตว์
2566,มูลค่าสุกร,156081.22,ล้านบาท,กรมปศุสัตว์
2566,มูลค่าไข่ไก่,59852.16,ล้านบาท,กรมปศุสัตว์
2566,มูลค่าโคเนื้อ,36825.51,ล้านบาท,กรมปศุสัตว์
2566,มูลค่าน้ำนมโคดิบ,19964.7,ล้านบาท,กรมปศุสัตว์
2567,มูลค่าไก่เนื้อ,223843.74,ล้านบาท,กรมปศุสัตว์
2567,มูลค่าสุกร,170342.13,ล้านบาท,กรมปศุสัตว์
2567,มูลค่าไข่ไก่,59668.46,ล้านบาท,กรมปศุสัตว์
2567,มูลค่าโคเนื้อ,29974.1,ล้านบาท,กรมปศุสัตว์
2567,มูลค่าน้ำนมโคดิบ,21594.01,ล้านบาท,กรมปศุสัตว์
2568,มูลค่าไก่เนื้อ,226403.72,ล้านบาท,กรมปศุสัตว์
2568,มูลค่าสุกร,195414.15,ล้านบาท,กรมปศุสัตว์
2568,มูลค่าไข่ไก่,55920.36,ล้านบาท,กรมปศุสัตว์
2568,มูลค่าโคเนื้อ,22023.98,ล้านบาท,กรมปศุสัตว์
2568,มูลค่าน้ำนมโคดิบ,23232.22,ล้านบาท,กรมปศุสัตว์
