ปี,จังหวัด,โค,กระบือ,สุกร
2560,กรุงเทพมหานคร,13078,0,84080
2560,นนทบุรี,320,0,0
2560,ปทุมธานี,3848,40,287040
2560,พระนครศรีอยุธยา,0,0,0
2560,อ่างทอง,780,0,88630
2560,ลพบุรี,2481,0,587565
2560,สิงห์บุรี,0,0,120
2560,ชัยนาท,260,0,19847
2560,สระบุรี,3668,180,63670
2560,สมุทรปราการ,420,0,1114896
2560,ชลบุรี,223,337,259612
2560,ระยอง,2525,2280,143905
2560,จันทบุรี,750,0,67969
2560,ตราด,140,272,54083
2560,ฉะเชิงเทรา,514,0,824320
2560,ปราจีนบุรี,204,448,48943
2560,นครนายก,20,30,31026
2560,สระแก้ว,664,4,39870
2560,นครราชสีมา,15432,971,308689
2560,บุรีรัมย์,2737,1720,59983
2560,ศรีสะเกษ,9530,655,100765
2560,สุรินทร์,3678,0,33550
2560,อุบลราชธานี,64465,4125,155440
2560,ยโสธร,8116,0,57166
2560,ชัยภูมิ,5239,1,124519
2560,อำนาจเจริญ,6355,103,36873
2560,หนองบัวลำภู,3153,308,113614
2560,ขอนแก่น,18884,910,191707
2560,อุดรธานี,15505,1483,117162
2560,เลย,4015,1545,41636
2560,หนองคาย,4445,21,62078
2560,มหาสารคาม,26968,0,45393
2560,ร้อยเอ็ด,31411,0,81494
2560,กาฬสินธุ์,8898,170,39050
2560,นครพนม,5971,3700,43904
2560,มุกดาหาร,2255,347,22337
2560,สกลนคร,34218,3471,72083
2560,บึงกาฬ,3581,1695,25115
2560,เชียงใหม่,3077,2587,603603
2560,ลำพูน,1670,1439,90214
2560,ลำปาง,12184,2462,65076
2560,แพร่,729,1435,47167
2560,น่าน,1912,523,51376
2560,พะเยา,4842,1652,39978
2560,เชียงราย,2176,1625,127804
2560,แม่ฮ่องสอน,475,128,21884
2560,อุตรดิตถ์,222,392,42043
2560,นครสวรรค์,1188,262,144159
2560,อุทัยธานี,458,810,31576
2560,กำแพงเพชร,442,0,51877
2560,ตาก,2167,66,154522
2560,พิษณุโลก,836,666,51163
2560,พิจิตร,501,75,60324
2560,เพชรบูรณ์,1799,0,196607
2560,สุโขทัย,0,0,70162
2560,ราชบุรี,16960,0,377333
2560,กาญจนบุรี,19127,89,56484
2560,สุพรรณบุรี,9769,0,87496
2560,นครปฐม,4613,0,340980
2560,สมุทรสาคร,0,0,15438
2560,สมุทรสงคราม,0,0,0
2560,เพชรบุรี,5838,0,28767
2560,ประจวบคีรีขันธ์,2088,0,42580
2560,นครศรีธรรมราช,445,0,102326
2560,กระบี่,510,0,20403
2560,พังงา,647,0,17424
2560,ภูเก็ต,636,0,57794
2560,สุราษฎร์ธานี,222,1,98081
2560,ระนอง,0,0,14691
2560,ชุมพร,440,0,30600
2560,ตรัง,0,0,43593
2560,พัทลุง,1398,0,191623
2560,สงขลา,2578,0,63420
2560,สตูล,982,0,5935
2560,ปัตตานี,2359,0,8215
2560,ยะลา,4386,0,39417
2560,นราธิวาส,2276,0,15329
2561,กรุงเทพมหานคร,16916,0,61280
2561,นนทบุรี,320,0,0
2561,ปทุมธานี,3785,40,250170
2561,พระนครศรีอยุธยา,0,0,0
2561,อ่างทอง,260,260,96999
2561,ลพบุรี,2393,0,536013
2561,สิงห์บุรี,0,0,0
2561,ชัยนาท,240,0,17747
2561,สระบุรี,3668,180,63670
2561,สมุทรปราการ,460,0,1011729
2561,ชลบุรี,245,435,271652
2561,ระยอง,0,0,177770
2561,จันทบุรี,694,0,68027
2561,ตราด,80,329,51626
2561,ฉะเชิงเทรา,330,0,718691
2561,ปราจีนบุรี,204,100,49024
2561,นครนายก,0,0,31900
2561,สระแก้ว,664,4,39870
2561,นครราชสีมา,12735,872,265947
2561,บุรีรัมย์,2737,1720,59983
2561,ศรีสะเกษ,9540,687,103010
2561,สุรินทร์,7802,0,75230
2561,อุบลราชธานี,74735,0,210730
2561,ยโสธร,8608,0,59877
2561,ชัยภูมิ,5239,1,124519
2561,อำนาจเจริญ,6355,103,36873
2561,หนองบัวลำภู,2643,346,104386
2561,ขอนแก่น,13476,504,197105
2561,อุดรธานี,15505,1483,117162
2561,เลย,3756,1564,37763
2561,หนองคาย,4476,39,59322
2561,มหาสารคาม,25892,0,44703
2561,ร้อยเอ็ด,31411,0,81494
2561,กาฬสินธุ์,8275,1105,43405
2561,นครพนม,5971,3700,43904
2561,มุกดาหาร,1808,479,22296
2561,สกลนคร,34218,3471,72083
2561,บึงกาฬ,3209,1172,23193
2561,เชียงใหม่,3428,2680,560622
2561,ลำพูน,1461,1271,89518
2561,ลำปาง,12184,2462,65076
2561,แพร่,1665,2706,58813
2561,น่าน,1657,638,56069
2561,พะเยา,4377,3139,36593
2561,เชียงราย,2426,3478,215034
2561,แม่ฮ่องสอน,470,126,21650
2561,อุตรดิตถ์,424,288,39469
2561,นครสวรรค์,1177,205,252316
2561,อุทัยธานี,485,791,26425
2561,กำแพงเพชร,713,2898,48660
2561,ตาก,1537,49,166875
2561,พิษณุโลก,681,1036,50212
2561,พิจิตร,453,49,59943
2561,เพชรบูรณ์,1829,0,187030
2561,สุโขทัย,719,558,77173
2561,ราชบุรี,17007,0,377693
2561,กาญจนบุรี,19029,101,69145
2561,สุพรรณบุรี,9769,0,87496
2561,นครปฐม,4642,0,327430
2561,สมุทรสาคร,0,0,15438
2561,สมุทรสงคราม,0,0,0
2561,เพชรบุรี,5838,0,28767
2561,ประจวบคีรีขันธ์,1349,450,41065
2561,นครศรีธรรมราช,497,0,101431
2561,กระบี่,510,0,20403
2561,พังงา,1025,0,19362
2561,ภูเก็ต,636,0,57794
2561,สุราษฎร์ธานี,222,1,98081
2561,ระนอง,0,862,10727
2561,ชุมพร,425,0,26714
2561,ตรัง,0,0,43796
2561,พัทลุง,1328,0,213714
2561,สงขลา,2578,0,63420
2561,สตูล,1321,0,6241
2561,ปัตตานี,2319,0,8326
2561,ยะลา,4507,0,38888
2561,นราธิวาส,2092,0,15562
2562,กรุงเทพมหานคร,14695,0,62336
2562,นนทบุรี,3840,0,0
2562,ปทุมธานี,3442,0,201000
2562,พระนครศรีอยุธยา,0,0,0
2562,อ่างทอง,654,0,95768
2562,ลพบุรี,3692,0,418486
2562,สิงห์บุรี,0,0,960
2562,ชัยนาท,127,0,17010
2562,สระบุรี,2384,48,208301
2562,สมุทรปราการ,480,0,504252
2562,ชลบุรี,0,180,182546
2562,ระยอง,1079,0,215675
2562,จันทบุรี,585,0,68643
2562,ตราด,0,0,46061
2562,ฉะเชิงเทรา,1400,0,573766
2562,ปราจีนบุรี,204,33,22619
2562,นครนายก,0,0,32210
2562,สระแก้ว,180,0,1260
2562,นครราชสีมา,16607,1939,310953
2562,บุรีรัมย์,2737,1720,59983
2562,ศรีสะเกษ,5392,210,77659
2562,สุรินทร์,27942,0,271628
2562,อุบลราชธานี,110414,0,254790
2562,ยโสธร,10588,0,74459
2562,ชัยภูมิ,4653,5,120426
2562,อำนาจเจริญ,4850,12,22039
2562,หนองบัวลำภู,3159,411,115837
2562,ขอนแก่น,6093,0,204399
2562,อุดรธานี,21469,1637,100626
2562,เลย,3752,1519,40242
2562,หนองคาย,5908,0,47694
2562,มหาสารคาม,12608,32,33269
2562,ร้อยเอ็ด,37648,0,86453
2562,กาฬสินธุ์,8378,960,44946
2562,นครพนม,7895,7294,50668
2562,มุกดาหาร,6688,790,23281
2562,สกลนคร,33307,3528,76157
2562,บึงกาฬ,3117,1357,19798
2562,เชียงใหม่,3372,3252,699919
2562,ลำพูน,99,82,89089
2562,ลำปาง,9653,819,64978
2562,แพร่,2055,3249,65075
2562,น่าน,1538,948,60949
2562,พะเยา,4473,2310,38301
2562,เชียงราย,4307,5045,242250
2562,แม่ฮ่องสอน,418,154,19735
2562,อุตรดิตถ์,1097,314,52850
2562,นครสวรรค์,1186,193,125788
2562,อุทัยธานี,314,505,17900
2562,กำแพงเพชร,1102,144,65820
2562,ตาก,2402,54,167564
2562,พิษณุโลก,51,1382,67964
2562,พิจิตร,519,65,55732
2562,เพชรบูรณ์,2069,287,205276
2562,สุโขทัย,0,0,84714
2562,ราชบุรี,17146,0,378712
2562,กาญจนบุรี,14824,2025,94824
2562,สุพรรณบุรี,2995,0,60413
2562,นครปฐม,8182,0,439143
2562,สมุทรสาคร,0,0,0
2562,สมุทรสงคราม,0,0,0
2562,เพชรบุรี,4733,0,28301
2562,ประจวบคีรีขันธ์,994,0,59715
2562,นครศรีธรรมราช,520,0,114887
2562,กระบี่,624,0,37092
2562,พังงา,1409,0,21909
2562,ภูเก็ต,0,0,19695
2562,สุราษฎร์ธานี,369,0,81728
2562,ระนอง,0,0,0
2562,ชุมพร,300,0,29444
2562,ตรัง,5,0,43854
2562,พัทลุง,1492,0,249315
2562,สงขลา,0,0,15
2562,สตูล,1231,0,10258
2562,ปัตตานี,2779,0,6683
2562,ยะลา,4166,0,37583
2562,นราธิวาส,2125,0,15340
2563,กรุงเทพมหานคร,1820,0,3640
2563,นนทบุรี,3034,0,324
2563,ปทุมธานี,10690,0,238406
2563,พระนครศรีอยุธยา,0,0,0
2563,อ่างทอง,477,114,93735
2563,ลพบุรี,4439,0,555179
2563,สิงห์บุรี,0,0,825
2563,ชัยนาท,132,0,17610
2563,สระบุรี,2540,32,308822
2563,สมุทรปราการ,0,0,0
2563,ชลบุรี,166,0,12028
2563,ระยอง,1818,0,185459
2563,จันทบุรี,703,4,83571
2563,ตราด,0,0,44934
2563,ฉะเชิงเทรา,2062,0,587843
2563,ปราจีนบุรี,222,39,25637
2563,นครนายก,0,0,31625
2563,สระแก้ว,1760,272,82892
2563,นครราชสีมา,18376,2198,214367
2563,บุรีรัมย์,2737,1720,59983
2563,ศรีสะเกษ,4843,175,69514
2563,สุรินทร์,20903,0,202688
2563,อุบลราชธานี,98886,0,244150
2563,ยโสธร,11785,0,73902
2563,ชัยภูมิ,4142,22,84688
2563,อำนาจเจริญ,4361,83,12100
2563,หนองบัวลำภู,3142,976,120000
2563,ขอนแก่น,0,0,0
2563,อุดรธานี,13991,1110,67479
2563,เลย,4183,1669,42749
2563,หนองคาย,5908,0,47694
2563,มหาสารคาม,4440,48,23400
2563,ร้อยเอ็ด,38396,0,88876
2563,กาฬสินธุ์,8495,960,42761
2563,นครพนม,7895,7294,50668
2563,มุกดาหาร,5745,1108,22014
2563,สกลนคร,33307,3623,74701
2563,บึงกาฬ,3601,1247,24343
2563,เชียงใหม่,7185,4789,387368
2563,ลำพูน,0,0,80733
2563,ลำปาง,8853,1318,59022
2563,แพร่,1685,3997,68491
