จังหวัด,เกษตรกรผู้เลี้ยงสัตว์ทั้งหมด(ครัวเรือน),โคพื้นเมืองเพศผู้(ตัว),โคพื้นเมืองเพศเมีย แรกเกิดถึงโคสาว(ตัว),โคพื้นเมืองเพศเมีย ตั้งท้องแรกขึ้นไป(ตัว),รวมโคพื้นเมือง(ตัว),เกษตรกรผู้เลี้ยงโคพื้นเมือง(ครัวเรือน),โคพันธุ์และโคลูกผสมเพศผู้(ตัว),โคพันธุ์และโคลูกผสมเพศเมีย แรกเกิดถึงโคสาว(ตัว),โคพันธุ์และโคลูกผสมเพศเมีย ตั้งท้องแรกขึ้นไป(ตัว),รวมโคพันธุ์และโคลูกผสม(ตัว),เกษตรกรผู้เลี้ยงโคพันธุ์และโคลูกผสม(ครัวเรือน),โคขุน(ตัว),เกษตรกรผู้เลี้ยงโคขุน(ครัวเรือน),โคเนื้อทั้งหมด(ตัว),เกษตรกรผู้เลี้ยงโคเนื้อทั้งหมด(ครัวเรือน),โคนมเพศผู้(ตัว),โคนมเพศเมียแรกเกิดถึง 1 ปี (ตัว),โคนมเพศเมีย1 ปี ถึงตั้งท้องแรก (ตัว),โคนมเพศเมียกำลังรีดนม(ตัว),โคนมเพศเมียแห้งนม(ตัว),รวมโคนมเพศเมีย(ตัว),รวมโคนมทั้งหมด(ตัว),เกษตรกรผู้เลี้ยงโคนมทั้งหมด(ครัวเรือน),กระบือเพศผู้(ตัว),กระบือเพศเมียแรกเกิดถึงกระบือสาว(ตัว),กระบือเพศเมียตั้งท้องแรกขึ้นไป(ตัว),กระบือเพศเมียทั้งหมด(ตัว),เกษตรกรผู้เลี้ยงกระบือ(ครัวเรือน),สุกรพื้นเมือง(ตัว),เกษตรกรผู้เลี้ยงสุกรพื้นเมือง(ครัวเรือน),สุกรพ่อพันธุ์(ตัว),สุกรแม่พันธุ์(ตัว),เกษตรกรผู้เลี้ยงสุกรพันธุ์(ครัวเรือน),สุกรขุน(ตัว),ลูกสุกรขุน(ตัว),เกษตรกรผู้เลี้ยงสุกรขุน(ครัวเรือน),สุกรทั้งหมด(ตัว),เกษตรกรผู้เลี้ยงสุกรทั้งหมด(ตัว),ไก่พื้นเมือง(ตัว),เกษตรกรผู้เลี้ยงไก่พื้นเมือง(ครัวเรือน),ไก่เนื้อ(ตัว),เกษตรกรผู้เลี้ยงไก่เนื้อ(ครัวเรือน),ไก่ไข่(ตัว),เกษตรกรผู้เลี้ยงไก่ไข่(ครัวเรือน),ไก่เนื้อพันธุ์(ตัว),เกษตรกรผู้เลี้ยงไก่เนื้อพันธุ์(ครัวเรือน),ไก่ไข่พันธุ์(ตัว),เกษตรกรผู้เลี้ยงไก่ไข่พันธุ์(ครัวเรือน),ไก่ทั้งหมด(ตัว),เกษตรกรผู้เลี้ยงไก่ทั้งหมด(ครัวเรือน),เป็ดเทศ(ตัว),เกษตรกรผู้เลี้ยงเป็ดเทศ(ครัวเรือน),เป็ดเนื้อ(ตัว),เกษตรกรผู้เลี้ยงเป็ดเนื้อ(ครัวเรือน),เป็ดไข่(ตัว),เกษตรกรผู้เลี้ยงเป็ดไข่(ครัวเรือน),เป็ดเนื้อไล่ทุ่ง(ตัว),เกษตรกรผู้เลี้ยงเป็ดเนื้อไล่ทุ่ง(ครัวเรือน),เป็ดไข่ไล่ทุ่ง(ตัว),เกษตรกรผู้เลี้ยงเป็ดไข่ไล่ทุ่ง(ครัวเรือน),เป็ดทั้งหมด(ตัว),เกษตรกรผู้เลี้ยงเป็ดทั้งหมด(ครัวเรือน),แพะเนื้อเพศผู้(ตัว),แพะเนื้อเพศเมีย(ตัว),เกษตรกรผู้เลี้ยงแพะเนื้อ(ครัวเรือน),แพะนมเพศผู้(ตัว),แพะนมเพศเมีย(ตัว),เกษตรกรผู้เลี้ยงแพะนม(ครัวเรือน),แพะทั้งหมด(ตัว),เกษตรกรผู้เลี้ยงแพะทั้งหมด(ครัวเรือน),แกะเพศผู้(ตัว),แกะเพศเมีย(ตัว),แกะทั้งหมด(ตัว),เกษตรกรผู้เลี้ยงแกะทั้งหมด(ครัวเรือน),ลา(ตัว),เกษตรกรผู้เลี้ยงลา(ครัวเรือน),ล่อ(ตัว),เกษตรกรผู้เลี้ยงล่อ(ครัวเรือน),ช้าง(ตัว),เกษตรกรผู้เลี้ยงช้าง(ครัวเรือน),ม้า(ตัว),เกษตรกรผู้เลี้ยงม้า(ครัวเรือน),ห่าน(ตัว),เกษตรกรผู้เลี้ยงห่าน(ครัวเรือน),ไก่งวง(ตัว),เกษตรกรผู้เลี้ยงไก่งวง(ครัวเรือน),นกกระทาพันธุ์เนื้อ(ตัว),เกษตรกรผู้เลี้ยงนกกระทาพันธุ์เนื้อ(ครัวเรือน),นกกระทาพันธุ์ไข่(ตัว),เกษตรกรผู้เลี้ยงนกกระทาพันธุ์ไข่(ครัวเรือน),นกกระจอกเทศ(ตัว),เกษตรกรผู้เลี้ยงนกกระจอกเทศ(ครัวเรือน),นกอีมู(ตัว),เกษตรกรผู้เลี้ยงนกอีมู(ครัวเรือน),กวาง(ตัว),เกษตรกรผู้เลี้ยงกวาง(ครัวเรือน),อูฐ(ตัว),เกษตรกรผู้เลี้ยงอูฐ(ครัวเรือน),หมูป่า(ตัว),เกษตรกรผู้เลี้ยงหมูป่า(ครัวเรือน),นก/สัตว์ปีกสวยงาม(ตัว),เกษตรกรผู้เลี้ยงนก/สัตว์ปีกสวยงาม(ครัวเรือน),สัตว์ปีกอื่นๆ(ตัว),เกษตรกรผู้เลี้ยงสัตว์ปีกอื่นๆ(ครัวเรือน)
กรุงเทพมหานคร,6427,542,464,494,1500,212,565,655,657,1877,241,174,13,3551,435,7,19,14,38,28,99,106,3,83,99,72,254,35,,,15,,1,,,,15,1,99870,4923,61003,715,10338,215,147,15,360007,2,531365,5183,2237,169,7747,136,5852,55,,,12500,5,28336,293,1685,9406,338,781,4092,153,15964,397,95,189,284,24,8,2,6,2,7,2,46,11,3274,25,15,5,8,1,10,1,,,,,,,,,,,1959,164,4669,26
นนทบุรี,4103,390,663,443,1496,158,29,15,134,178,15,220,27,1894,199,,8,5,3,2,18,18,4,51,78,27,156,21,63,1,3,,1,29,,1,95,3,103653,3805,32447,30,18012,2,,,25,5,154137,3836,2435,171,30579,94,43079,27,22000,2,129506,9,227599,299,410,753,73,183,853,71,2199,135,79,107,186,13,,,,,,,19,6,43,12,24,4,,,80000,1,,,,,29,1,,,20,1,120,2,1072,214
ปทุมธานี,4807,638,2742,464,3844,81,267,429,417,1113,79,12,5,4969,160,,10,34,,,44,44,2,44,71,35,150,25,122,8,379,57,14,5718,62,41,6338,55,138851,4088,203939,84,25546,202,,,95,6,368431,4217,3157,165,10423,70,139191,371,,,68330,13,221101,545,992,1720,58,36,100,7,2848,61,35,27,62,3,,,,,,,11,3,331,36,20,1,,,269200,7,,,,,,,,,,,540,31,6,1
พระนครศรีอยุธยา,20023,1658,1215,766,3639,356,1042,1560,1622,4224,544,277,17,8140,901,10,8,33,,,41,51,4,122,123,104,349,60,511,24,11,109,14,20596,502,27,21729,54,950406,13052,652169,149,2825150,759,38701,21,5115,119,4471541,13681,7248,391,90565,867,295445,1591,3500,2,102684,45,499442,2735,614,2059,167,80,432,15,3185,178,66,104,170,13,,,,,,,89,30,15680,93,52,7,823010,34,223800,20,6,2,,,1,1,,,3,2,3083,1296,2337,1194
อ่างทอง,19841,438,898,960,2296,374,1985,4544,4688,11217,1380,1943,94,15456,1791,,3,2,24,9,38,38,2,117,218,157,492,51,432,22,173,3750,429,35383,19671,689,59409,851,446051,12835,1280854,47,461115,238,100,2,85,2,2188205,12990,29421,1090,13869,54,416120,1266,40830,8,651574,143,1151814,2194,770,1620,49,56,322,11,2768,59,24,41,65,3,,,,,,,30,11,1630,418,49,12,205505,12,1971003,47,,,,,,,,,1,1,3479,521,2043,463
ลพบุรี,40997,5311,4608,1850,11769,988,6506,11156,13926,31588,1924,563,54,43920,2858,944,9479,10652,21974,5418,47523,48467,1512,492,696,692,1880,124,6624,112,648,20233,682,215523,62578,1373,305606,1798,1178787,24853,48164609,514,402358,1403,6714763,54,42989,42,56503506,26065,26977,1483,718353,181,170752,938,7081,26,509517,196,1432680,2622,4723,13879,372,161,760,20,19523,391,308,1510,1818,46,12,6,7,4,,,16,5,577,90,84,15,,,1481700,70,,,,,3,1,,,154,12,1585,164,624,79
สิงห์บุรี,6438,171,254,289,714,141,188,791,1303,2282,373,21,4,3017,511,15,64,31,34,40,169,184,7,6,8,3,17,4,10,3,172,3738,217,39202,16764,192,59886,303,248538,5389,1819024,872,111694,489,660,80,222,32,2180138,5599,6814,463,11979,204,72544,519,8515,5,219288,89,319140,1130,796,5404,117,65,80,1,6345,118,8,65,73,3,,,,,,,1,1,5619,120,15,5,,,600000,1,,,,,,,,,,,405,52,534,66
ชัยนาท,14876,784,1720,1463,3967,125,3347,15303,11909,30559,1274,1081,97,35607,1393,,75,255,250,10,590,590,1,1204,2898,2975,7077,330,75,8,271,3857,372,29451,23451,404,57105,479,624125,12622,2321779,95,20671,226,,,240,3,2966815,12785,11651,406,11623,122,130469,702,10265,9,352000,113,516008,1198,1307,10146,134,82,220,2,11755,135,76,593,669,10,,,,,,,,,309,56,111,11,17,3,12510,4,,,,,,,,,126,8,1940,203,862,118
สระบุรี,17594,1608,1338,969,3915,287,5633,5158,5730,16521,1098,1127,218,21563,1509,1520,16230,20936,40040,10806,88012,89532,2655,2397,2984,2284,7665,433,79,6,2309,9257,27,104645,37575,133,153865,140,681476,15144,24261586,205,715715,971,840343,35,1498536,10,27997656,15629,13036,580,671927,194,167834,612,25500,5,106600,22,984897,1311,2293,6478,150,225,452,17,9448,153,356,1208,1564,16,3,1,,,,,182,13,5218,29,1035,2,,,3000,1,,,,,471,3,,,29,8,290,56,1292,20
สมุทรปราการ,13477,112,195,108,415,25,46,101,71,218,5,2,1,635,30,,,,,,,,,10,15,11,36,5,40,2,1,1,1,88,5,5,135,7,59029,1879,6000,1,448,10,,,,,65477,1885,2060,74,1216,64,951,36,,,,,4227,155,76,171,21,29,127,13,403,33,13,24,37,4,,,,,,,5,1,7012,6,5,1,,,,,,,,,4,1,,,330,5,4603,390,2447,222
ชลบุรี,16872,1125,1152,888,3165,282,1823,2652,4022,8497,736,2455,25,14117,1024,33,293,400,874,143,1710,1743,41,1626,2071,2104,5801,830,225,7,1503,50545,90,432144,114462,170,598879,209,376787,12400,22314249,263,4763534,77,1932000,14,9798,1,29396368,12715,8328,112,172772,44,136827,62,,,,,317927,206,542,2037,86,8,71,5,2658,89,212,806,1018,28,2,1,,,31,1,49,7,94,17,15,1,,,6000,1,,,,,35,2,,,,,77,16,,
ระยอง,10247,2703,1268,1271,5242,636,3588,2280,1434,7302,795,2199,70,14743,1431,,,,,,,,,308,246,147,701,77,137,13,122,11526,26,101260,34206,90,147251,114,298247,8958,3230530,198,338020,43,10000,1,,,3876797,9186,3908,226,312101,42,37104,29,,,,,353113,288,248,339,17,,,,587,17,123,59,182,2,,,,,,,,,126,20,37,4,,,50,1,7,1,,,40,1,,,40,11,4,1,,
