จังหวัด,จำนวนฟาร์มโคนม (ฟาร์ม),จำนวนโคนม (ตัว)
กรุงเทพ,1,39
กาญจนบุรี,960,20652
ขอนแก่น,529,20577
จันทบุรี,68,2621
ฉะเชิงเทรา,2,129
ชลบุรี,31,1281
ชัยภูมิ,127,5037
ชุมพร,24,692
เชียงราย,164,4833
เชียงใหม่,1064,44139
ตาก,5,22
นครปฐม,631,14749
นครราชสีมา,1123,36425
นครสวรรค์,45,1220
นนทบุรี,2,2
น่าน,1,9
บุรีรัมย์,108,4694
ประจวบคีรีขันธ์,680,17437
ปราจีนบุรี,2,7
พะเยา,15,116
พัทลุง,104,2233
พิจิตร,12,663
พิษณุโลก,4,87
เพชรบุรี,217,5529
เพชรบูรณ์,71,2175
แพร่,6,209
มหาสารคาม,38,869
ราชบุรี,1636,40290
ลพบุรี,1360,42791
ลำปาง,40,1412
ลำพูน,501,24162
เลย,29,377
ศรีสะเกษ,220,1652
สกลนคร,166,3919
สงขลา,19,1
สระแก้ว,798,26810
สระบุรี,1494,45387
สิงห์บุรี,6,110
สุโขทัย,68,1978
สุพรรณบุรี,28,727
สุรินทร์,32,670
หนองบัวลำภู,17,322
อุดรธานี,84,2223
อุตรดิตถ์,2,35
อุทัยธานี,4,59
อุบลราชธานี,1,69
