Status,Name_GroupFarmer,YearRegister,AmphurCode,ProvinceCode,AnimalSource,GroupSource,RegisterCritiria,RegisterNumber,LivestockSource,CountMale,CountFemale,Total,TotalMember,GroupSource,NumberAddress,Moo,Tumbom,Amphur,Province,NameGroupPresident,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
สำรวจ,กลุ่มผู้บำรุงพันธุ์ไก่พื้นเมือง (ไก่ชน) ฉิมพลี,54,1,10,33,1,1,54 - 1 - 10 - 33 - 1 - 0001,ไก่พื้นเมือง,,,0,,กลุ่มทั่วไป,36/1,2,ฉิมพลี,ตลิ่งชัน,กรุงเทพมหานคร,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
สำรวจ,กลุ่มเกษตรกรผู้เลี้ยงแพะสวนหลวง,54,1,10,22,1,2,54 - 1 - 10 - 22 - 1 - 0002,แพะเนื้อ,,,0,,กลุ่มทั่วไป,372,,สวนหลวง,สวนหลวง,กรุงเทพมหานคร,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
สำรวจ,กลุ่มเกษตรกรผู้เลี้ยงแพะทุ่งครุ,54,1,10,22,1,3,54 - 1 - 10 - 22 - 1 - 0003,แพะเนื้อ,,,0,,กลุ่มทั่วไป,28,1,ทุ่งครุ,ทุ่งครุ,กรุงเทพมหานคร,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
สำรวจ,กลุ่มเกษตรกรผู้เลี้ยงไก่พื้นเมืองราษฎร์บูรณะ,54,1,10,33,1,4,54 - 1 - 10 - 33 - 1 - 0004,ไก่พื้นเมือง,,,0,,กลุ่มทั่วไป,412/13,1,ราษฎร์บูรณะ,ราษฎร์บูรณะ,กรุงเทพมหานคร,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
สำรวจ,กลุ่มเกษตรกรเลี้ยงไก่พื้นเมืองเขตบางบอน,54,1,10,33,1,5,54 - 1 - 10 - 33 - 1 - 0005,ไก่พื้นเมือง,,,0,,กลุ่มทั่วไป,72/52,8,บางบอน,บางบอน,กรุงเทพมหานคร,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
สำรวจ,กลุ่มเกษตรกรผู้เลี้ยงไก่พื้นเมืองหนองจอก,54,1,10,33,1,6,54 - 1 - 10 - 33 - 1 - 0006,ไก่พื้นเมือง,,,0,,กลุ่มทั่วไป,3,9,หนองจอก,หนองจอก,กรุงเทพมหานคร,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
สำรวจ,กลุ่มผู้บำรุงพันธุ์ไก่พื้นเมืองไทยบ้านสวน,54,1,10,33,1,7,54 - 1 - 10 - 33 - 1 - 0007,ไก่พื้นเมือง,,,0,,กลุ่มทั่วไป,160,,ทรายกองดินใต้,คลองสามวา,กรุงเทพมหานคร,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
สำรวจ,กลุ่มผู้เลี้ยงไก่พื้นเมืองพญาเจ้าฟ้าสาขาบางเขน,54,1,10,33,1,8,54 - 1 - 10 - 33 - 1 - 0008,ไก่พื้นเมือง,,,0,,กลุ่มทั่วไป,47,1,แขวงท่าแร้ง,บางเขน,กรุงเทพมหานคร,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
สำรวจ,กลุ่มเกษตรกรผู้เลี้ยงไก่บึงพระรามเก้า,54,1,10,33,1,9,54 - 1 - 10 - 33 - 1 - 0009,ไก่พื้นเมือง,,,0,,กลุ่มทั่วไป,601/40,,บางกะปิ,ห้วยขวาง,กรุงเทพมหานคร,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
สำรวจ,กลุ่มเกษตรกรผู้เลี้ยงแพะเขตประเวศ,54,1,10,22,1,10,54 - 1 - 10 - 22 - 1 - 0010,แพะเนื้อ,,,0,,กลุ่มทั่วไป,14,,ประเวศ,ประเวศ,กรุงเทพมหานคร,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
สำรวจ,กลุ่มเกษตรกรผู้เลี้ยงแพะ เขตสะพานสูง,54,1,10,22,1,11,54 - 1 - 10 - 22 - 1 - 0011,แพะเนื้อ,,,0,,กลุ่มทั่วไป,57/2,15,สะพานสูง,สะพานสูง,กรุงเทพมหานคร,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
สำรวจ,กลุ่มเกษตรกรผู้เลี้ยงแพะหัวหมาก,54,1,10,22,1,12,54 - 1 - 10 - 22 - 1 - 0012,แพะเนื้อ,,,0,,กลุ่มทั่วไป,33,,หัวหมาก,บางกะปิ,กรุงเทพมหานคร,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
สำรวจ,กลุ่มเกษตรกรชมรม โกท สยาม อาเซียน,55,1,10,39,1,3747,55 - 1 - 10 - 39 - 1 - 3747,อื่นๆ,,,0,,กลุ่มทั่วไป,18/21,7,หนองจอก,หนองจอก,กรุงเทพมหานคร,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
