year,particular,region,livestock_area,province,value,unit,source
2564,จำนวนไก่,ภาคกลาง,ปศุสัตว์เขต 1,กรุงเทพมหานคร,149432,ตัว,กรมปศุสัตว์
2564,จำนวนไก่,ภาคกลาง,ปศุสัตว์เขต 1,ชัยนาท,6909252,ตัว,กรมปศุสัตว์
2564,จำนวนไก่,ภาคกลาง,ปศุสัตว์เขต 1,นนทบุรี,134864,ตัว,กรมปศุสัตว์
2564,จำนวนไก่,ภาคกลาง,ปศุสัตว์เขต 1,ปทุมธานี,565341,ตัว,กรมปศุสัตว์
2564,จำนวนไก่,ภาคกลาง,ปศุสัตว์เขต 1,พระนครศรีอยุธยา,6870814,ตัว,กรมปศุสัตว์
2564,จำนวนไก่,ภาคกลาง,ปศุสัตว์เขต 1,ลพบุรี,64556557,ตัว,กรมปศุสัตว์
2564,จำนวนไก่,ภาคกลาง,ปศุสัตว์เขต 1,สระบุรี,20418645,ตัว,กรมปศุสัตว์
2564,จำนวนไก่,ภาคกลาง,ปศุสัตว์เขต 1,สิงห์บุรี,2069325,ตัว,กรมปศุสัตว์
2564,จำนวนไก่,ภาคกลาง,ปศุสัตว์เขต 1,อ่างทอง,3078054,ตัว,กรมปศุสัตว์
2564,จำนวนไก่,ภาคกลาง,ปศุสัตว์เขต 2,จันทบุรี,4293296,ตัว,กรมปศุสัตว์
2564,จำนวนไก่,ภาคกลาง,ปศุสัตว์เขต 2,ฉะเชิงเทรา,12699763,ตัว,กรมปศุสัตว์
2564,จำนวนไก่,ภาคกลาง,ปศุสัตว์เขต 2,ชลบุรี,31919884,ตัว,กรมปศุสัตว์
2564,จำนวนไก่,ภาคกลาง,ปศุสัตว์เขต 2,ตราด,618819,ตัว,กรมปศุสัตว์
2564,จำนวนไก่,ภาคกลาง,ปศุสัตว์เขต 2,นครนายก,7173514,ตัว,กรมปศุสัตว์
2564,จำนวนไก่,ภาคกลาง,ปศุสัตว์เขต 2,ปราจีนบุรี,23287025,ตัว,กรมปศุสัตว์
2564,จำนวนไก่,ภาคกลาง,ปศุสัตว์เขต 2,ระยอง,4821559,ตัว,กรมปศุสัตว์
2564,จำนวนไก่,ภาคกลาง,ปศุสัตว์เขต 2,สมุทรปราการ,51909,ตัว,กรมปศุสัตว์
2564,จำนวนไก่,ภาคกลาง,ปศุสัตว์เขต 2,สระแก้ว,2425507,ตัว,กรมปศุสัตว์
2564,จำนวนไก่,ภาคกลาง,ปศุสัตว์เขต 7,กาญจนบุรี,34813964,ตัว,กรมปศุสัตว์
2564,จำนวนไก่,ภาคกลาง,ปศุสัตว์เขต 7,นครปฐม,7441566,ตัว,กรมปศุสัตว์
2564,จำนวนไก่,ภาคกลาง,ปศุสัตว์เขต 7,ประจวบคีรีขันธ์,2016859,ตัว,กรมปศุสัตว์
2564,จำนวนไก่,ภาคกลาง,ปศุสัตว์เขต 7,เพชรบุรี,2215713,ตัว,กรมปศุสัตว์
2564,จำนวนไก่,ภาคกลาง,ปศุสัตว์เขต 7,ราชบุรี,12374939,ตัว,กรมปศุสัตว์
2564,จำนวนไก่,ภาคกลาง,ปศุสัตว์เขต 7,สมุทรสงคราม,85149,ตัว,กรมปศุสัตว์
2564,จำนวนไก่,ภาคกลาง,ปศุสัตว์เขต 7,สมุทรสาคร,160491,ตัว,กรมปศุสัตว์
2564,จำนวนไก่,ภาคกลาง,ปศุสัตว์เขต 7,สุพรรณบุรี,15956568,ตัว,กรมปศุสัตว์
2564,จำนวนไก่,ภาคตะวันออกเฉียงเหนือ,ปศุสัตว์เขต 3,ชัยภูมิ,8904878,ตัว,กรมปศุสัตว์
2564,จำนวนไก่,ภาคตะวันออกเฉียงเหนือ,ปศุสัตว์เขต 3,นครราชสีมา,33087239,ตัว,กรมปศุสัตว์
2564,จำนวนไก่,ภาคตะวันออกเฉียงเหนือ,ปศุสัตว์เขต 3,บุรีรัมย์,11461629,ตัว,กรมปศุสัตว์
2564,จำนวนไก่,ภาคตะวันออกเฉียงเหนือ,ปศุสัตว์เขต 3,ยโสธร,1968171,ตัว,กรมปศุสัตว์
2564,จำนวนไก่,ภาคตะวันออกเฉียงเหนือ,ปศุสัตว์เขต 3,ศรีสะเกษ,4397585,ตัว,กรมปศุสัตว์
2564,จำนวนไก่,ภาคตะวันออกเฉียงเหนือ,ปศุสัตว์เขต 3,สุรินทร์,5032275,ตัว,กรมปศุสัตว์
2564,จำนวนไก่,ภาคตะวันออกเฉียงเหนือ,ปศุสัตว์เขต 3,อำนาจเจริญ,1595080,ตัว,กรมปศุสัตว์
2564,จำนวนไก่,ภาคตะวันออกเฉียงเหนือ,ปศุสัตว์เขต 3,อุบลราชธานี,7325547,ตัว,กรมปศุสัตว์
2564,จำนวนไก่,ภาคตะวันออกเฉียงเหนือ,ปศุสัตว์เขต 4,กาฬสินธุ์,3192640,ตัว,กรมปศุสัตว์
2564,จำนวนไก่,ภาคตะวันออกเฉียงเหนือ,ปศุสัตว์เขต 4,ขอนแก่น,6899481,ตัว,กรมปศุสัตว์
2564,จำนวนไก่,ภาคตะวันออกเฉียงเหนือ,ปศุสัตว์เขต 4,นครพนม,2125040,ตัว,กรมปศุสัตว์
2564,จำนวนไก่,ภาคตะวันออกเฉียงเหนือ,ปศุสัตว์เขต 4,บึงกาฬ,1341714,ตัว,กรมปศุสัตว์
2564,จำนวนไก่,ภาคตะวันออกเฉียงเหนือ,ปศุสัตว์เขต 4,มหาสารคาม,3976132,ตัว,กรมปศุสัตว์
2564,จำนวนไก่,ภาคตะวันออกเฉียงเหนือ,ปศุสัตว์เขต 4,มุกดาหาร,1008471,ตัว,กรมปศุสัตว์
2564,จำนวนไก่,ภาคตะวันออกเฉียงเหนือ,ปศุสัตว์เขต 4,ร้อยเอ็ด,4314503,ตัว,กรมปศุสัตว์
2564,จำนวนไก่,ภาคตะวันออกเฉียงเหนือ,ปศุสัตว์เขต 4,เลย,1599350,ตัว,กรมปศุสัตว์
2564,จำนวนไก่,ภาคตะวันออกเฉียงเหนือ,ปศุสัตว์เขต 4,สกลนคร,3027440,ตัว,กรมปศุสัตว์
2564,จำนวนไก่,ภาคตะวันออกเฉียงเหนือ,ปศุสัตว์เขต 4,หนองคาย,1940793,ตัว,กรมปศุสัตว์
2564,จำนวนไก่,ภาคตะวันออกเฉียงเหนือ,ปศุสัตว์เขต 4,หนองบัวลำภู,1761709,ตัว,กรมปศุสัตว์
2564,จำนวนไก่,ภาคตะวันออกเฉียงเหนือ,ปศุสัตว์เขต 4,อุดรธานี,4581770,ตัว,กรมปศุสัตว์
2564,จำนวนไก่,ภาคเหนือ,ปศุสัตว์เขต 5,เชียงราย,5491011,ตัว,กรมปศุสัตว์
2564,จำนวนไก่,ภาคเหนือ,ปศุสัตว์เขต 5,เชียงใหม่,7467425,ตัว,กรมปศุสัตว์
2564,จำนวนไก่,ภาคเหนือ,ปศุสัตว์เขต 5,น่าน,2263801,ตัว,กรมปศุสัตว์
2564,จำนวนไก่,ภาคเหนือ,ปศุสัตว์เขต 5,พะเยา,2328001,ตัว,กรมปศุสัตว์
2564,จำนวนไก่,ภาคเหนือ,ปศุสัตว์เขต 5,แพร่,1542329,ตัว,กรมปศุสัตว์
2564,จำนวนไก่,ภาคเหนือ,ปศุสัตว์เขต 5,แม่ฮ่องสอน,836104,ตัว,กรมปศุสัตว์
2564,จำนวนไก่,ภาคเหนือ,ปศุสัตว์เขต 5,ลำปาง,4523862,ตัว,กรมปศุสัตว์
2564,จำนวนไก่,ภาคเหนือ,ปศุสัตว์เขต 5,ลำพูน,4363466,ตัว,กรมปศุสัตว์
2564,จำนวนไก่,ภาคเหนือ,ปศุสัตว์เขต 6,กำแพงเพชร,3236377,ตัว,กรมปศุสัตว์
2564,จำนวนไก่,ภาคเหนือ,ปศุสัตว์เขต 6,ตาก,1402831,ตัว,กรมปศุสัตว์
2564,จำนวนไก่,ภาคเหนือ,ปศุสัตว์เขต 6,นครสวรรค์,9981662,ตัว,กรมปศุสัตว์
2564,จำนวนไก่,ภาคเหนือ,ปศุสัตว์เขต 6,พิจิตร,4266626,ตัว,กรมปศุสัตว์
2564,จำนวนไก่,ภาคเหนือ,ปศุสัตว์เขต 6,พิษณุโลก,3677818,ตัว,กรมปศุสัตว์
2564,จำนวนไก่,ภาคเหนือ,ปศุสัตว์เขต 6,เพชรบูรณ์,8868729,ตัว,กรมปศุสัตว์
2564,จำนวนไก่,ภาคเหนือ,ปศุสัตว์เขต 6,สุโขทัย,1424472,ตัว,กรมปศุสัตว์
2564,จำนวนไก่,ภาคเหนือ,ปศุสัตว์เขต 6,อุตรดิตถ์,4214560,ตัว,กรมปศุสัตว์
2564,จำนวนไก่,ภาคเหนือ,ปศุสัตว์เขต 6,อุทัยธานี,2589415,ตัว,กรมปศุสัตว์
2564,จำนวนไก่,ภาคใต้,ปศุสัตว์เขต 8,กระบี่,2443329,ตัว,กรมปศุสัตว์
2564,จำนวนไก่,ภาคใต้,ปศุสัตว์เขต 8,ชุมพร,1955833,ตัว,กรมปศุสัตว์
2564,จำนวนไก่,ภาคใต้,ปศุสัตว์เขต 8,ตรัง,2534160,ตัว,กรมปศุสัตว์
2564,จำนวนไก่,ภาคใต้,ปศุสัตว์เขต 8,นครศรีธรรมราช,6724411,ตัว,กรมปศุสัตว์
2564,จำนวนไก่,ภาคใต้,ปศุสัตว์เขต 8,พังงา,1655434,ตัว,กรมปศุสัตว์
2564,จำนวนไก่,ภาคใต้,ปศุสัตว์เขต 8,พัทลุง,9796902,ตัว,กรมปศุสัตว์
2564,จำนวนไก่,ภาคใต้,ปศุสัตว์เขต 8,ภูเก็ต,273076,ตัว,กรมปศุสัตว์
2564,จำนวนไก่,ภาคใต้,ปศุสัตว์เขต 8,ระนอง,443123,ตัว,กรมปศุสัตว์
2564,จำนวนไก่,ภาคใต้,ปศุสัตว์เขต 8,สุราษฎร์ธานี,4401271,ตัว,กรมปศุสัตว์
2564,จำนวนไก่,ภาคใต้,ปศุสัตว์เขต 9,นราธิวาส,1111024,ตัว,กรมปศุสัตว์
2564,จำนวนไก่,ภาคใต้,ปศุสัตว์เขต 9,ปัตตานี,1050927,ตัว,กรมปศุสัตว์
2564,จำนวนไก่,ภาคใต้,ปศุสัตว์เขต 9,ยะลา,966342,ตัว,กรมปศุสัตว์
2564,จำนวนไก่,ภาคใต้,ปศุสัตว์เขต 9,สงขลา,5186007,ตัว,กรมปศุสัตว์
2564,จำนวนไก่,ภาคใต้,ปศุสัตว์เขต 9,สตูล,2024305,ตัว,กรมปศุสัตว์
2565,จำนวนไก่,ภาคกลาง,ปศุสัตว์เขต 1,กรุงเทพมหานคร,149091,ตัว,กรมปศุสัตว์
2565,จำนวนไก่,ภาคกลาง,ปศุสัตว์เขต 1,ชัยนาท,7027900,ตัว,กรมปศุสัตว์
