year,particular,region,livestock_area,province,value,unit,source
2564,จำนวนกระบือ,ภาคกลาง,ปศุสัตว์เขต 1,กรุงเทพมหานคร,276,ตัว,กรมปศุสัตว์
2564,จำนวนกระบือ,ภาคกลาง,ปศุสัตว์เขต 1,ชัยนาท,16416,ตัว,กรมปศุสัตว์
2564,จำนวนกระบือ,ภาคกลาง,ปศุสัตว์เขต 1,นนทบุรี,164,ตัว,กรมปศุสัตว์
2564,จำนวนกระบือ,ภาคกลาง,ปศุสัตว์เขต 1,ปทุมธานี,682,ตัว,กรมปศุสัตว์
2564,จำนวนกระบือ,ภาคกลาง,ปศุสัตว์เขต 1,พระนครศรีอยุธยา,1387,ตัว,กรมปศุสัตว์
2564,จำนวนกระบือ,ภาคกลาง,ปศุสัตว์เขต 1,ลพบุรี,3377,ตัว,กรมปศุสัตว์
2564,จำนวนกระบือ,ภาคกลาง,ปศุสัตว์เขต 1,สระบุรี,10982,ตัว,กรมปศุสัตว์
2564,จำนวนกระบือ,ภาคกลาง,ปศุสัตว์เขต 1,สิงห์บุรี,117,ตัว,กรมปศุสัตว์
2564,จำนวนกระบือ,ภาคกลาง,ปศุสัตว์เขต 1,อ่างทอง,766,ตัว,กรมปศุสัตว์
2564,จำนวนกระบือ,ภาคกลาง,ปศุสัตว์เขต 2,จันทบุรี,637,ตัว,กรมปศุสัตว์
2564,จำนวนกระบือ,ภาคกลาง,ปศุสัตว์เขต 2,ฉะเชิงเทรา,3228,ตัว,กรมปศุสัตว์
2564,จำนวนกระบือ,ภาคกลาง,ปศุสัตว์เขต 2,ชลบุรี,8385,ตัว,กรมปศุสัตว์
2564,จำนวนกระบือ,ภาคกลาง,ปศุสัตว์เขต 2,ตราด,634,ตัว,กรมปศุสัตว์
2564,จำนวนกระบือ,ภาคกลาง,ปศุสัตว์เขต 2,นครนายก,13540,ตัว,กรมปศุสัตว์
2564,จำนวนกระบือ,ภาคกลาง,ปศุสัตว์เขต 2,ปราจีนบุรี,11401,ตัว,กรมปศุสัตว์
2564,จำนวนกระบือ,ภาคกลาง,ปศุสัตว์เขต 2,ระยอง,647,ตัว,กรมปศุสัตว์
2564,จำนวนกระบือ,ภาคกลาง,ปศุสัตว์เขต 2,สมุทรปราการ,32,ตัว,กรมปศุสัตว์
2564,จำนวนกระบือ,ภาคกลาง,ปศุสัตว์เขต 2,สระแก้ว,13054,ตัว,กรมปศุสัตว์
2564,จำนวนกระบือ,ภาคกลาง,ปศุสัตว์เขต 7,กาญจนบุรี,10439,ตัว,กรมปศุสัตว์
2564,จำนวนกระบือ,ภาคกลาง,ปศุสัตว์เขต 7,นครปฐม,415,ตัว,กรมปศุสัตว์
2564,จำนวนกระบือ,ภาคกลาง,ปศุสัตว์เขต 7,ประจวบคีรีขันธ์,559,ตัว,กรมปศุสัตว์
2564,จำนวนกระบือ,ภาคกลาง,ปศุสัตว์เขต 7,เพชรบุรี,835,ตัว,กรมปศุสัตว์
2564,จำนวนกระบือ,ภาคกลาง,ปศุสัตว์เขต 7,ราชบุรี,1028,ตัว,กรมปศุสัตว์
2564,จำนวนกระบือ,ภาคกลาง,ปศุสัตว์เขต 7,สมุทรสงคราม,13,ตัว,กรมปศุสัตว์
2564,จำนวนกระบือ,ภาคกลาง,ปศุสัตว์เขต 7,สมุทรสาคร,13,ตัว,กรมปศุสัตว์
2564,จำนวนกระบือ,ภาคกลาง,ปศุสัตว์เขต 7,สุพรรณบุรี,4114,ตัว,กรมปศุสัตว์
2564,จำนวนกระบือ,ภาคตะวันออกเฉียงเหนือ,ปศุสัตว์เขต 3,ชัยภูมิ,15014,ตัว,กรมปศุสัตว์
2564,จำนวนกระบือ,ภาคตะวันออกเฉียงเหนือ,ปศุสัตว์เขต 3,นครราชสีมา,71330,ตัว,กรมปศุสัตว์
2564,จำนวนกระบือ,ภาคตะวันออกเฉียงเหนือ,ปศุสัตว์เขต 3,บุรีรัมย์,132674,ตัว,กรมปศุสัตว์
2564,จำนวนกระบือ,ภาคตะวันออกเฉียงเหนือ,ปศุสัตว์เขต 3,ยโสธร,30241,ตัว,กรมปศุสัตว์
2564,จำนวนกระบือ,ภาคตะวันออกเฉียงเหนือ,ปศุสัตว์เขต 3,ศรีสะเกษ,95335,ตัว,กรมปศุสัตว์
2564,จำนวนกระบือ,ภาคตะวันออกเฉียงเหนือ,ปศุสัตว์เขต 3,สุรินทร์,137803,ตัว,กรมปศุสัตว์
2564,จำนวนกระบือ,ภาคตะวันออกเฉียงเหนือ,ปศุสัตว์เขต 3,อำนาจเจริญ,17096,ตัว,กรมปศุสัตว์
2564,จำนวนกระบือ,ภาคตะวันออกเฉียงเหนือ,ปศุสัตว์เขต 3,อุบลราชธานี,121799,ตัว,กรมปศุสัตว์
2564,จำนวนกระบือ,ภาคตะวันออกเฉียงเหนือ,ปศุสัตว์เขต 4,กาฬสินธุ์,26575,ตัว,กรมปศุสัตว์
2564,จำนวนกระบือ,ภาคตะวันออกเฉียงเหนือ,ปศุสัตว์เขต 4,ขอนแก่น,38994,ตัว,กรมปศุสัตว์
2564,จำนวนกระบือ,ภาคตะวันออกเฉียงเหนือ,ปศุสัตว์เขต 4,นครพนม,71008,ตัว,กรมปศุสัตว์
2564,จำนวนกระบือ,ภาคตะวันออกเฉียงเหนือ,ปศุสัตว์เขต 4,บึงกาฬ,18417,ตัว,กรมปศุสัตว์
2564,จำนวนกระบือ,ภาคตะวันออกเฉียงเหนือ,ปศุสัตว์เขต 4,มหาสารคาม,54449,ตัว,กรมปศุสัตว์
2564,จำนวนกระบือ,ภาคตะวันออกเฉียงเหนือ,ปศุสัตว์เขต 4,มุกดาหาร,17193,ตัว,กรมปศุสัตว์
2564,จำนวนกระบือ,ภาคตะวันออกเฉียงเหนือ,ปศุสัตว์เขต 4,ร้อยเอ็ด,68997,ตัว,กรมปศุสัตว์
2564,จำนวนกระบือ,ภาคตะวันออกเฉียงเหนือ,ปศุสัตว์เขต 4,เลย,12892,ตัว,กรมปศุสัตว์
2564,จำนวนกระบือ,ภาคตะวันออกเฉียงเหนือ,ปศุสัตว์เขต 4,สกลนคร,82085,ตัว,กรมปศุสัตว์
2564,จำนวนกระบือ,ภาคตะวันออกเฉียงเหนือ,ปศุสัตว์เขต 4,หนองคาย,12475,ตัว,กรมปศุสัตว์
2564,จำนวนกระบือ,ภาคตะวันออกเฉียงเหนือ,ปศุสัตว์เขต 4,หนองบัวลำภู,12809,ตัว,กรมปศุสัตว์
2564,จำนวนกระบือ,ภาคตะวันออกเฉียงเหนือ,ปศุสัตว์เขต 4,อุดรธานี,54809,ตัว,กรมปศุสัตว์
2564,จำนวนกระบือ,ภาคเหนือ,ปศุสัตว์เขต 5,เชียงราย,15416,ตัว,กรมปศุสัตว์
2564,จำนวนกระบือ,ภาคเหนือ,ปศุสัตว์เขต 5,เชียงใหม่,53648,ตัว,กรมปศุสัตว์
2564,จำนวนกระบือ,ภาคเหนือ,ปศุสัตว์เขต 5,น่าน,10624,ตัว,กรมปศุสัตว์
2564,จำนวนกระบือ,ภาคเหนือ,ปศุสัตว์เขต 5,พะเยา,6924,ตัว,กรมปศุสัตว์
2564,จำนวนกระบือ,ภาคเหนือ,ปศุสัตว์เขต 5,แพร่,9703,ตัว,กรมปศุสัตว์
2564,จำนวนกระบือ,ภาคเหนือ,ปศุสัตว์เขต 5,แม่ฮ่องสอน,40087,ตัว,กรมปศุสัตว์
2564,จำนวนกระบือ,ภาคเหนือ,ปศุสัตว์เขต 5,ลำปาง,15084,ตัว,กรมปศุสัตว์
2564,จำนวนกระบือ,ภาคเหนือ,ปศุสัตว์เขต 5,ลำพูน,4915,ตัว,กรมปศุสัตว์
2564,จำนวนกระบือ,ภาคเหนือ,ปศุสัตว์เขต 6,กำแพงเพชร,9118,ตัว,กรมปศุสัตว์
2564,จำนวนกระบือ,ภาคเหนือ,ปศุสัตว์เขต 6,ตาก,23244,ตัว,กรมปศุสัตว์
2564,จำนวนกระบือ,ภาคเหนือ,ปศุสัตว์เขต 6,นครสวรรค์,7781,ตัว,กรมปศุสัตว์
2564,จำนวนกระบือ,ภาคเหนือ,ปศุสัตว์เขต 6,พิจิตร,7810,ตัว,กรมปศุสัตว์
2564,จำนวนกระบือ,ภาคเหนือ,ปศุสัตว์เขต 6,พิษณุโลก,25877,ตัว,กรมปศุสัตว์
2564,จำนวนกระบือ,ภาคเหนือ,ปศุสัตว์เขต 6,เพชรบูรณ์,7164,ตัว,กรมปศุสัตว์
2564,จำนวนกระบือ,ภาคเหนือ,ปศุสัตว์เขต 6,สุโขทัย,8397,ตัว,กรมปศุสัตว์
2564,จำนวนกระบือ,ภาคเหนือ,ปศุสัตว์เขต 6,อุตรดิตถ์,23444,ตัว,กรมปศุสัตว์
2564,จำนวนกระบือ,ภาคเหนือ,ปศุสัตว์เขต 6,อุทัยธานี,26997,ตัว,กรมปศุสัตว์
2564,จำนวนกระบือ,ภาคใต้,ปศุสัตว์เขต 8,กระบี่,732,ตัว,กรมปศุสัตว์
2564,จำนวนกระบือ,ภาคใต้,ปศุสัตว์เขต 8,ชุมพร,623,ตัว,กรมปศุสัตว์
2564,จำนวนกระบือ,ภาคใต้,ปศุสัตว์เขต 8,ตรัง,501,ตัว,กรมปศุสัตว์
2564,จำนวนกระบือ,ภาคใต้,ปศุสัตว์เขต 8,นครศรีธรรมราช,2415,ตัว,กรมปศุสัตว์
2564,จำนวนกระบือ,ภาคใต้,ปศุสัตว์เขต 8,พังงา,2760,ตัว,กรมปศุสัตว์
2564,จำนวนกระบือ,ภาคใต้,ปศุสัตว์เขต 8,พัทลุง,4220,ตัว,กรมปศุสัตว์
2564,จำนวนกระบือ,ภาคใต้,ปศุสัตว์เขต 8,ภูเก็ต,757,ตัว,กรมปศุสัตว์
2564,จำนวนกระบือ,ภาคใต้,ปศุสัตว์เขต 8,ระนอง,1577,ตัว,กรมปศุสัตว์
2564,จำนวนกระบือ,ภาคใต้,ปศุสัตว์เขต 8,สุราษฎร์ธานี,3903,ตัว,กรมปศุสัตว์
2564,จำนวนกระบือ,ภาคใต้,ปศุสัตว์เขต 9,นราธิวาส,2505,ตัว,กรมปศุสัตว์
2564,จำนวนกระบือ,ภาคใต้,ปศุสัตว์เขต 9,ปัตตานี,1700,ตัว,กรมปศุสัตว์
2564,จำนวนกระบือ,ภาคใต้,ปศุสัตว์เขต 9,ยะลา,1549,ตัว,กรมปศุสัตว์
2564,จำนวนกระบือ,ภาคใต้,ปศุสัตว์เขต 9,สงขลา,6227,ตัว,กรมปศุสัตว์
2564,จำนวนกระบือ,ภาคใต้,ปศุสัตว์เขต 9,สตูล,176,ตัว,กรมปศุสัตว์
2565,จำนวนกระบือ,ภาคกลาง,ปศุสัตว์เขต 1,กรุงเทพมหานคร,266,ตัว,กรมปศุสัตว์
2565,จำนวนกระบือ,ภาคกลาง,ปศุสัตว์เขต 1,ชัยนาท,17726,ตัว,กรมปศุสัตว์
2565,จำนวนกระบือ,ภาคกลาง,ปศุสัตว์เขต 1,นนทบุรี,190,ตัว,กรมปศุสัตว์
2565,จำนวนกระบือ,ภาคกลาง,ปศุสัตว์เขต 1,ปทุมธานี,908,ตัว,กรมปศุสัตว์
2565,จำนวนกระบือ,ภาคกลาง,ปศุสัตว์เขต 1,พระนครศรีอยุธยา,1718,ตัว,กรมปศุสัตว์
2565,จำนวนกระบือ,ภาคกลาง,ปศุสัตว์เขต 1,ลพบุรี,3820,ตัว,กรมปศุสัตว์
2565,จำนวนกระบือ,ภาคกลาง,ปศุสัตว์เขต 1,สระบุรี,10399,ตัว,กรมปศุสัตว์
2565,จำนวนกระบือ,ภาคกลาง,ปศุสัตว์เขต 1,สิงห์บุรี,253,ตัว,กรมปศุสัตว์
2565,จำนวนกระบือ,ภาคกลาง,ปศุสัตว์เขต 1,อ่างทอง,859,ตัว,กรมปศุสัตว์
2565,จำนวนกระบือ,ภาคกลาง,ปศุสัตว์เขต 2,จันทบุรี,476,ตัว,กรมปศุสัตว์
2565,จำนวนกระบือ,ภาคกลาง,ปศุสัตว์เขต 2,ฉะเชิงเทรา,3675,ตัว,กรมปศุสัตว์
2565,จำนวนกระบือ,ภาคกลาง,ปศุสัตว์เขต 2,ชลบุรี,8675,ตัว,กรมปศุสัตว์
2565,จำนวนกระบือ,ภาคกลาง,ปศุสัตว์เขต 2,ตราด,602,ตัว,กรมปศุสัตว์
2565,จำนวนกระบือ,ภาคกลาง,ปศุสัตว์เขต 2,นครนายก,13640,ตัว,กรมปศุสัตว์
2565,จำนวนกระบือ,ภาคกลาง,ปศุสัตว์เขต 2,ปราจีนบุรี,12626,ตัว,กรมปศุสัตว์
2565,จำนวนกระบือ,ภาคกลาง,ปศุสัตว์เขต 2,ระยอง,728,ตัว,กรมปศุสัตว์
2565,จำนวนกระบือ,ภาคกลาง,ปศุสัตว์เขต 2,สมุทรปราการ,61,ตัว,กรมปศุสัตว์
2565,จำนวนกระบือ,ภาคกลาง,ปศุสัตว์เขต 2,สระแก้ว,14880,ตัว,กรมปศุสัตว์
2565,จำนวนกระบือ,ภาคกลาง,ปศุสัตว์เขต 7,กาญจนบุรี,11770,ตัว,กรมปศุสัตว์
2565,จำนวนกระบือ,ภาคกลาง,ปศุสัตว์เขต 7,นครปฐม,470,ตัว,กรมปศุสัตว์
2565,จำนวนกระบือ,ภาคกลาง,ปศุสัตว์เขต 7,ประจวบคีรีขันธ์,571,ตัว,กรมปศุสัตว์
2565,จำนวนกระบือ,ภาคกลาง,ปศุสัตว์เขต 7,เพชรบุรี,930,ตัว,กรมปศุสัตว์
2565,จำนวนกระบือ,ภาคกลาง,ปศุสัตว์เขต 7,ราชบุรี,1037,ตัว,กรมปศุสัตว์
2565,จำนวนกระบือ,ภาคกลาง,ปศุสัตว์เขต 7,สมุทรสงคราม,14,ตัว,กรมปศุสัตว์
2565,จำนวนกระบือ,ภาคกลาง,ปศุสัตว์เขต 7,สมุทรสาคร,38,ตัว,กรมปศุสัตว์
2565,จำนวนกระบือ,ภาคกลาง,ปศุสัตว์เขต 7,สุพรรณบุรี,5105,ตัว,กรมปศุสัตว์
2565,จำนวนกระบือ,ภาคตะวันออกเฉียงเหนือ,ปศุสัตว์เขต 3,ชัยภูมิ,18466,ตัว,กรมปศุสัตว์
2565,จำนวนกระบือ,ภาคตะวันออกเฉียงเหนือ,ปศุสัตว์เขต 3,นครราชสีมา,79060,ตัว,กรมปศุสัตว์
2565,จำนวนกระบือ,ภาคตะวันออกเฉียงเหนือ,ปศุสัตว์เขต 3,บุรีรัมย์,158208,ตัว,กรมปศุสัตว์
2565,จำนวนกระบือ,ภาคตะวันออกเฉียงเหนือ,ปศุสัตว์เขต 3,ยโสธร,34804,ตัว,กรมปศุสัตว์
2565,จำนวนกระบือ,ภาคตะวันออกเฉียงเหนือ,ปศุสัตว์เขต 3,ศรีสะเกษ,105318,ตัว,กรมปศุสัตว์
2565,จำนวนกระบือ,ภาคตะวันออกเฉียงเหนือ,ปศุสัตว์เขต 3,สุรินทร์,152394,ตัว,กรมปศุสัตว์
2565,จำนวนกระบือ,ภาคตะวันออกเฉียงเหนือ,ปศุสัตว์เขต 3,อำนาจเจริญ,19171,ตัว,กรมปศุสัตว์
2565,จำนวนกระบือ,ภาคตะวันออกเฉียงเหนือ,ปศุสัตว์เขต 3,อุบลราชธานี,140235,ตัว,กรมปศุสัตว์
2565,จำนวนกระบือ,ภาคตะวันออกเฉียงเหนือ,ปศุสัตว์เขต 4,กาฬสินธุ์,36490,ตัว,กรมปศุสัตว์
2565,จำนวนกระบือ,ภาคตะวันออกเฉียงเหนือ,ปศุสัตว์เขต 4,ขอนแก่น,49307,ตัว,กรมปศุสัตว์
2565,จำนวนกระบือ,ภาคตะวันออกเฉียงเหนือ,ปศุสัตว์เขต 4,นครพนม,78397,ตัว,กรมปศุสัตว์
2565,จำนวนกระบือ,ภาคตะวันออกเฉียงเหนือ,ปศุสัตว์เขต 4,บึงกาฬ,21578,ตัว,กรมปศุสัตว์
2565,จำนวนกระบือ,ภาคตะวันออกเฉียงเหนือ,ปศุสัตว์เขต 4,มหาสารคาม,72055,ตัว,กรมปศุสัตว์
2565,จำนวนกระบือ,ภาคตะวันออกเฉียงเหนือ,ปศุสัตว์เขต 4,มุกดาหาร,17510,ตัว,กรมปศุสัตว์
2565,จำนวนกระบือ,ภาคตะวันออกเฉียงเหนือ,ปศุสัตว์เขต 4,ร้อยเอ็ด,76261,ตัว,กรมปศุสัตว์
2565,จำนวนกระบือ,ภาคตะวันออกเฉียงเหนือ,ปศุสัตว์เขต 4,เลย,14182,ตัว,กรมปศุสัตว์
2565,จำนวนกระบือ,ภาคตะวันออกเฉียงเหนือ,ปศุสัตว์เขต 4,สกลนคร,98340,ตัว,กรมปศุสัตว์
2565,จำนวนกระบือ,ภาคตะวันออกเฉียงเหนือ,ปศุสัตว์เขต 4,หนองคาย,16141,ตัว,กรมปศุสัตว์
2565,จำนวนกระบือ,ภาคตะวันออกเฉียงเหนือ,ปศุสัตว์เขต 4,หนองบัวลำภู,17664,ตัว,กรมปศุสัตว์
2565,จำนวนกระบือ,ภาคตะวันออกเฉียงเหนือ,ปศุสัตว์เขต 4,อุดรธานี,69571,ตัว,กรมปศุสัตว์
2565,จำนวนกระบือ,ภาคเหนือ,ปศุสัตว์เขต 5,เชียงราย,16130,ตัว,กรมปศุสัตว์
2565,จำนวนกระบือ,ภาคเหนือ,ปศุสัตว์เขต 5,เชียงใหม่,51970,ตัว,กรมปศุสัตว์
2565,จำนวนกระบือ,ภาคเหนือ,ปศุสัตว์เขต 5,น่าน,9785,ตัว,กรมปศุสัตว์
2565,จำนวนกระบือ,ภาคเหนือ,ปศุสัตว์เขต 5,พะเยา,7527,ตัว,กรมปศุสัตว์
2565,จำนวนกระบือ,ภาคเหนือ,ปศุสัตว์เขต 5,แพร่,11051,ตัว,กรมปศุสัตว์
2565,จำนวนกระบือ,ภาคเหนือ,ปศุสัตว์เขต 5,แม่ฮ่องสอน,43558,ตัว,กรมปศุสัตว์
2565,จำนวนกระบือ,ภาคเหนือ,ปศุสัตว์เขต 5,ลำปาง,16458,ตัว,กรมปศุสัตว์
