year,particular,region,livestock_area,province,value,unit,source
2564,จำนวนโคเนื้อ,ภาคกลาง,ปศุสัตว์เขต 1,กรุงเทพมหานคร,4050,ตัว,กรมปศุสัตว์
2564,จำนวนโคเนื้อ,ภาคกลาง,ปศุสัตว์เขต 1,ชัยนาท,49569,ตัว,กรมปศุสัตว์
2564,จำนวนโคเนื้อ,ภาคกลาง,ปศุสัตว์เขต 1,นนทบุรี,1934,ตัว,กรมปศุสัตว์
2564,จำนวนโคเนื้อ,ภาคกลาง,ปศุสัตว์เขต 1,ปทุมธานี,4517,ตัว,กรมปศุสัตว์
2564,จำนวนโคเนื้อ,ภาคกลาง,ปศุสัตว์เขต 1,พระนครศรีอยุธยา,10330,ตัว,กรมปศุสัตว์
2564,จำนวนโคเนื้อ,ภาคกลาง,ปศุสัตว์เขต 1,ลพบุรี,56548,ตัว,กรมปศุสัตว์
2564,จำนวนโคเนื้อ,ภาคกลาง,ปศุสัตว์เขต 1,สระบุรี,30292,ตัว,กรมปศุสัตว์
2564,จำนวนโคเนื้อ,ภาคกลาง,ปศุสัตว์เขต 1,สิงห์บุรี,2879,ตัว,กรมปศุสัตว์
2564,จำนวนโคเนื้อ,ภาคกลาง,ปศุสัตว์เขต 1,อ่างทอง,13346,ตัว,กรมปศุสัตว์
2564,จำนวนโคเนื้อ,ภาคกลาง,ปศุสัตว์เขต 2,จันทบุรี,2008,ตัว,กรมปศุสัตว์
2564,จำนวนโคเนื้อ,ภาคกลาง,ปศุสัตว์เขต 2,ฉะเชิงเทรา,20755,ตัว,กรมปศุสัตว์
2564,จำนวนโคเนื้อ,ภาคกลาง,ปศุสัตว์เขต 2,ชลบุรี,20228,ตัว,กรมปศุสัตว์
2564,จำนวนโคเนื้อ,ภาคกลาง,ปศุสัตว์เขต 2,ตราด,1723,ตัว,กรมปศุสัตว์
2564,จำนวนโคเนื้อ,ภาคกลาง,ปศุสัตว์เขต 2,นครนายก,10947,ตัว,กรมปศุสัตว์
2564,จำนวนโคเนื้อ,ภาคกลาง,ปศุสัตว์เขต 2,ปราจีนบุรี,16715,ตัว,กรมปศุสัตว์
2564,จำนวนโคเนื้อ,ภาคกลาง,ปศุสัตว์เขต 2,ระยอง,20599,ตัว,กรมปศุสัตว์
2564,จำนวนโคเนื้อ,ภาคกลาง,ปศุสัตว์เขต 2,สมุทรปราการ,280,ตัว,กรมปศุสัตว์
2564,จำนวนโคเนื้อ,ภาคกลาง,ปศุสัตว์เขต 2,สระแก้ว,81970,ตัว,กรมปศุสัตว์
2564,จำนวนโคเนื้อ,ภาคกลาง,ปศุสัตว์เขต 7,กาญจนบุรี,281570,ตัว,กรมปศุสัตว์
2564,จำนวนโคเนื้อ,ภาคกลาง,ปศุสัตว์เขต 7,นครปฐม,45095,ตัว,กรมปศุสัตว์
2564,จำนวนโคเนื้อ,ภาคกลาง,ปศุสัตว์เขต 7,ประจวบคีรีขันธ์,149960,ตัว,กรมปศุสัตว์
2564,จำนวนโคเนื้อ,ภาคกลาง,ปศุสัตว์เขต 7,เพชรบุรี,213377,ตัว,กรมปศุสัตว์
2564,จำนวนโคเนื้อ,ภาคกลาง,ปศุสัตว์เขต 7,ราชบุรี,100152,ตัว,กรมปศุสัตว์
2564,จำนวนโคเนื้อ,ภาคกลาง,ปศุสัตว์เขต 7,สมุทรสงคราม,918,ตัว,กรมปศุสัตว์
2564,จำนวนโคเนื้อ,ภาคกลาง,ปศุสัตว์เขต 7,สมุทรสาคร,354,ตัว,กรมปศุสัตว์
2564,จำนวนโคเนื้อ,ภาคกลาง,ปศุสัตว์เขต 7,สุพรรณบุรี,168851,ตัว,กรมปศุสัตว์
2564,จำนวนโคเนื้อ,ภาคตะวันออกเฉียงเหนือ,ปศุสัตว์เขต 3,ชัยภูมิ,93249,ตัว,กรมปศุสัตว์
2564,จำนวนโคเนื้อ,ภาคตะวันออกเฉียงเหนือ,ปศุสัตว์เขต 3,นครราชสีมา,439495,ตัว,กรมปศุสัตว์
