year,particular,region,livestock_area,province,value,unit,source
2564,จำนวนเป็ด,ภาคกลาง,ปศุสัตว์เขต 1,กรุงเทพมหานคร,35274,ตัว,กรมปศุสัตว์
2564,จำนวนเป็ด,ภาคกลาง,ปศุสัตว์เขต 1,ชัยนาท,1101809,ตัว,กรมปศุสัตว์
2564,จำนวนเป็ด,ภาคกลาง,ปศุสัตว์เขต 1,นนทบุรี,142864,ตัว,กรมปศุสัตว์
2564,จำนวนเป็ด,ภาคกลาง,ปศุสัตว์เขต 1,ปทุมธานี,412382,ตัว,กรมปศุสัตว์
2564,จำนวนเป็ด,ภาคกลาง,ปศุสัตว์เขต 1,พระนครศรีอยุธยา,506465,ตัว,กรมปศุสัตว์
2564,จำนวนเป็ด,ภาคกลาง,ปศุสัตว์เขต 1,ลพบุรี,940749,ตัว,กรมปศุสัตว์
2564,จำนวนเป็ด,ภาคกลาง,ปศุสัตว์เขต 1,สระบุรี,913766,ตัว,กรมปศุสัตว์
2564,จำนวนเป็ด,ภาคกลาง,ปศุสัตว์เขต 1,สิงห์บุรี,170496,ตัว,กรมปศุสัตว์
2564,จำนวนเป็ด,ภาคกลาง,ปศุสัตว์เขต 1,อ่างทอง,1697351,ตัว,กรมปศุสัตว์
2564,จำนวนเป็ด,ภาคกลาง,ปศุสัตว์เขต 2,จันทบุรี,37560,ตัว,กรมปศุสัตว์
2564,จำนวนเป็ด,ภาคกลาง,ปศุสัตว์เขต 2,ฉะเชิงเทรา,1198100,ตัว,กรมปศุสัตว์
2564,จำนวนเป็ด,ภาคกลาง,ปศุสัตว์เขต 2,ชลบุรี,336565,ตัว,กรมปศุสัตว์
2564,จำนวนเป็ด,ภาคกลาง,ปศุสัตว์เขต 2,ตราด,16140,ตัว,กรมปศุสัตว์
2564,จำนวนเป็ด,ภาคกลาง,ปศุสัตว์เขต 2,นครนายก,646598,ตัว,กรมปศุสัตว์
2564,จำนวนเป็ด,ภาคกลาง,ปศุสัตว์เขต 2,ปราจีนบุรี,554306,ตัว,กรมปศุสัตว์
2564,จำนวนเป็ด,ภาคกลาง,ปศุสัตว์เขต 2,ระยอง,597198,ตัว,กรมปศุสัตว์
2564,จำนวนเป็ด,ภาคกลาง,ปศุสัตว์เขต 2,สมุทรปราการ,9982,ตัว,กรมปศุสัตว์
2564,จำนวนเป็ด,ภาคกลาง,ปศุสัตว์เขต 2,สระแก้ว,246980,ตัว,กรมปศุสัตว์
2564,จำนวนเป็ด,ภาคกลาง,ปศุสัตว์เขต 7,กาญจนบุรี,722832,ตัว,กรมปศุสัตว์
2564,จำนวนเป็ด,ภาคกลาง,ปศุสัตว์เขต 7,นครปฐม,1938903,ตัว,กรมปศุสัตว์
2564,จำนวนเป็ด,ภาคกลาง,ปศุสัตว์เขต 7,ประจวบคีรีขันธ์,65125,ตัว,กรมปศุสัตว์
2564,จำนวนเป็ด,ภาคกลาง,ปศุสัตว์เขต 7,เพชรบุรี,506604,ตัว,กรมปศุสัตว์
2564,จำนวนเป็ด,ภาคกลาง,ปศุสัตว์เขต 7,ราชบุรี,683207,ตัว,กรมปศุสัตว์
2564,จำนวนเป็ด,ภาคกลาง,ปศุสัตว์เขต 7,สมุทรสงคราม,5430,ตัว,กรมปศุสัตว์
