year,particular,region,livestock_area,province,value,unit,source
2564,จำนวนเกษตรกรผู้เลี้ยงสัตว์,ภาคกลาง,ปศุสัตว์เขต 1,กรุงเทพมหานคร,4855,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงสัตว์,ภาคกลาง,ปศุสัตว์เขต 1,ชัยนาท,20035,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงสัตว์,ภาคกลาง,ปศุสัตว์เขต 1,นนทบุรี,4138,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงสัตว์,ภาคกลาง,ปศุสัตว์เขต 1,ปทุมธานี,6685,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงสัตว์,ภาคกลาง,ปศุสัตว์เขต 1,พระนครศรีอยุธยา,14691,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงสัตว์,ภาคกลาง,ปศุสัตว์เขต 1,ลพบุรี,29671,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงสัตว์,ภาคกลาง,ปศุสัตว์เขต 1,สระบุรี,18361,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงสัตว์,ภาคกลาง,ปศุสัตว์เขต 1,สิงห์บุรี,5271,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงสัตว์,ภาคกลาง,ปศุสัตว์เขต 1,อ่างทอง,18289,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงสัตว์,ภาคกลาง,ปศุสัตว์เขต 2,จันทบุรี,9920,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงสัตว์,ภาคกลาง,ปศุสัตว์เขต 2,ฉะเชิงเทรา,16866,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงสัตว์,ภาคกลาง,ปศุสัตว์เขต 2,ชลบุรี,13013,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงสัตว์,ภาคกลาง,ปศุสัตว์เขต 2,ตราด,4556,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงสัตว์,ภาคกลาง,ปศุสัตว์เขต 2,นครนายก,10671,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงสัตว์,ภาคกลาง,ปศุสัตว์เขต 2,ปราจีนบุรี,19636,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงสัตว์,ภาคกลาง,ปศุสัตว์เขต 2,ระยอง,10220,ราย,กรมปศุสัตว์
