year,particular,region,livestock_area,province,value,unit,source
2564,จำนวนเกษตรกรผู้เลี้ยงไก่,ภาคกลาง,ปศุสัตว์เขต 1,กรุงเทพมหานคร,4046,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงไก่,ภาคกลาง,ปศุสัตว์เขต 1,ชัยนาท,17192,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงไก่,ภาคกลาง,ปศุสัตว์เขต 1,นนทบุรี,3838,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงไก่,ภาคกลาง,ปศุสัตว์เขต 1,ปทุมธานี,6278,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงไก่,ภาคกลาง,ปศุสัตว์เขต 1,พระนครศรีอยุธยา,13322,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงไก่,ภาคกลาง,ปศุสัตว์เขต 1,ลพบุรี,24113,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงไก่,ภาคกลาง,ปศุสัตว์เขต 1,สระบุรี,13293,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงไก่,ภาคกลาง,ปศุสัตว์เขต 1,สิงห์บุรี,4477,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงไก่,ภาคกลาง,ปศุสัตว์เขต 1,อ่างทอง,15441,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงไก่,ภาคกลาง,ปศุสัตว์เขต 2,จันทบุรี,9114,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงไก่,ภาคกลาง,ปศุสัตว์เขต 2,ฉะเชิงเทรา,14023,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงไก่,ภาคกลาง,ปศุสัตว์เขต 2,ชลบุรี,11548,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงไก่,ภาคกลาง,ปศุสัตว์เขต 2,ตราด,4009,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงไก่,ภาคกลาง,ปศุสัตว์เขต 2,นครนายก,9392,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงไก่,ภาคกลาง,ปศุสัตว์เขต 2,ปราจีนบุรี,17980,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงไก่,ภาคกลาง,ปศุสัตว์เขต 2,ระยอง,9334,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงไก่,ภาคกลาง,ปศุสัตว์เขต 2,สมุทรปราการ,1908,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงไก่,ภาคกลาง,ปศุสัตว์เขต 2,สระแก้ว,29622,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงไก่,ภาคกลาง,ปศุสัตว์เขต 7,กาญจนบุรี,25861,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงไก่,ภาคกลาง,ปศุสัตว์เขต 7,นครปฐม,11731,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงไก่,ภาคกลาง,ปศุสัตว์เขต 7,ประจวบคีรีขันธ์,14020,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงไก่,ภาคกลาง,ปศุสัตว์เขต 7,เพชรบุรี,10667,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงไก่,ภาคกลาง,ปศุสัตว์เขต 7,ราชบุรี,17337,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงไก่,ภาคกลาง,ปศุสัตว์เขต 7,สมุทรสงคราม,2072,ราย,กรมปศุสัตว์
