year,particular,region,livestock_area,province,value,unit,source
2564,จำนวนเกษตรกรผู้เลี้ยงกระบือ,ภาคกลาง,ปศุสัตว์เขต 1,กรุงเทพมหานคร,47,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงกระบือ,ภาคกลาง,ปศุสัตว์เขต 1,ชัยนาท,1192,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงกระบือ,ภาคกลาง,ปศุสัตว์เขต 1,นนทบุรี,35,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงกระบือ,ภาคกลาง,ปศุสัตว์เขต 1,ปทุมธานี,58,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงกระบือ,ภาคกลาง,ปศุสัตว์เขต 1,พระนครศรีอยุธยา,164,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงกระบือ,ภาคกลาง,ปศุสัตว์เขต 1,ลพบุรี,221,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงกระบือ,ภาคกลาง,ปศุสัตว์เขต 1,สระบุรี,660,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงกระบือ,ภาคกลาง,ปศุสัตว์เขต 1,สิงห์บุรี,24,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงกระบือ,ภาคกลาง,ปศุสัตว์เขต 1,อ่างทอง,79,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงกระบือ,ภาคกลาง,ปศุสัตว์เขต 2,จันทบุรี,23,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงกระบือ,ภาคกลาง,ปศุสัตว์เขต 2,ฉะเชิงเทรา,274,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงกระบือ,ภาคกลาง,ปศุสัตว์เขต 2,ชลบุรี,813,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงกระบือ,ภาคกลาง,ปศุสัตว์เขต 2,ตราด,70,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงกระบือ,ภาคกลาง,ปศุสัตว์เขต 2,นครนายก,1075,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงกระบือ,ภาคกลาง,ปศุสัตว์เขต 2,ปราจีนบุรี,918,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงกระบือ,ภาคกลาง,ปศุสัตว์เขต 2,ระยอง,66,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงกระบือ,ภาคกลาง,ปศุสัตว์เขต 2,สมุทรปราการ,6,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงกระบือ,ภาคกลาง,ปศุสัตว์เขต 2,สระแก้ว,1047,ราย,กรมปศุสัตว์
