year,particular,region,livestock_area,province,value,unit,source
2564,จำนวนเกษตรกรผู้เลี้ยงโคเนื้อ,ภาคกลาง,ปศุสัตว์เขต 1,กรุงเทพมหานคร,571,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงโคเนื้อ,ภาคกลาง,ปศุสัตว์เขต 1,ชัยนาท,2923,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงโคเนื้อ,ภาคกลาง,ปศุสัตว์เขต 1,นนทบุรี,293,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงโคเนื้อ,ภาคกลาง,ปศุสัตว์เขต 1,ปทุมธานี,272,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงโคเนื้อ,ภาคกลาง,ปศุสัตว์เขต 1,พระนครศรีอยุธยา,1072,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงโคเนื้อ,ภาคกลาง,ปศุสัตว์เขต 1,ลพบุรี,3605,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงโคเนื้อ,ภาคกลาง,ปศุสัตว์เขต 1,สระบุรี,2014,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงโคเนื้อ,ภาคกลาง,ปศุสัตว์เขต 1,สิงห์บุรี,420,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงโคเนื้อ,ภาคกลาง,ปศุสัตว์เขต 1,อ่างทอง,1557,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงโคเนื้อ,ภาคกลาง,ปศุสัตว์เขต 2,จันทบุรี,307,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงโคเนื้อ,ภาคกลาง,ปศุสัตว์เขต 2,ฉะเชิงเทรา,2564,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงโคเนื้อ,ภาคกลาง,ปศุสัตว์เขต 2,ชลบุรี,1448,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงโคเนื้อ,ภาคกลาง,ปศุสัตว์เขต 2,ตราด,184,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงโคเนื้อ,ภาคกลาง,ปศุสัตว์เขต 2,นครนายก,958,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงโคเนื้อ,ภาคกลาง,ปศุสัตว์เขต 2,ปราจีนบุรี,1687,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงโคเนื้อ,ภาคกลาง,ปศุสัตว์เขต 2,ระยอง,1557,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงโคเนื้อ,ภาคกลาง,ปศุสัตว์เขต 2,สมุทรปราการ,35,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงโคเนื้อ,ภาคกลาง,ปศุสัตว์เขต 2,สระแก้ว,7225,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงโคเนื้อ,ภาคกลาง,ปศุสัตว์เขต 7,กาญจนบุรี,12689,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงโคเนื้อ,ภาคกลาง,ปศุสัตว์เขต 7,นครปฐม,2218,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงโคเนื้อ,ภาคกลาง,ปศุสัตว์เขต 7,ประจวบคีรีขันธ์,12405,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงโคเนื้อ,ภาคกลาง,ปศุสัตว์เขต 7,เพชรบุรี,12302,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงโคเนื้อ,ภาคกลาง,ปศุสัตว์เขต 7,ราชบุรี,8612,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงโคเนื้อ,ภาคกลาง,ปศุสัตว์เขต 7,สมุทรสงคราม,74,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงโคเนื้อ,ภาคกลาง,ปศุสัตว์เขต 7,สมุทรสาคร,31,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงโคเนื้อ,ภาคกลาง,ปศุสัตว์เขต 7,สุพรรณบุรี,7079,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงโคเนื้อ,ภาคตะวันออกเฉียงเหนือ,ปศุสัตว์เขต 3,ชัยภูมิ,13306,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงโคเนื้อ,ภาคตะวันออกเฉียงเหนือ,ปศุสัตว์เขต 3,นครราชสีมา,55103,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงโคเนื้อ,ภาคตะวันออกเฉียงเหนือ,ปศุสัตว์เขต 3,บุรีรัมย์,64068,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงโคเนื้อ,ภาคตะวันออกเฉียงเหนือ,ปศุสัตว์เขต 3,ยโสธร,29764,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงโคเนื้อ,ภาคตะวันออกเฉียงเหนือ,ปศุสัตว์เขต 3,ศรีสะเกษ,77959,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงโคเนื้อ,ภาคตะวันออกเฉียงเหนือ,ปศุสัตว์เขต 3,สุรินทร์,85950,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงโคเนื้อ,ภาคตะวันออกเฉียงเหนือ,ปศุสัตว์เขต 3,อำนาจเจริญ,19808,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงโคเนื้อ,ภาคตะวันออกเฉียงเหนือ,ปศุสัตว์เขต 3,อุบลราชธานี,89814,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงโคเนื้อ,ภาคตะวันออกเฉียงเหนือ,ปศุสัตว์เขต 4,กาฬสินธุ์,24154,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงโคเนื้อ,ภาคตะวันออกเฉียงเหนือ,ปศุสัตว์เขต 4,ขอนแก่น,39253,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงโคเนื้อ,ภาคตะวันออกเฉียงเหนือ,ปศุสัตว์เขต 4,นครพนม,24898,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงโคเนื้อ,ภาคตะวันออกเฉียงเหนือ,ปศุสัตว์เขต 4,บึงกาฬ,5096,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงโคเนื้อ,ภาคตะวันออกเฉียงเหนือ,ปศุสัตว์เขต 4,มหาสารคาม,44684,ราย,กรมปศุสัตว์
