year,particular,region,livestock_area,province,value,unit,source
2564,จำนวนเกษตรกรผู้เลี้ยงโคนม,ภาคกลาง,ปศุสัตว์เขต 1,กรุงเทพมหานคร,7,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงโคนม,ภาคกลาง,ปศุสัตว์เขต 1,ชัยนาท,67,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงโคนม,ภาคกลาง,ปศุสัตว์เขต 1,นนทบุรี,0,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงโคนม,ภาคกลาง,ปศุสัตว์เขต 1,ปทุมธานี,5,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงโคนม,ภาคกลาง,ปศุสัตว์เขต 1,พระนครศรีอยุธยา,3,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงโคนม,ภาคกลาง,ปศุสัตว์เขต 1,ลพบุรี,2481,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงโคนม,ภาคกลาง,ปศุสัตว์เขต 1,สระบุรี,4667,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงโคนม,ภาคกลาง,ปศุสัตว์เขต 1,สิงห์บุรี,7,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงโคนม,ภาคกลาง,ปศุสัตว์เขต 1,อ่างทอง,1,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงโคนม,ภาคกลาง,ปศุสัตว์เขต 2,จันทบุรี,78,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงโคนม,ภาคกลาง,ปศุสัตว์เขต 2,ฉะเชิงเทรา,5,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงโคนม,ภาคกลาง,ปศุสัตว์เขต 2,ชลบุรี,31,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงโคนม,ภาคกลาง,ปศุสัตว์เขต 2,ตราด,0,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงโคนม,ภาคกลาง,ปศุสัตว์เขต 2,นครนายก,5,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงโคนม,ภาคกลาง,ปศุสัตว์เขต 2,ปราจีนบุรี,10,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงโคนม,ภาคกลาง,ปศุสัตว์เขต 2,ระยอง,0,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงโคนม,ภาคกลาง,ปศุสัตว์เขต 2,สมุทรปราการ,0,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงโคนม,ภาคกลาง,ปศุสัตว์เขต 2,สระแก้ว,875,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงโคนม,ภาคกลาง,ปศุสัตว์เขต 7,กาญจนบุรี,1172,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงโคนม,ภาคกลาง,ปศุสัตว์เขต 7,นครปฐม,857,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงโคนม,ภาคกลาง,ปศุสัตว์เขต 7,ประจวบคีรีขันธ์,1088,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงโคนม,ภาคกลาง,ปศุสัตว์เขต 7,เพชรบุรี,362,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงโคนม,ภาคกลาง,ปศุสัตว์เขต 7,ราชบุรี,2308,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงโคนม,ภาคกลาง,ปศุสัตว์เขต 7,สมุทรสงคราม,0,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงโคนม,ภาคกลาง,ปศุสัตว์เขต 7,สมุทรสาคร,0,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงโคนม,ภาคกลาง,ปศุสัตว์เขต 7,สุพรรณบุรี,26,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงโคนม,ภาคตะวันออกเฉียงเหนือ,ปศุสัตว์เขต 3,ชัยภูมิ,216,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงโคนม,ภาคตะวันออกเฉียงเหนือ,ปศุสัตว์เขต 3,นครราชสีมา,5009,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงโคนม,ภาคตะวันออกเฉียงเหนือ,ปศุสัตว์เขต 3,บุรีรัมย์,188,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงโคนม,ภาคตะวันออกเฉียงเหนือ,ปศุสัตว์เขต 3,ยโสธร,6,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงโคนม,ภาคตะวันออกเฉียงเหนือ,ปศุสัตว์เขต 3,ศรีสะเกษ,143,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงโคนม,ภาคตะวันออกเฉียงเหนือ,ปศุสัตว์เขต 3,สุรินทร์,95,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงโคนม,ภาคตะวันออกเฉียงเหนือ,ปศุสัตว์เขต 3,อำนาจเจริญ,2,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงโคนม,ภาคตะวันออกเฉียงเหนือ,ปศุสัตว์เขต 3,อุบลราชธานี,25,ราย,กรมปศุสัตว์
