year,particular,region,livestock_area,province,value,unit,source
2564,จำนวนเกษตรกรผู้เลี้ยงเป็ด,ภาคกลาง,ปศุสัตว์เขต 1,กรุงเทพมหานคร,400,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงเป็ด,ภาคกลาง,ปศุสัตว์เขต 1,ชัยนาท,2628,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงเป็ด,ภาคกลาง,ปศุสัตว์เขต 1,นนทบุรี,459,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงเป็ด,ภาคกลาง,ปศุสัตว์เขต 1,ปทุมธานี,917,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงเป็ด,ภาคกลาง,ปศุสัตว์เขต 1,พระนครศรีอยุธยา,2121,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงเป็ด,ภาคกลาง,ปศุสัตว์เขต 1,ลพบุรี,2792,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงเป็ด,ภาคกลาง,ปศุสัตว์เขต 1,สระบุรี,1286,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงเป็ด,ภาคกลาง,ปศุสัตว์เขต 1,สิงห์บุรี,666,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงเป็ด,ภาคกลาง,ปศุสัตว์เขต 1,อ่างทอง,3108,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงเป็ด,ภาคกลาง,ปศุสัตว์เขต 2,จันทบุรี,493,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงเป็ด,ภาคกลาง,ปศุสัตว์เขต 2,ฉะเชิงเทรา,2967,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงเป็ด,ภาคกลาง,ปศุสัตว์เขต 2,ชลบุรี,614,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงเป็ด,ภาคกลาง,ปศุสัตว์เขต 2,ตราด,237,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงเป็ด,ภาคกลาง,ปศุสัตว์เขต 2,นครนายก,1401,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงเป็ด,ภาคกลาง,ปศุสัตว์เขต 2,ปราจีนบุรี,1054,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงเป็ด,ภาคกลาง,ปศุสัตว์เขต 2,ระยอง,337,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงเป็ด,ภาคกลาง,ปศุสัตว์เขต 2,สมุทรปราการ,327,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงเป็ด,ภาคกลาง,ปศุสัตว์เขต 2,สระแก้ว,4661,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงเป็ด,ภาคกลาง,ปศุสัตว์เขต 7,กาญจนบุรี,1991,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงเป็ด,ภาคกลาง,ปศุสัตว์เขต 7,นครปฐม,1347,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงเป็ด,ภาคกลาง,ปศุสัตว์เขต 7,ประจวบคีรีขันธ์,1050,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงเป็ด,ภาคกลาง,ปศุสัตว์เขต 7,เพชรบุรี,1155,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงเป็ด,ภาคกลาง,ปศุสัตว์เขต 7,ราชบุรี,1105,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงเป็ด,ภาคกลาง,ปศุสัตว์เขต 7,สมุทรสงคราม,282,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงเป็ด,ภาคกลาง,ปศุสัตว์เขต 7,สมุทรสาคร,270,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงเป็ด,ภาคกลาง,ปศุสัตว์เขต 7,สุพรรณบุรี,3936,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงเป็ด,ภาคตะวันออกเฉียงเหนือ,ปศุสัตว์เขต 3,ชัยภูมิ,11922,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงเป็ด,ภาคตะวันออกเฉียงเหนือ,ปศุสัตว์เขต 3,นครราชสีมา,15325,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงเป็ด,ภาคตะวันออกเฉียงเหนือ,ปศุสัตว์เขต 3,บุรีรัมย์,15691,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงเป็ด,ภาคตะวันออกเฉียงเหนือ,ปศุสัตว์เขต 3,ยโสธร,7098,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงเป็ด,ภาคตะวันออกเฉียงเหนือ,ปศุสัตว์เขต 3,ศรีสะเกษ,20320,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงเป็ด,ภาคตะวันออกเฉียงเหนือ,ปศุสัตว์เขต 3,สุรินทร์,21148,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงเป็ด,ภาคตะวันออกเฉียงเหนือ,ปศุสัตว์เขต 3,อำนาจเจริญ,2915,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงเป็ด,ภาคตะวันออกเฉียงเหนือ,ปศุสัตว์เขต 3,อุบลราชธานี,22358,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงเป็ด,ภาคตะวันออกเฉียงเหนือ,ปศุสัตว์เขต 4,กาฬสินธุ์,11950,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงเป็ด,ภาคตะวันออกเฉียงเหนือ,ปศุสัตว์เขต 4,ขอนแก่น,13399,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงเป็ด,ภาคตะวันออกเฉียงเหนือ,ปศุสัตว์เขต 4,นครพนม,7507,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงเป็ด,ภาคตะวันออกเฉียงเหนือ,ปศุสัตว์เขต 4,บึงกาฬ,5364,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงเป็ด,ภาคตะวันออกเฉียงเหนือ,ปศุสัตว์เขต 4,มหาสารคาม,12826,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงเป็ด,ภาคตะวันออกเฉียงเหนือ,ปศุสัตว์เขต 4,มุกดาหาร,2255,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงเป็ด,ภาคตะวันออกเฉียงเหนือ,ปศุสัตว์เขต 4,ร้อยเอ็ด,18538,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงเป็ด,ภาคตะวันออกเฉียงเหนือ,ปศุสัตว์เขต 4,เลย,9448,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงเป็ด,ภาคตะวันออกเฉียงเหนือ,ปศุสัตว์เขต 4,สกลนคร,17737,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงเป็ด,ภาคตะวันออกเฉียงเหนือ,ปศุสัตว์เขต 4,หนองคาย,8046,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงเป็ด,ภาคตะวันออกเฉียงเหนือ,ปศุสัตว์เขต 4,หนองบัวลำภู,6729,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงเป็ด,ภาคตะวันออกเฉียงเหนือ,ปศุสัตว์เขต 4,อุดรธานี,17738,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงเป็ด,ภาคเหนือ,ปศุสัตว์เขต 5,เชียงราย,5459,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงเป็ด,ภาคเหนือ,ปศุสัตว์เขต 5,เชียงใหม่,2121,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงเป็ด,ภาคเหนือ,ปศุสัตว์เขต 5,น่าน,3351,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงเป็ด,ภาคเหนือ,ปศุสัตว์เขต 5,พะเยา,2256,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงเป็ด,ภาคเหนือ,ปศุสัตว์เขต 5,แพร่,807,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงเป็ด,ภาคเหนือ,ปศุสัตว์เขต 5,แม่ฮ่องสอน,778,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงเป็ด,ภาคเหนือ,ปศุสัตว์เขต 5,ลำปาง,1026,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงเป็ด,ภาคเหนือ,ปศุสัตว์เขต 5,ลำพูน,437,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงเป็ด,ภาคเหนือ,ปศุสัตว์เขต 6,กำแพงเพชร,2920,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงเป็ด,ภาคเหนือ,ปศุสัตว์เขต 6,ตาก,2125,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงเป็ด,ภาคเหนือ,ปศุสัตว์เขต 6,นครสวรรค์,3587,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงเป็ด,ภาคเหนือ,ปศุสัตว์เขต 6,พิจิตร,2633,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงเป็ด,ภาคเหนือ,ปศุสัตว์เขต 6,พิษณุโลก,3504,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงเป็ด,ภาคเหนือ,ปศุสัตว์เขต 6,เพชรบูรณ์,3689,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงเป็ด,ภาคเหนือ,ปศุสัตว์เขต 6,สุโขทัย,1457,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงเป็ด,ภาคเหนือ,ปศุสัตว์เขต 6,อุตรดิตถ์,700,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงเป็ด,ภาคเหนือ,ปศุสัตว์เขต 6,อุทัยธานี,3238,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงเป็ด,ภาคใต้,ปศุสัตว์เขต 8,กระบี่,1798,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงเป็ด,ภาคใต้,ปศุสัตว์เขต 8,ชุมพร,1388,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงเป็ด,ภาคใต้,ปศุสัตว์เขต 8,ตรัง,2353,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงเป็ด,ภาคใต้,ปศุสัตว์เขต 8,นครศรีธรรมราช,12707,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงเป็ด,ภาคใต้,ปศุสัตว์เขต 8,พังงา,1175,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงเป็ด,ภาคใต้,ปศุสัตว์เขต 8,พัทลุง,9942,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงเป็ด,ภาคใต้,ปศุสัตว์เขต 8,ภูเก็ต,457,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงเป็ด,ภาคใต้,ปศุสัตว์เขต 8,ระนอง,696,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงเป็ด,ภาคใต้,ปศุสัตว์เขต 8,สุราษฎร์ธานี,5670,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงเป็ด,ภาคใต้,ปศุสัตว์เขต 9,นราธิวาส,21488,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงเป็ด,ภาคใต้,ปศุสัตว์เขต 9,ปัตตานี,15476,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงเป็ด,ภาคใต้,ปศุสัตว์เขต 9,ยะลา,17227,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงเป็ด,ภาคใต้,ปศุสัตว์เขต 9,สงขลา,10536,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงเป็ด,ภาคใต้,ปศุสัตว์เขต 9,สตูล,6114,ราย,กรมปศุสัตว์
2565,จำนวนเกษตรกรผู้เลี้ยงเป็ด,ภาคกลาง,ปศุสัตว์เขต 1,กรุงเทพมหานคร,380,ราย,กรมปศุสัตว์
2565,จำนวนเกษตรกรผู้เลี้ยงเป็ด,ภาคกลาง,ปศุสัตว์เขต 1,ชัยนาท,2613,ราย,กรมปศุสัตว์
2565,จำนวนเกษตรกรผู้เลี้ยงเป็ด,ภาคกลาง,ปศุสัตว์เขต 1,นนทบุรี,445,ราย,กรมปศุสัตว์
