year,particular,region,livestock_area,province,value,unit,source
2564,จำนวนเกษตรกรผู้เลี้ยงสุกร,ภาคกลาง,ปศุสัตว์เขต 1,กรุงเทพมหานคร,6,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงสุกร,ภาคกลาง,ปศุสัตว์เขต 1,ชัยนาท,1172,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงสุกร,ภาคกลาง,ปศุสัตว์เขต 1,นนทบุรี,0,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงสุกร,ภาคกลาง,ปศุสัตว์เขต 1,ปทุมธานี,61,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงสุกร,ภาคกลาง,ปศุสัตว์เขต 1,พระนครศรีอยุธยา,63,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงสุกร,ภาคกลาง,ปศุสัตว์เขต 1,ลพบุรี,1958,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงสุกร,ภาคกลาง,ปศุสัตว์เขต 1,สระบุรี,251,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงสุกร,ภาคกลาง,ปศุสัตว์เขต 1,สิงห์บุรี,301,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงสุกร,ภาคกลาง,ปศุสัตว์เขต 1,อ่างทอง,848,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงสุกร,ภาคกลาง,ปศุสัตว์เขต 2,จันทบุรี,154,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงสุกร,ภาคกลาง,ปศุสัตว์เขต 2,ฉะเชิงเทรา,588,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงสุกร,ภาคกลาง,ปศุสัตว์เขต 2,ชลบุรี,286,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงสุกร,ภาคกลาง,ปศุสัตว์เขต 2,ตราด,72,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงสุกร,ภาคกลาง,ปศุสัตว์เขต 2,นครนายก,180,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงสุกร,ภาคกลาง,ปศุสัตว์เขต 2,ปราจีนบุรี,540,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงสุกร,ภาคกลาง,ปศุสัตว์เขต 2,ระยอง,171,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงสุกร,ภาคกลาง,ปศุสัตว์เขต 2,สมุทรปราการ,4,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงสุกร,ภาคกลาง,ปศุสัตว์เขต 2,สระแก้ว,1010,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงสุกร,ภาคกลาง,ปศุสัตว์เขต 7,กาญจนบุรี,2463,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงสุกร,ภาคกลาง,ปศุสัตว์เขต 7,นครปฐม,654,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงสุกร,ภาคกลาง,ปศุสัตว์เขต 7,ประจวบคีรีขันธ์,1953,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงสุกร,ภาคกลาง,ปศุสัตว์เขต 7,เพชรบุรี,1290,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงสุกร,ภาคกลาง,ปศุสัตว์เขต 7,ราชบุรี,1436,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงสุกร,ภาคกลาง,ปศุสัตว์เขต 7,สมุทรสงคราม,9,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงสุกร,ภาคกลาง,ปศุสัตว์เขต 7,สมุทรสาคร,3,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงสุกร,ภาคกลาง,ปศุสัตว์เขต 7,สุพรรณบุรี,2542,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงสุกร,ภาคตะวันออกเฉียงเหนือ,ปศุสัตว์เขต 3,ชัยภูมิ,5637,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงสุกร,ภาคตะวันออกเฉียงเหนือ,ปศุสัตว์เขต 3,นครราชสีมา,7774,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงสุกร,ภาคตะวันออกเฉียงเหนือ,ปศุสัตว์เขต 3,บุรีรัมย์,8540,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงสุกร,ภาคตะวันออกเฉียงเหนือ,ปศุสัตว์เขต 3,ยโสธร,2124,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงสุกร,ภาคตะวันออกเฉียงเหนือ,ปศุสัตว์เขต 3,ศรีสะเกษ,6178,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงสุกร,ภาคตะวันออกเฉียงเหนือ,ปศุสัตว์เขต 3,สุรินทร์,6713,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงสุกร,ภาคตะวันออกเฉียงเหนือ,ปศุสัตว์เขต 3,อำนาจเจริญ,1184,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงสุกร,ภาคตะวันออกเฉียงเหนือ,ปศุสัตว์เขต 3,อุบลราชธานี,6621,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงสุกร,ภาคตะวันออกเฉียงเหนือ,ปศุสัตว์เขต 4,กาฬสินธุ์,3348,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงสุกร,ภาคตะวันออกเฉียงเหนือ,ปศุสัตว์เขต 4,ขอนแก่น,4699,ราย,กรมปศุสัตว์
2564,จำนวนเกษตรกรผู้เลี้ยงสุกร,ภาคตะวันออกเฉียงเหนือ,ปศุสัตว์เขต 4,นครพนม,3885,ราย,กรมปศุสัตว์
