year,particular,region,livestock_area,province,value,unit,source
2564,จำนวนโคนม,ภาคกลาง,ปศุสัตว์เขต 1,กรุงเทพมหานคร,123,ตัว,กรมปศุสัตว์
2564,จำนวนโคนม,ภาคกลาง,ปศุสัตว์เขต 1,ชัยนาท,1242,ตัว,กรมปศุสัตว์
2564,จำนวนโคนม,ภาคกลาง,ปศุสัตว์เขต 1,นนทบุรี,0,ตัว,กรมปศุสัตว์
2564,จำนวนโคนม,ภาคกลาง,ปศุสัตว์เขต 1,ปทุมธานี,77,ตัว,กรมปศุสัตว์
2564,จำนวนโคนม,ภาคกลาง,ปศุสัตว์เขต 1,พระนครศรีอยุธยา,12,ตัว,กรมปศุสัตว์
2564,จำนวนโคนม,ภาคกลาง,ปศุสัตว์เขต 1,ลพบุรี,90734,ตัว,กรมปศุสัตว์
2564,จำนวนโคนม,ภาคกลาง,ปศุสัตว์เขต 1,สระบุรี,158812,ตัว,กรมปศุสัตว์
2564,จำนวนโคนม,ภาคกลาง,ปศุสัตว์เขต 1,สิงห์บุรี,147,ตัว,กรมปศุสัตว์
2564,จำนวนโคนม,ภาคกลาง,ปศุสัตว์เขต 1,อ่างทอง,4,ตัว,กรมปศุสัตว์
2564,จำนวนโคนม,ภาคกลาง,ปศุสัตว์เขต 2,จันทบุรี,3060,ตัว,กรมปศุสัตว์
2564,จำนวนโคนม,ภาคกลาง,ปศุสัตว์เขต 2,ฉะเชิงเทรา,169,ตัว,กรมปศุสัตว์
2564,จำนวนโคนม,ภาคกลาง,ปศุสัตว์เขต 2,ชลบุรี,1801,ตัว,กรมปศุสัตว์
2564,จำนวนโคนม,ภาคกลาง,ปศุสัตว์เขต 2,ตราด,0,ตัว,กรมปศุสัตว์
2564,จำนวนโคนม,ภาคกลาง,ปศุสัตว์เขต 2,นครนายก,125,ตัว,กรมปศุสัตว์
2564,จำนวนโคนม,ภาคกลาง,ปศุสัตว์เขต 2,ปราจีนบุรี,187,ตัว,กรมปศุสัตว์
2564,จำนวนโคนม,ภาคกลาง,ปศุสัตว์เขต 2,ระยอง,0,ตัว,กรมปศุสัตว์
2564,จำนวนโคนม,ภาคกลาง,ปศุสัตว์เขต 2,สมุทรปราการ,0,ตัว,กรมปศุสัตว์
2564,จำนวนโคนม,ภาคกลาง,ปศุสัตว์เขต 2,สระแก้ว,36054,ตัว,กรมปศุสัตว์
2564,จำนวนโคนม,ภาคกลาง,ปศุสัตว์เขต 7,กาญจนบุรี,33458,ตัว,กรมปศุสัตว์
2564,จำนวนโคนม,ภาคกลาง,ปศุสัตว์เขต 7,นครปฐม,29358,ตัว,กรมปศุสัตว์
2564,จำนวนโคนม,ภาคกลาง,ปศุสัตว์เขต 7,ประจวบคีรีขันธ์,41807,ตัว,กรมปศุสัตว์
2564,จำนวนโคนม,ภาคกลาง,ปศุสัตว์เขต 7,เพชรบุรี,13767,ตัว,กรมปศุสัตว์
2564,จำนวนโคนม,ภาคกลาง,ปศุสัตว์เขต 7,ราชบุรี,47317,ตัว,กรมปศุสัตว์
2564,จำนวนโคนม,ภาคกลาง,ปศุสัตว์เขต 7,สมุทรสงคราม,0,ตัว,กรมปศุสัตว์
2564,จำนวนโคนม,ภาคกลาง,ปศุสัตว์เขต 7,สมุทรสาคร,0,ตัว,กรมปศุสัตว์
2564,จำนวนโคนม,ภาคกลาง,ปศุสัตว์เขต 7,สุพรรณบุรี,1014,ตัว,กรมปศุสัตว์
2564,จำนวนโคนม,ภาคตะวันออกเฉียงเหนือ,ปศุสัตว์เขต 3,ชัยภูมิ,8287,ตัว,กรมปศุสัตว์
2564,จำนวนโคนม,ภาคตะวันออกเฉียงเหนือ,ปศุสัตว์เขต 3,นครราชสีมา,159327,ตัว,กรมปศุสัตว์
2564,จำนวนโคนม,ภาคตะวันออกเฉียงเหนือ,ปศุสัตว์เขต 3,บุรีรัมย์,6770,ตัว,กรมปศุสัตว์
2564,จำนวนโคนม,ภาคตะวันออกเฉียงเหนือ,ปศุสัตว์เขต 3,ยโสธร,14,ตัว,กรมปศุสัตว์
2564,จำนวนโคนม,ภาคตะวันออกเฉียงเหนือ,ปศุสัตว์เขต 3,ศรีสะเกษ,2496,ตัว,กรมปศุสัตว์
