year,particular,region,livestock_area,province,value,unit,source
2564,จำนวนสุกร,ภาคกลาง,ปศุสัตว์เขต 1,กรุงเทพมหานคร,2843,ตัว,กรมปศุสัตว์
2564,จำนวนสุกร,ภาคกลาง,ปศุสัตว์เขต 1,ชัยนาท,160026,ตัว,กรมปศุสัตว์
2564,จำนวนสุกร,ภาคกลาง,ปศุสัตว์เขต 1,นนทบุรี,0,ตัว,กรมปศุสัตว์
2564,จำนวนสุกร,ภาคกลาง,ปศุสัตว์เขต 1,ปทุมธานี,8129,ตัว,กรมปศุสัตว์
2564,จำนวนสุกร,ภาคกลาง,ปศุสัตว์เขต 1,พระนครศรีอยุธยา,2537,ตัว,กรมปศุสัตว์
2564,จำนวนสุกร,ภาคกลาง,ปศุสัตว์เขต 1,ลพบุรี,520745,ตัว,กรมปศุสัตว์
2564,จำนวนสุกร,ภาคกลาง,ปศุสัตว์เขต 1,สระบุรี,167669,ตัว,กรมปศุสัตว์
2564,จำนวนสุกร,ภาคกลาง,ปศุสัตว์เขต 1,สิงห์บุรี,42923,ตัว,กรมปศุสัตว์
2564,จำนวนสุกร,ภาคกลาง,ปศุสัตว์เขต 1,อ่างทอง,70391,ตัว,กรมปศุสัตว์
2564,จำนวนสุกร,ภาคกลาง,ปศุสัตว์เขต 2,จันทบุรี,62665,ตัว,กรมปศุสัตว์
2564,จำนวนสุกร,ภาคกลาง,ปศุสัตว์เขต 2,ฉะเชิงเทรา,371629,ตัว,กรมปศุสัตว์
2564,จำนวนสุกร,ภาคกลาง,ปศุสัตว์เขต 2,ชลบุรี,523619,ตัว,กรมปศุสัตว์
2564,จำนวนสุกร,ภาคกลาง,ปศุสัตว์เขต 2,ตราด,78530,ตัว,กรมปศุสัตว์
2564,จำนวนสุกร,ภาคกลาง,ปศุสัตว์เขต 2,นครนายก,246150,ตัว,กรมปศุสัตว์
2564,จำนวนสุกร,ภาคกลาง,ปศุสัตว์เขต 2,ปราจีนบุรี,307930,ตัว,กรมปศุสัตว์
2564,จำนวนสุกร,ภาคกลาง,ปศุสัตว์เขต 2,ระยอง,223506,ตัว,กรมปศุสัตว์
2564,จำนวนสุกร,ภาคกลาง,ปศุสัตว์เขต 2,สมุทรปราการ,91,ตัว,กรมปศุสัตว์
2564,จำนวนสุกร,ภาคกลาง,ปศุสัตว์เขต 2,สระแก้ว,37572,ตัว,กรมปศุสัตว์
2564,จำนวนสุกร,ภาคกลาง,ปศุสัตว์เขต 7,กาญจนบุรี,432062,ตัว,กรมปศุสัตว์
2564,จำนวนสุกร,ภาคกลาง,ปศุสัตว์เขต 7,นครปฐม,359709,ตัว,กรมปศุสัตว์
2564,จำนวนสุกร,ภาคกลาง,ปศุสัตว์เขต 7,ประจวบคีรีขันธ์,150023,ตัว,กรมปศุสัตว์
2564,จำนวนสุกร,ภาคกลาง,ปศุสัตว์เขต 7,เพชรบุรี,127131,ตัว,กรมปศุสัตว์
2564,จำนวนสุกร,ภาคกลาง,ปศุสัตว์เขต 7,ราชบุรี,2136805,ตัว,กรมปศุสัตว์
2564,จำนวนสุกร,ภาคกลาง,ปศุสัตว์เขต 7,สมุทรสงคราม,1740,ตัว,กรมปศุสัตว์
2564,จำนวนสุกร,ภาคกลาง,ปศุสัตว์เขต 7,สมุทรสาคร,135,ตัว,กรมปศุสัตว์
2564,จำนวนสุกร,ภาคกลาง,ปศุสัตว์เขต 7,สุพรรณบุรี,588320,ตัว,กรมปศุสัตว์
2564,จำนวนสุกร,ภาคตะวันออกเฉียงเหนือ,ปศุสัตว์เขต 3,ชัยภูมิ,266450,ตัว,กรมปศุสัตว์
2564,จำนวนสุกร,ภาคตะวันออกเฉียงเหนือ,ปศุสัตว์เขต 3,นครราชสีมา,368628,ตัว,กรมปศุสัตว์
2564,จำนวนสุกร,ภาคตะวันออกเฉียงเหนือ,ปศุสัตว์เขต 3,บุรีรัมย์,181093,ตัว,กรมปศุสัตว์
2564,จำนวนสุกร,ภาคตะวันออกเฉียงเหนือ,ปศุสัตว์เขต 3,ยโสธร,71253,ตัว,กรมปศุสัตว์
2564,จำนวนสุกร,ภาคตะวันออกเฉียงเหนือ,ปศุสัตว์เขต 3,ศรีสะเกษ,104608,ตัว,กรมปศุสัตว์
2564,จำนวนสุกร,ภาคตะวันออกเฉียงเหนือ,ปศุสัตว์เขต 3,สุรินทร์,140893,ตัว,กรมปศุสัตว์
2564,จำนวนสุกร,ภาคตะวันออกเฉียงเหนือ,ปศุสัตว์เขต 3,อำนาจเจริญ,42311,ตัว,กรมปศุสัตว์
2564,จำนวนสุกร,ภาคตะวันออกเฉียงเหนือ,ปศุสัตว์เขต 3,อุบลราชธานี,140109,ตัว,กรมปศุสัตว์
2564,จำนวนสุกร,ภาคตะวันออกเฉียงเหนือ,ปศุสัตว์เขต 4,กาฬสินธุ์,67967,ตัว,กรมปศุสัตว์
2564,จำนวนสุกร,ภาคตะวันออกเฉียงเหนือ,ปศุสัตว์เขต 4,ขอนแก่น,204737,ตัว,กรมปศุสัตว์
2564,จำนวนสุกร,ภาคตะวันออกเฉียงเหนือ,ปศุสัตว์เขต 4,นครพนม,122979,ตัว,กรมปศุสัตว์
2564,จำนวนสุกร,ภาคตะวันออกเฉียงเหนือ,ปศุสัตว์เขต 4,บึงกาฬ,42554,ตัว,กรมปศุสัตว์
2564,จำนวนสุกร,ภาคตะวันออกเฉียงเหนือ,ปศุสัตว์เขต 4,มหาสารคาม,128161,ตัว,กรมปศุสัตว์
2564,จำนวนสุกร,ภาคตะวันออกเฉียงเหนือ,ปศุสัตว์เขต 4,มุกดาหาร,30292,ตัว,กรมปศุสัตว์
2564,จำนวนสุกร,ภาคตะวันออกเฉียงเหนือ,ปศุสัตว์เขต 4,ร้อยเอ็ด,113789,ตัว,กรมปศุสัตว์
2564,จำนวนสุกร,ภาคตะวันออกเฉียงเหนือ,ปศุสัตว์เขต 4,เลย,63770,ตัว,กรมปศุสัตว์
2564,จำนวนสุกร,ภาคตะวันออกเฉียงเหนือ,ปศุสัตว์เขต 4,สกลนคร,77996,ตัว,กรมปศุสัตว์
2564,จำนวนสุกร,ภาคตะวันออกเฉียงเหนือ,ปศุสัตว์เขต 4,หนองคาย,56602,ตัว,กรมปศุสัตว์
2564,จำนวนสุกร,ภาคตะวันออกเฉียงเหนือ,ปศุสัตว์เขต 4,หนองบัวลำภู,51370,ตัว,กรมปศุสัตว์
2564,จำนวนสุกร,ภาคตะวันออกเฉียงเหนือ,ปศุสัตว์เขต 4,อุดรธานี,188525,ตัว,กรมปศุสัตว์
2564,จำนวนสุกร,ภาคเหนือ,ปศุสัตว์เขต 5,เชียงราย,98760,ตัว,กรมปศุสัตว์
2564,จำนวนสุกร,ภาคเหนือ,ปศุสัตว์เขต 5,เชียงใหม่,383948,ตัว,กรมปศุสัตว์
