ประเทศนำเข้า,ปริมาณวัตถุดิบ (ตัน),มูลค่าวัตถุดิบ (ลบ.),ปริมาณวัตถุที่ผสมแล้ว (ตัน),มูลค่าวัตถุที่ผสมแล้ว (ลบ.),ปริมาณผลิตภัณฑ์นม (ตัน),มูลค่าผลิตภัณฑ์นม (ลบ.),ปริมาณอาหารเสริมสำหรับสัตว์ (ตัน),มูลค่าอาหารเสริมสำหรับสัตว์ (ลบ.),ปริมาณนำเข้าอื่นๆ (ตัน),มูลค่านำเข้าอื่น ๆ (ลบ.),ปริมาณรวมทั้งสิ้น (ตัน),มูลค่ารวมทั้งสิ้น (ลบ.)
สหรัฐอเมริกา,1408766.62,20215.9,38786.76,2228.48,9163.66,214.3,70582.83,2656.1,11292.58,527.9,1538592.46,25842.67
บราซิล,1644961.05,22012.97,6.15,0.49,,,867.79,29.46,12945.06,229.37,1658780.06,22272.29
ยูเครน,1487685.49,11428.56,,,,,,,46689.42,377.42,1534374.91,11805.98
อาร์เจนตินา,607267.12,9066.08,2909.38,64.49,,,0.04,0.0013,856.4,48.57,611032.94,9179.14
จีน,20481.57,730.54,24014.82,2715.75,14,0.69,112208,3193.93,10521.66,640.98,167240.05,7281.89
ฝรั่งเศส,577167.62,5116.86,7721.94,737.71,2490.73,66.38,14827.25,303.76,1690.43,173.75,603897.97,6398.46
เบลเยี่ยม,10414.65,211.2,7948.98,1813.68,2.16,0.33,18229.66,922.24,3093.18,1031,39688.63,3978.45
เนเธอร์แลนด์,63360.04,963.5,5726.56,1150.34,23435.38,1216.99,6624.93,439.18,2307.36,137.4,101454.26,3907.42
แคนาดา,293925,2809.89,5130.78,568.18,340,10.85,496.75,36.4,522.44,8.97,300414.97,3434.29
เยอรมนี,113726.78,2303.91,7548.51,409.7,4047.44,100.14,4218.35,165.01,1806.44,140.68,131347.52,3119.44
สิงคโปร์,5036.5,63.85,6612.41,1258.71,,,5794.26,894.43,1583,57.17,19026.17,2274.17
อินเดีย,127001.5,1730.49,726.14,52.34,,,2075.1,115.67,1197.09,63.73,130999.83,1962.23
ออสเตรเลีย,100802.2,1175.43,3308.43,374.85,204.58,5.94,67.41,3.69,1414.14,117.21,105796.75,1677.12
อังกฤษ,251156.9,1393.08,403.44,35.58,300,18.07,1517.87,30.87,660.08,68.25,254038.29,1545.85
อินโดนีเซีย,127217.24,597.9,26.01,5.9,,,7719.26,385.66,60623.46,455.36,195585.97,1444.82
สเปน,31198.21,474.21,4153.6,415.38,6122.4,169.22,523.02,15.62,7415.01,169.21,49412.23,1243.64
ญี่ปุ่น,6770,83.57,2039.2,320.04,,,4448.51,567.81,145.55,10.27,13403.26,981.69
เดนมาร์ก,57116.6,565.37,802.78,290.72,,,678.02,25.24,151.84,10.66,58749.24,891.98
อุรุกวัย,85866.08,670.15,0.43,0.27,,,,,18710.06,183.9,104576.57,854.32
อิตาลี,37547.06,550.5,2295.01,135.09,0.14,,4921.85,80.91,1863.16,73.26,46627.21,839.76
สหรัฐอาหรับเอมิเรตน์,71796.86,837.32,,,,,,,,,71796.86,837.32
เวียดนาม,30742.6,775.83,360.48,16.16,,,372.78,5.91,1202.87,22.31,32678.72,820.21
เกาหลีใต้,3364.66,142.65,488.86,57.02,,,14757.6,509.74,169.12,8.96,18780.24,718.36
มาเลเซีย,0.01,,128.13,8.97,,,20814.47,404.11,17410.9,112.75,38353.5,525.83
โรมาเนีย,54507.88,430.9,,,,,,,,,54507.88,430.9
ไต้หวัน,480,5.37,2749.19,238.4,,,2854.2,124.62,415.07,6.12,6498.46,374.51
สโลวีเนีย,16352.69,314.96,,,,,10,1.25,126.28,2.6,16488.97,318.82
สวีเดน,,,42.4,2.1,,,12116,279.34,561.36,36.65,12719.76,318.09
ตุรกี,21100.72,273.33,,,,,206,20.27,377,11.56,21683.72,305.16
นิวซีแลนด์,8297.26,167.35,37,0.23,,,7.02,77.87,47.08,3.27,8388.36,248.72
กัมพูชา,,,391.06,206.01,,,,,60.01,34.83,451.07,240.84
โมร็อคโค,,,,,,,10560,203.06,,,10560,203.06
พม่า,7770.5,186.25,,,,,,,,,7770.5,186.25
ชิลี,1562.89,62.64,19.5,3.25,,,189,2.11,1751.16,82.27,3522.55,150.27
ปารากวัย,9790.6,141.3,,,,,,,,,9790.6,141.3
ตูนีเซีย,720,7.7,,,,,4763.6,111.08,42,1.34,5525.6,120.12
นอร์เวย์,1573.34,64.31,,,,,142.56,7.56,1346.59,32.57,3062.5,104.44
ลัตเวีย,7787.83,91.4,,,,,,,,,7787.83,91.4
โปแลนด์,3261.49,68.91,15.57,1.83,198,5.34,68,13.91,31.52,0.75,3574.58,90.74
บัลแกเรีย,,,201.85,88.79,,,,,43,0.4,244.85,89.18
เปรู,710.13,51.88,,,,,20,1.36,216.85,31.73,946.98,84.97
ปากีสถาน,7809.08,79.95,,,,,,,,,7809.08,79.95
ฟินแลนด์,,,1127.3,64.07,,,49.5,7.58,42,0.96,1218.8,72.6
ฟิลิปปินส์,,,,,,,,,481.98,66.76,481.98,66.76
รัสเซีย,5350.53,58.79,,,,,252,4.97,111.02,1.33,5713.55,65.09
ออสเตรีย,,,517.5,44.11,,,,,83.28,4.92,600.78,49.03
ซาอุดิอาระเบีย,1558.09,46.74,,,,,,,,,1558.09,46.74
มอลโดวา,2571.13,22.82,,,,,,,2873.02,22.05,5444.14,44.87
โปรตุเกส,1103.38,28.59,,,,,36,1.16,25.01,0.52,1164.39,30.27
โคลัมเบีย,,,243.49,11.18,,,,,300.12,18.31,543.61,29.49
สโลวะเกีย,22.9,7.51,,,,,66,16.7,95.81,0.7,184.71,24.91
ฮังการี,,,,,,,178.75,20.76,10.4,1.51,189.15,22.27
แม็กซิโก,,,75.07,7.38,,,140,3.47,151,11.11,366.07,21.95
เซอร์เบีย,,,105.02,5.28,,,,,252,11.09,357.02,16.37
ลาว,3900,12.5,,,,,,,200,0.09,4100,12.59
แอลจีเลีย,,,,,,,,,618.75,9.12,618.75,9.12
สวิตเซอร์แลนด์,,,7.44,6.63,,,11.32,2.4,0.03,0.01,18.79,9.04
ฮ่องกง,,,20.62,2.98,,,17,0.71,56.51,4.89,94.13,8.58
ไอร์แลนด์,112.5,4.64,4,0.69,,,,,25.36,1.45,141.86,6.77
สาธารณรัฐเช็ก,,,2,0.13,,,106.4,5.65,,,108.4,5.78
แอฟริกาใต้,,,,,,,,,240.7,4.67,240.7,4.67
กรีซ,,,,,,,48,0.54,10.6,2.59,58.6,3.13
ไทย,727.61,2.91,,,,,,,,,727.61,2.91
ลิทัวเนีย,92,1.11,,,,,,,,,92,1.11
บังคลาเทศ,,,,,,,,,21.5,0.62,21.5,0.62
ไอซ์แลนด์,,,1.97,0.17,,,,,0.002,0.01,1.97,0.18
เอกวาดอร์,,,,,,,,,0.2,0.01,0.2,0.01
คอสตาริกา,,,,,,,,,0.01,0,0.01,0.0002
เซเซลล์,,,,,,,,,0.001,0.0001,0.001,0.0001
