ประเทศนำเข้า,ปริมาณวัตถุดิบ (ตัน),มูลค่าวัตถุดิบ (ลบ.),ปริมาณวัตถุที่ผสมแล้ว (ตัน),มูลค่าวัตถุที่ผสมแล้ว (ลบ.),ปริมาณผลิตภัณฑ์นม (ตัน),มูลค่าผลิตภัณฑ์นม (ลบ.),ปริมาณอาหารเสริมสำหรับสัตว์ (ตัน),มูลค่าอาหารเสริมสำหรับสัตว์ (ลบ.),ปริมาณนำเข้าอื่นๆ (ตัน),มูลค่านำเข้าอื่น ๆ (ลบ.),ปริมาณรวมทั้งสิ้น (ตัน),มูลค่ารวมทั้งสิ้น (ลบ.)
กัมพูชา,,,,,,,,,,,,
เกาหลีใต้,192.02,8.26,18.65,2.28,,,1357.2,42.95,0.03,0,1567.89,53.49
เกาหลีเหนือ,,,,,,,,,,,,
คูเวต,,,,,,,,,,,,
จีน,711.65,24.36,2007.45,207.13,,,10510.56,261.4,486.07,36.06,13715.73,528.95
ญี่ปุ่น,6632,77.97,151.21,22.69,,,410.2,44.75,3.58,0.47,7196.99,145.88
ตุรกี,2376,27.93,,,,,4.5,1.58,63,2.02,2443.5,31.53
ไทย,74.31,0.3,,,,,,,0,,74.31,0.3
บรูไน,,,,,,,,,,,,
ปากีสถาน,482.74,4.34,,,,,,,0,,482.74,4.34
พม่า,315,8.99,,,,,,,0,,315,8.99
ฟิลิปปินส์,,,,,,,,,68,14.45,68,14.45
มาเลเซีย,,,9.67,0.15,,,4126.79,81.41,1155.84,7.57,5292.3,89.13
ลาว,,,,,,,,,,,,
เวียดนาม,1378.6,24.07,0.5,0.08,,,,,73.27,1.8,1452.37,25.95
ศรีลังกา,,,,,,,,,,,,
สหรัฐอาหรับเอมิเรตน์,2066.26,24.21,,,,,,,0,,2066.26,24.21
สิงคโปร์,441,5.4,475.48,88.79,,,634.7,102.88,129,3.59,1680.18,200.66
อินเดีย,16162.53,177.65,102.5,8.03,,,154,15.41,128.43,16.14,16547.46,217.24
อินโดนีเซีย,5600,24.32,,,,,916,45.13,6,1.48,6522,70.93
ไต้หวัน,20,0.67,325.7,31.6,,,268,9.58,37.2,0.69,650.9,42.54
อิสราเอล,,,,,,,,,,,,
ฮ่องกง,,,,,,,,,3.5,0.16,3.5,0.16
ซาอุดิอาระเบีย,,,,,,,,,,,,
กรีซ,,,,,,,,,7,1.49,7,1.49
เดนมาร์ก,486.1,12.68,0,0,,,28.22,2.69,2,0.73,516.32,16.1
นอร์เวย์,108,5.08,,,,,24,1.81,117.74,2.78,249.74,9.67
เนเธอร์แลนด์,5698.1,96.4,301.44,132.92,1418.68,39.24,450.75,21.16,298.13,11.36,8167.09,301.07
บัลแกเรีย,,,34.6,8.85,,,,,0,,34.6,8.85
เบลเยี่ยม,1288.44,33.52,527.44,32.47,,,2081.64,58.62,264.06,12.36,4161.58,136.96
โปรตุเกส,355.66,8.27,,,,,,,5,0.1,360.66,8.37
โปแลนด์,,,,,,,,,,,,
ฝรั่งเศส,2543.24,42.91,595.87,54.77,244.08,6.86,11889.78,25.85,220.58,23.48,15493.55,153.87
ฟินแลนด์,,,46,2.41,,,,,,,46,2.41
ยูเครน,293.21,2.47,,,,,,,0,,293.21,2.47
รัสเซีย,,,,,,,,,,,,
โรมาเนีย,,,,,,,,,,,,
ลัตเวีย,591.5,6.83,,,,,,,0,,591.5,6.83
สเปน,2482.61,35.98,607.47,56.98,576,17.88,43.81,1.04,699.71,21.73,4409.59,133.61
สโลวะเกีย,,,,,,,2,0.92,0,,2,0.92
สโลวีเนีย,2015.6,43.22,,,,,,,0,,2015.6,43.22
สวิตเซอร์แลนด์,,,,,,,,,0,,,
สวีเดน,,,,,,,1235,26.45,108,6.18,1343,32.63
สาธารณรัฐเช็ก,,,,,,,23.1,1.26,0,,23.1,1.26
ออสเตรีย,,,,,,,,,0.22,0.05,0.22,0.05
อังกฤษ,653.71,14.55,26.8,1.99,,,219,3.85,41.15,3.49,940.66,23.89
อิตาลี,4599.33,69.05,501.06,24.63,,,540,10.3,106.5,8.79,5746.89,112.76
ไอซ์แลนด์,,,,,,,,,,,,
ไอร์แลนด์,,,,,,,,,0.02,0,0.02,0
ฮังการี,,,,,,,,,,,,
เยอรมนี,9531.05,151.76,120.46,21.85,76.11,2.94,370,21.14,51.42,7.59,10149.04,205.28
เซอร์เบีย,,,,,,,,,0,,,
ฮอลแลนด์,,,,,,,,,,,,
รัฐมอลตา,,,,,,,,,,,,
ลิทัวเนีย,92,1.11,,,,,,,0,,92,1.11
เคนยา,,,,,,,,,,,,
ตูนีเซีย,,,,,,,725,16.38,0,,725,16.38
ไนจีเรีย,,,,,,,,,,,,
สาธารณรัฐแอฟริกากลาง,,,,,,,,,,,,
อียิปต์,,,,,,,,,,,,
แอฟริกาใต้,,,,,,,,,48.7,0.93,48.7,0.93
แอลจีเลีย,,,,,,,,,,,,
โมร็อคโค,,,,,,,1535.76,28.59,0,,1535.76,28.59
แคนาดา,75205.45,663.77,576,50.46,,,14.75,0.39,77.23,0.99,75873.43,715.61
สหรัฐอเมริกา,82663.11,872.72,12793.46,159.18,472.86,13.93,1208.56,100.08,691.74,48.9,97829.73,1194.81
คอสตาริกา,,,,,,,,,,,,
แม็กซิโก,,,,,,,20,0.5,37,5.42,57,5.92
ชิลี,,,,,,,108,1.19,234.29,15.11,342.29,16.3
บราซิล,169520.55,2492.71,,,,,56.08,2.85,104,12.89,169680.63,2508.45
ปารากวัย,,,,,,,,,,,,
อาร์เจนตินา,83225.66,1206.56,381.49,8.83,,,,,50,3.46,83657.15,1218.85
อุรุกวัย,,,,,,,,,50.8,5.79,50.8,5.79
โคลัมเบีย,,,50,0.76,,,,,0,,50,0.76
เปรู,119.78,8.16,,,,,,,1.51,2.9,121.29,11.06
เอกวาดอร์,,,,,,,,,,,,
นิวซีแลนด์,273.15,9.75,,,,,0.72,16.33,0,,273.87,26.07
ออสเตรเลีย,3665.51,58.68,385.9,41.57,,,,,93.85,13.74,4145.25,113.99
