ลำดับที่,ชื่อรายการ (ภาษาอังกฤษ),ชื่อรายการ (ภาษาไทย),คำอธิบาย (Definition),รูปแบบ (Format),ต้องมี (Required)
1,Unique Identifier,รหัสชุดข้อมูล,รหัส (ID) สำหรับข้อมูลในแต่ละชุด (Auto-generated),2015-OGD2,Yes
2,Title,ชื่อข้อมูล,ชื่อหัวข้อของชุดข้อมูลที่นำเสนอ พร้อมคำอธิบายสั้นๆ,ข้อมูลนำเข้าอาหารสัตว์,Yes
3,Description,รายละเอียด,บทคัดย่อของข้อมูลหรือ Abstract ที่บ่งบอกถึงเนื้อความในข้อมูลอย่างสั้น,ข้อมูลนำเข้าอาหารสัตว์ กรมปศุสัตว์ ได้เก็บรวบรวม วิเคราะห์และรายงาน จากหนังสือแจ้งการนำเข้าซึ่งอาหารสัตว์เข้ามาในราชอาณาจักร (น.ส.4) ซึ่งมาจากผู้ประกอบการที่มาขออนุญาตนำเข้าอาหารสัตว์กับกรมปศุสัตว์ เป็นสถิติข้อมูลให้ผู้ประกอบการ หน่วยงานที่เกี่ยวข้อง และระดับผู้บริหารเพื่อนำไปใช้ประโยชน์ในการประเมินสถานการณ์นำเข้าอาหารสัตว์ของประเทศไทย,Yes
4,Tags,ป้ายกำกับ,Tag หรือ Keywords ที่เกี่ยวข้องกับชุดข้อมูล สำหรับการค้นหา,ข้อมูล, นำเข้าอาหารสัตว์, วัตถุดิบอาหารสัตว์, อาหารสัตว์, อาหารสัตว์เลี้ยง, กรมปศุสัตว์,Yes
5,Last Updated,วันที่เผยแพร่ข้อมูล,วันที่ทำการเปลี่ยนแปลงหรืออัพเดตข้อมูลครั้งล่าสุด,2015-06-30,Yes
6,Publisher,ผู้จัดทำข้อมูล,ชื่อหน่วยงานเจ้าของชุดข้อมูลที่เผยแพร่,กองควบคุมอาหารและยาสัตว์ กรมปศุสัตว์,Yes
7,Contact Name,ชื่อผู้ติดต่อ,ชื่อผู้ติดต่อหลักสำหรับข้อมูลที่นำมาเผยแพร่,นายกิติศักดิ์ กลิ่นทอง นักวิชาการสัตวบาลชำนาญการ ฝ่ายตรวจสอบ 2 (การนำเข้าและส่งออกอาหารสัตว์),Yes
8,Contact Email,อีเมล์ผู้ติดต่อ,E-mail ของผู้ติดต่อหลัก,kitisak.k@dld.go.th,Yes
9,Contact Number,เบอร์โทรผู้ติดต่อ,เบอร์โทรศัพท์ของผู้ติดต่อหลัก,08-9487-8884,Yes
10,Format,รูปแบบไฟล์ข้อมูล,รูปแบบของไฟล์ข้อมูล หรือประเภทของ API ที่ใช้ในการเผยแพร่,CSV (Comma Separated Values),Yes
11,Frequency,ความถี่ในการเผยแพร่ข้อมูล,ความถี่ในการเผยแพร่ข้อมูล,05 = Monthly,Yes
12,Category,หมวดหมู่,หมวดหมู่ของชุดข้อมูล,เกษตรกรรมและชลประทาน,Yes
13,Language,ภาษา,ภาษาของชุดข้อมูล[1],Th = ไทย,Yes
14,Public Access Level,ระดับในการเข้าถึงข้อมูล,ระดับในการเข้าถึงข้อมูล,Public = สามารถใช้งานได้โดยไม่มีข้อจำกัด,Yes
15,URL,ชื่อลิงค์,ระบุ URL ของชุดข้อมูล,http://afvc.dld.go.th/,
16,License,ลิขสิทธิ์,การประกาศสิทธิหรือข้อตกลงในการใช้ชุดข้อมูลหรือ API ที่เผยแพร่,ระบบจะกำหนดเป็น Open Government License - Thailand,
17,Rights,สิทธิ์ในการเข้าถึงข้อมูล,สิทธิ์ในการเข้าถึงข้อมูล,อธิบายเพิ่มเติมจากการเลือกระดับการเข้าถึง (Public Access Level) รวมถึงคำแนะนำสำหรับวิธีการเข้าถึงชุดข้อมูลที่เป็น Restricted Public และ Non-Public,
