ประเทศที่ส่งออก,ปริมาณปลาป่น (กก.),มูลค่าปลาป่น (บาท),ปริมาณ อาหารสุนัขและแมว (กก.),มูลค่าอาหารสุนัขและแมว (บาท),ปริมาณอาหารใช้เลี้ยงสัตว์อื่น ๆ (กก.),มูลค่าอาหารใช้เลี้ยงสัตว์อื่น ๆ (บาท),ปริมาณอาหารเสริมสัตว์เลี้ยง (กก.),มูลค่าอาหารเสริมสัตว์เลี้ยง (บาท),ปริมาณพรีมิกซ์ (กก.),มูลค่าพรีมิกซ์ (บาท),ปริมาณอาหารกระป๋องสุนัขและแมว (กก.),มูลค่าอาหารกระป๋องสุนัขและแมว (บาท),ปริมาณDog Chews (กก.),มูลค่าDog Chews (บาท),ปริมาณอาหารสัตว์น้ำ (กก.),มูลค่าอาหารสัตว์น้ำ (บาท),ปริมาณรวมทั้งสิ้น (กก.),มูลค่ารวมทั้งสิ้น (บาท)
สหรัฐอเมริกา,,,2785151.83,311472522.41,15194.4,6102002.16,,,,,48894610.69,5969834901.5,1334883.49,280686429.7,145083.4,43617548.76,53174923.81,6611713404.52
ญี่ปุ่น,35005901,1690371628.31,65313808.4,2871329616.18,478733.6,19566173.66,866380,128632371.19,,,5893472.51,592536309.81,1377869.41,108732253.27,1021.5,1510020.59,108937186.42,5412678373.01
จีน,59625004,2620507353.56,491450.03,23769398.56,28880,24056510.15,746841,56565914.6,66640,5791752.27,2877227.82,387149089.5,5.48,500.77,84271,69169048.65,63920319.33,3187009568.06
อิตาลี,,,12123.11,2372529.43,,,,,,,18373056.91,2628092026.52,256583.48,61467256.87,,,18641763.5,2691931812.82
มาเลเซีย,830256.15,40593323.01,55021618.79,1867608232.47,1455536.72,29729255.76,737026.5,34961039,,,7271957.67,366207449.95,412480.97,25535219.8,235293.9,14171225.57,65964170.7,2378805745.56
ออสเตรเลีย,503256,36779636.05,753440.21,58156061.25,,,785020,21249152,,,18710641.42,1529748818.52,1140499.11,353714704.73,1944.85,2122401.26,21894801.59,2001770773.81
เวียดนาม,31358599.65,1507021172.16,3715537.42,195674064.21,407849.4,33890025.73,174000,7349210.59,,,31968,1379929,1024.8,320320,15902.3,22450004.01,35704881.57,1768084725.7
อินเดีย,1960400.18,77604324.7,4022078.13,183558728.72,440301.3,109618267.04,14029043,743411299.64,6900500,391987051.7,20177.94,3046042.04,67321.66,15279678.67,606110.49,93719675.13,28045932.7,1618225067.64
อินโดนีเซีย,2720000,109078180,35118487.14,1125291382.64,681058.1,51684190.7,1068200,50718213.5,,,1284610.72,174873963.98,24580,642298.22,85390.4,40849215.9,40982326.36,1553137444.94
ไต้หวัน,5301360,198929730.2,18997904.38,477658747,181459.4,6901450.19,409604,11711158.98,7200,1475357.64,6356707.56,627806850.55,332256,84359957.24,2846,2581778.73,31589337.34,1411425030.53
สหราชอาณาจักร,,,105811.96,7349363.29,,,,,,,7765268.28,1146609829.95,813375.18,104026850.36,,,8684455.42,1257986043.6
เยอรมนี,119933,5653744.66,8246.2,1945799.77,,,,,,,6026788.98,896884213.8,622665.45,107954700.76,,,6777633.63,1012438458.99
เกาหลีใต้,764273.36,39283344.77,3131289.44,119476996.08,12537.16,4967794.19,2646754,183547917.15,15200,1032587,2594076.41,290580651.17,479378,72088769.43,20215.68,7196744.76,9663724.05,718174804.55
ฟิลิปปินส์,1431700,52729425.6,10980452.74,531356734.16,888610.05,26147366.35,132640,8290136,,,437210.56,19210449.34,40208.19,2869521.78,125830.27,16995205.3,14036651.81,657598838.53
บังคลาเทศ,7127240.7,283087027.34,103221.5,4831375.3,21314.8,2325682.37,2592360,151829677.26,889810,127407359.75,,,,,47492.52,9568518.68,10781439.52,579049640.7
ฮ่องกง,,,3751493.16,129569438.1,4845.54,982953.5,,,,,2110323.01,244080965.48,7507.82,751068.03,6469.23,2427417.96,5880638.76,377811843.07
แคนาดา,,,333143.06,121409590.77,,,,,,,1644626.59,205919023.04,179228.18,38186037.03,,,2156997.83,365514650.84
ฝรั่งเศส,3,32.4,42,4800,,,1735,59517.78,,,2154731.11,293314291.61,148699.59,39351344.43,,,2305210.7,332729986.22
เนเธอร์แลนด์,,,,,,,40,1280,,,641726.57,92156487.61,1199287.15,191922739.7,,,1841053.72,284080507.31
สิงคโปร์,,,1456046.04,73507732.22,23334.65,1837955.72,,,,,2530369.59,187575185.05,58432.78,9830127.18,6689.15,2382969.82,4074872.21,275133969.99
รัสเซีย,,,265338.8,10953865.23,,,,,,,1245748.17,198850813.48,36824.25,10496269.8,,,1547911.22,220300948.51
นิวซีแลนด์,,,1022875.1,56608630.21,14795.1,1060107.28,50400,1542000,,,819798.92,92557764.52,140754.4,37549710.28,,,2048623.52,189318212.29
สหรัฐอาหรับเอมิเรตส์,,,2697606.67,114335275.33,14397.24,790256.86,,,,,109003.84,9543188.28,39400.5,2691853,3161.78,2045781.4,2863570.03,129406354.87
ซาอุดิอาราเบีย,,,1172186.36,55306171.91,4573.8,9072379.08,17016,774907.2,,,138486.32,20014610.63,6421.8,522816,22123.1,39574151.51,1360807.38,125265036.33
คานาดา,,,49954.93,18704710.96,,,,,,,657395.36,80447073.08,89785.07,17796705.66,,,797135.36,116948489.7
บรูไน,,,1738191.99,76338111.63,7000,215264,,,,,778902.28,30555601.97,,,40.6,67393.52,2524134.87,107176371.12
เบลเยี่ยม,20000.9,948632,,,151.12,342129.7,,,,,307423.56,46499552.81,192840.2,27268671.75,29410.54,19535208.42,549826.32,94594194.68
อิหร่าน,,,127344.9,5094913.24,800564.28,33920328.65,,,,,,,535.2,90489.42,1135008.04,47613008.44,2063452.42,86718739.75
สวีเดน,,,,,,,,,,,636588.92,78578742.2,6859,2040881.72,,,643447.92,80619623.92
อิสราเอล,,,208274.52,18513428.2,2616,462440.92,,,,,336255.88,32871394.89,67979.9,14333527.87,976,902418.82,616102.3,67083210.7
กรีซ,,,21000,874700,19905,7186247.55,,,12,436.08,48716.81,6801571.37,,,124731,47807577.82,214364.81,62670532.82
ฟินแลนด์,,,,,,,,,,,354549.97,48574354.67,92276.52,11149310.68,,,446826.49,59723665.35
แม็กซิโก,,,,,25002,3836366.51,,,,,,,13501,2904990.94,242166,52878228.71,280669,59619586.16
บราซิล,,,,,19195,5106610.16,,,,,24156.86,4404253.88,3960,731136.48,71976,47821014.28,119287.86,58063014.8
สเปน,,,,,,,,,,,17303.76,1373138.51,203597.21,55954490.34,,,220900.97,57327628.85
ปากีสถาน,,,1011269.7,45639969.85,21506.6,1475552.1,,,,,16320,645480.23,,,94738,4518830.25,1143834.3,52279832.43
แอฟริกาใต้,,,359074.6,13759347.95,,,10000,385344,,,368693.4,16810058.87,76313.52,13668389.6,196,110514.46,814277.52,44733654.88
มอลต้า,,,,,,,,,,,325907.04,40034742.42,,,,,325907.04,40034742.42
ตุรกี,2,64.72,,,15471,3769957.37,200,9800,,,38656.74,5307047.66,,,71463,23957835.05,125792.74,33044704.8
เดนมาร์ก,,,0.8,64,,,,,,,14517.75,543561.35,163693,29296697,,,178211.55,29840322.35
ศรีลังกา,409000,11755590,210231.24,9496630.98,12729,883900,,,,,,,,,53880,2193179,685840.24,24329299.98
สาธารณรัฐเช็ก,,,0.6,132.89,0.1,1000,,,,,78316.99,11884303.57,42980.5,8614245.16,,,121298.19,20499681.62
สวิตเซอร์แลนด์,,,,,,,,,,,128739.8,14200561.48,1.3,150,,,128741.1,14200711.48
มอริเชียส,,,67877.38,3272661.09,,,,,,,209596,10264376.24,,,6350,646763.59,283823.38,14183800.92
พม่า,,,135862.4,6082243.88,,,,,61000,6070375.74,,,,,,,196862.4,12152619.62
บาห์เรน,,,189700.68,6691660.8,6740,299046,,,,,24768,1162114.87,7265.58,1733106,,,228474.26,9885927.67
โรมาเนีย,,,,,,,,,,,24017.2,2982498.65,28116.06,4159796.4,,,52133.26,7142295.05
คูเวต,,,8064.2,386598.3,3960,238972.8,,,,,80668.2,6460633.92,,,,,92692.4,7086205.02
ยูเครน,,,,,,,,,,,47216.92,6620256.14,,,,,47216.92,6620256.14
กัมพูชา,,,,,,,128000,6051820.8,,,123,154,,,,,128123,6051974.8
เลบานอน,,,54870.6,3795099.25,,,,,,,,,8542.9,1833433,,,63413.5,5628532.25
ชิลี,,,,,,,,,,,50303.44,5618748.02,,,,,50303.44,5618748.02
กาตาร์,,,73758,2634046.8,450,18562.5,,,,,30984,1210672.27,,,,,105192,3863281.57
มาดากัสการ์,,,,,821,1447483.04,,,,,,,,,1819.02,2083010,2640.02,3530493.04
