ประเทศที่ส่งออก,ปริมาณปลาป่น (กก.),มูลค่าปลาป่น (บาท),ปริมาณ อาหารสุนัขและแมว (กก.),มูลค่าอาหารสุนัขและแมว (บาท),ปริมาณอาหารใช้เลี้ยงสัตว์อื่น ๆ (กก.),มูลค่าอาหารใช้เลี้ยงสัตว์อื่น ๆ (บาท),ปริมาณอาหารเสริมสัตว์เลี้ยง (กก.),มูลค่าอาหารเสริมสัตว์เลี้ยง (บาท),ปริมาณพรีมิกซ์ (กก.),มูลค่าพรีมิกซ์ (บาท),ปริมาณอาหารกระป๋องสุนัขและแมว (กก.),มูลค่าอาหารกระป๋องสุนัขและแมว (บาท),ปริมาณDog Chews (กก.),มูลค่าDog Chews (บาท),ปริมาณอาหารสัตว์น้ำ (กก.),มูลค่าอาหารสัตว์น้ำ (บาท),ปริมาณรวมทั้งสิ้น (กก.),มูลค่ารวมทั้งสิ้น (บาท)
สหรัฐอเมริกา,,,270949.79,22155945.49,,,,,,,4306311.02,524329599.3,124504.61,26825776.19,28840.2,9910516.99,4730605.62,583221837.97
ญี่ปุ่น,2245000,104147062.25,6691163.79,293965685.93,42054,1438483.2,85600,12609308.77,,,200791.09,22818052.63,118313.14,8713838.55,637.5,939103.84,9383559.52,444631535.17
จีน,7010000,288979990.22,85070.4,3645548,,,108640,7128664,,,373827.04,29811866.41,,,17943,20560028.19,7595480.44,350126096.82
มาเลเซีย,,,5918662.41,210753518.8,60669,2500804.87,107200,2858200,,,677981.04,38356178.17,61050.34,4144716.89,910,55212.3,6826472.79,258668631.03
อิตาลี,,,,,,,,,,,1725518.13,236535256.21,17830.16,4140246.48,,,1743348.29,240675502.69
ออสเตรเลีย,2856,433250.85,70200,4752448.2,,,33800,846064,,,1857709.89,152921088.73,109498.9,27285699.16,,,2074064.79,186238550.94
อินเดีย,,,372873.02,18137608.91,72,4738.8,1432733,69497163.67,1240000,65013343.35,1.36,53.9,,,86660.5,14597387.01,3132339.88,167250295.64
เวียดนาม,1840000,93772323.85,409864.28,30713726.52,47488.8,11100985.79,1600,96256,,,5184,226466,,,3401.7,4946620.49,2307538.78,140856378.65
สหราชอาณาจักร,,,,,,,,,,,703148.83,113595307.2,8524,811023.97,,,711672.83,114406331.17
ไต้หวัน,141360,5161203.2,1524762.6,39958441.43,18480,680988,80000,2055570,,,535667.8,59787242.25,32756.39,5987749.98,1065,731154.83,2334091.79,114362349.69
บังคลาเทศ,1260000,51443938,7352.3,353734.5,943.2,66990,291004,19529801.55,167110,21550345.23,,,,,13104.76,919642.15,1739514.26,93864451.43
